author_name,rating,text
Yu-Lin Lin,1,以前最喜歡去這家服務親切、環境舒適的藥局了，但後來隔了二三年沒去。最近二個月回訪了幾次，卻發現服務態度變得很糟，而且走道會有堆放東西妨礙客人走動。掰啦，我以後一定會改去其他藥局的。
Otter Sea,1,晚班男店員服務態度差 也沒講明白受傷需要用的專門處理傷口的產品 讓顧客花多餘的錢買錯的產品並且白跑一趟 明顯就是黑心商家 加上這家價格貴的也不合理 千萬不要來這家！只會被坑錢
Camille Chou,1,每次都推一些又貴又爛的藥 建議去旁邊的藥局還比較有良心
哇哩勒!!,1,同樣的藥，原來公定價別人一盒7錠賣70，貴店賣100。算我認衰沒先去別間詢價。
wei ling,2,剛剛去領處方籤慢性病藥。剛好藥師工作間門沒關上。我看到藥師拿我的藥沒戴手套一顆顆數給我的。這種防役非常時期還這麼做看的我真是心驚膽跳。現場有些人潮要買口罩，雖然我當時沒多問，但回家真是越想越不舒服。
林小可,5,"店員態度親切，很有耐心安撫排隊買口罩的民眾，遇到來店裡爭吵的客人，也不會因為他們怕被客人罵就給客人插隊，很公平的發放號碼牌
給辛苦的醫護人員一聲加油，你們辛苦了"
劉育甄,1,今日下午在杏一瑞安藥局，買了一片3M防水好吸敷料編號3586，價格5O元，晚上經過附近的和平東路二段一家藥局再去買同樣商品結果一片僅要35元，杏一說通路商可能不一樣，價格當然不同，同樣產品價格竟能貴到3O%，幸好只買一片，可見其他產品的價格了，而且實體店面還設在巷內，希望大家買它的東西多比價一下，畢竟在杏一商家附近還有很多藥局
Anfis Cheng,1,"(由 Google 提供翻譯) 在0612晩上值班的男店員，其服務態度2266、専業性不佳、進取心不足，「本店沒有你要的貨，要碼你就預訂等貨來，不然你就附近找找…」；

與雙北地區，我曾去過的杏一店頭相比，這個店員 可能需要杏—公司再加以教育訓練，或者直接回家吃自己吧！

(原始評論)
在0612晩上值班的男店員，其服務態度2266、専業性不佳、進取心不足，「本店没有你要的貨，要碼你就預訂等貨來，不然你就附近找找…」；

與雙北地區，我曾去過的杏一店頭相比，這個店員 可能需要杏—公司再加以教育訓練，或者直接回家吃自己吧！"
林小傑,5,
敦敦,5,
yu helen,1,
