author_name,rating,text
allen 4u,5,腹地很大空間寬敞，很多活動在此舉辦，近期CWT57在此舉辦活動，不少Cosplay也來參與，正好前往練拍，每一位Cosplay都很用心扮演也非常大方讓人拍攝
KAI SHUN,5,"補 2018.03.16
人生看過的第一場音樂劇獻給了《貓》在台大體育館。果然現場就是不一樣，經典中的經典！
Memory 很好聽🎵🎶耳朵懷孕了"
李允中,5,即日起到2021/6/8為止，因為疫情加劇暫停開放
利維リヴァイ,5,今日參加場次 校園景色寬廣美麗 休息地點多 是個適合散步 休息 悠閒的娛樂場所
停移,5,連續兩天、難得有機會來看排球的企業聯賽，球場看起來很大很漂亮（大到我跟朋友在走廊迷路）還在球場跟喜歡的排球員拍到照了，非常開心也美好的回憶（直接給五星好評🌟🌟🌟🌟🌟）
Andrew Lee,4,一間還在賺自己的營運和當初建設費用的體育館  辦很多活動賺資金 有時候系隊練球都沒場借  也沒什麼辦法
Dan Chiou,5,來台大公館商圈逛街，或是搭配大安森林公園行程，可以將車子停在綜合體育館下方的停車場，車位多且停車格空間寬敞
鄭佳宜,5,"為了春酒來的
在等待進場先在外面坐坐
很愜意舒服

可以看看別人打球"
海豚掀肚子,5,真是充滿回憶的地方。
Shiawminn Lin,4,台灣大學第一學府，校園充滿古色古香的氛圍，醉月湖旁邊的綜合體育館則稍顯現代風情。
rong-liang shyu,3,車位多 但晚上停車後走出停車場梯間跟廊道一片漆黑 雖有感應式照明 但婦女朋友還是要小心
王麒,4,校園內的公共廁所太少了，找一個廁所要走好遠....
14宸瑜張,5,cwt  場次很大 商品多 COSPIAY也很用心 不輸台中場 CWT
Jo Chang,5,\(-ㅂ-)/ ♥ ♥ ♥3層樓逛好逛滿
allen lin,5,健身房學生價很便宜，但是設備可以增加種類或是換新
O LIO,4,掉鏈子的主辦，文化對世新都開打5分鐘了，得分版校名還沒改
HU G,4,一個盈利賺錢大於學生使用優先權的體育館
家和Kerry,5,很好辦活動的場所 是學生的回憶 另外還有很棒的游泳池 健身房等運動場所 是個台大人的運動中心
汪小小,5,讚讚讚！…♡d===(￣▽￣*)b ♡啵兒棒地啦！…
黔揲,4,常常舉辦大型活動的場所，在CWT和杜鵑花季的時候來過，館內的WIFI收訊有一點差，自己網路也沒有好到哪裡.......
Andy Hsieh,5,最高學府，環境優美，裡面還有小店可以買台大限定商品
陳淑玲,4,提醒您！「ATM沒有分期付款功能」，來電「解除ATM設定」、「誤設訂單」、「重複扣款」等術語，就是詐騙。警政署165關心您!
Ivy Tseng,5,體育館場地很大 ，今天來看企排聯賽，大家加油💪
明哲曾,5,來看排球企業聯賽 免費的比賽 大家趕快來支持台灣的體育賽事 幫選手加油
Chun-Kuang Chou,4,場地寬敞明亮，時常開放給校外人士租賃場地使用，在校教職員生搶場地越快越好。
柯俊杰,5,酷！大！棒！不過人多的時候網路真的會死亡ㄝ
CkPai,5,謝謝有體育館讓我上體育課
HJ Lee,4,藍色操場會染色，鞋底都變藍
Durga H,2,"櫃臺人員真的很沒效率
外面只開2個櫃檯，有人在排隊，裡面其他人也不出來幫忙，只是一直在討論訂便當的事
櫃臺人員手上電話掛斷之後也不會主動叫其他排隊的人上前，好像一副不關我的事的樣子"
han kai lu,4,運動好場所，設備還算豐富，常常會有舉辦活動，外面很常有cosplay 動畫電影角色。只是離捷運站有點距離。
森森星球 SansanPlanet,5,常常會有各種活動，是台灣很棒的大型聚會場所👍
曾博彥,5,來看企聯，很棒的體驗
熊士德,5,有很多人扮cosplay喔，要來喔！
寂然,5,空間很大，很不錯，有空都會過來走走。
Hsiu-Li Liao,5,比賽和展覽的好場地，交通方便！
蕭方,5,光是爬建築外側的樓梯就是一種運動了 (´・ω・`)
王正成,5,經常辦活動的好地方，希望明年還可以在來。
許若愚,4,開大型會議活動不會吵到附近的住家。
林雍祥,3,場館很大，空間很好，但是室內電信網路收訊很不好
GuCc1 LU0,5,超好玩，尤其是它們的壁球場，校內價更實惠！！！
張馨文,5,臺大杜鵑花節必來的賞花之地，又可以順便了解大學中各個科系在學什麼以及未來的走向！！
Phillis Lee,4,地點方便， 內部還算乾淨
Star小星,5,"cos活動場次地點
可惜離捷運站太遠要來這搭公車會比較快
不然拖著行李箱回到捷運站手超痛＞＜"
hwa lu,4,去看台北鯨華排球比賽
Violet Lin,5,看運動比賽、演唱會的好地方，離U-bike站、公車站近，可惜離捷運站比較遠一點……
陳宏偉,5,附近有路邊停車位
Faust S,4,"CWT...演唱會...臺大體育館承載著從小到大的許多回憶，真的要說聲謝謝。

但是...但是...但是今年的通風跟空調實在是太...令人太不舒服了..."
陳人豪,2,室內手機網路收訊很差
大黃蜂,5,話說我已經三年沒來這裡看展覽了
Ashung Chiu,2,出入口多鎖死 造成進出困難 動線不佳
Dragger Kung,5,有錢就可以爽用的好地方
張春蘭,5,適合到此利用各種不同的運動場地
Paloma Hsu,5,"冷氣好舒服
飲水機很方便 走幾步就有了"
陳雯雯,5,台大體育館 交通停車都方便 校園又有可以欣賞美麗風景 硬體設施還不錯
Sonia,5,自己學校的體育館 不推ㄇ
Pinky Wang,5,動漫愛好闔家歡迎
九一四,5,希望三樓一樓活動場地空調能改善
廖紹甫（AsuKa）,4,場館已經算是舊了，但依然是一個很不錯的場地
帥迪迪,5,運動只為了讓自己更帥!
Huang Raymond,1,"髒亂不堪到處都是垃圾
運動場都是瓶罐
還有沒吃完的便當在發臭"
Jung Yi Wang,4,多功能體育館
莊孝穎,5,蝦挺母校！
Elizabeth,5,場地寬敞、明亮潔淨
Yali Chen,5,設備一流，可惜賽事太少
Jia-Jhen Jhong,5,除了運動場館，臺大的大型活動(如：校慶、畢典、開學典禮)都在這裡舉辦，不過交通上仍需在下捷運後走一小段路(約15-20分)，要掌握好前往的時間。
