author_name,rating,text
John Pei,5,最常光顧的書店，老闆很親切，書籍雜誌種類多元，而且拙作「南海有多難地圖上看得到卻到不了的國境最南」還曾榮登好幾週暢銷書排行榜首位呢！
黄筱汱,5,麻雀雖小五臟俱全，用在這家店很匹配，書類雖然每個種類不多卻時常更新，文具類也放置整齊，數量不多但基本款俱全。
Tzeng Jaken,5,多種書籍、 字典 、英文工具書、文具、布偶、小禮品
Felix Thiel,3,服務態度待改進
Michelle,4,紙的種類希望可以更豐富
方忠雄,4,那附近較有規模的書局
林.,3,"從國小到現在，急需文具都會去逛的書店。

裡面也賣一些書，也有做一個書的排行榜在櫥窗。

雖然說文具價格沒有批發商場那麼便宜、書也很少打折，但是以社區型書店來說，很滿意了。"
Peace Liu,4,傳統書店，應有盡有
雙木緯俊,3,類似這樣的書店不多了，書的種類不少，應該可以滿足愛書者的需求!
廖仁揚（巴納那喬揚）,5,結合書店、文具店跟一些3c商品，而且不算小間
杜維圃,5,商品種類繁多，文具圖書用品齊全！
張媛婷,4,除了賣書還有賣文具，店面不大但藏書多元，書不會太舊，是個打發時間的好地方。
James Hsia (Ezworker),5,巷弄間能有這樣的書店很方便，文具種類齊全
陳阿金,5,記憶中的書店，請保持人氣👍
童坤煌,4,書籍文具很多元豐富，可以在裡頭逛很久。
Wei-Cheng Cheng,4,支持在地傳統書局
趙英俊,3,"品項齊全,店員很熱誠"
姚小姐,2,普~，沒金石堂好。
Chen Shaine,2,種類不算多，折扣也少，就是方便而已
藍舜文,4,社區型的書局，也許不能滿足所有人的需求，不過該有的也都有了
林鴻翔,5,東西很多，冷氣很涼，店員態度佳
黃中威,4,各類書籍，商品區隔清楚
Pu tarou,3,一般需要的文具用品都能買到，方便
Charlie Wong,5,空間寬敝，圖書及文具的種類齊全，逛起來沒有壓迫感。
Li Chieh Chou,3,社區書店的存在本就是功德了
李阿pia,1,"2013/9/16 pm約20:45
晚班女櫃檯店員
服務態度亟差
櫃檯結帳找錢時候直接把錢丟在桌上等你自己撿
後來我把錢自己拿起時候,女櫃檯店員又再度把發票也用丟的方式丟在桌上
是怎樣?買書送臭臉+丟錢自己慢慢撿? 連個謝謝光臨也不用說?
是否店家的教育訓練是教導女員工結帳時候都是用""丟""的方式對待消費者?
既然是個書店 裡面的員工應該都是讀過書的人
但表現出來的方式卻是連小學生都懂得禮貌都沒有
下次在消費如果還遇到這樣""禮節""我會直接幫你們糾正 別怪消費者是奧客 店家本來就很奧

當天情況,店家自己可以調閱監視器 本人並無不禮貌之行為在先 事後也只是摸摸鼻子一臉灰離開店家 反是女店員不知道在天龍甚麼的"
weche Chu,5,很喜歡書店內的古早書香風格，販售的書籍種類豐富多元，文具也琳瑯滿目，每次拜訪都收獲很多，充滿驚喜！
Gary Jwo,5,書籍種類豐富
國見比呂,5,就是「厝邊的好鄰居」..
邵永泰（鳳凰騎士）,4,書店愈來愈少了，現在還願意經營書店真的不多了。
Kalian Huang,4,採購孩子學校用品的好地方
