author_name,rating,text
何柏毅,5,在過年期間進來這家有特色的店家～湯麵意外的出色～湯頭基本有拉麵店濃郁水準～雞腿大塊汁多味美～鮭魚很適合下酒菜～麵條細緻易入口～甜點提拉米蘇加冰淇淋也有餐廳水準～值得特地來嚐鮮～
艾呦,5,"濃郁湯頭，原性食物原有的美味,加上老闆娘廚藝，美味🥰，闆娘很熱情哦👍"
黃俊嘉,5,"雞湯很好喝！
冰淇淋跟提拉米蘇超讚，點了一盤，再點一盤！"
鄭佐哥,5,"老闆熱情介紹的超詳細😝
特色調酒外面都沒看過
還有隱藏版下酒菜😋
大推👍👍👍"
Bee Chuang,5,"很有特色的小店
位子真的不多 1樓大概8個人
2樓是小閣樓的包廂
低消較高 但能一群人窩在沙發看電影
主食湯頭都是老闆花時間熬出來
牛排煎到外熟內微紅很有高級感
老闆人也很好喔～"
林映辰,5,"很棒很chill的空間！ 老闆娘們也都很有趣又真誠。可以感受的食材準備的用心。

重點，重點， 夏天的時候會有戶外的電影可以看。還有一個小閣樓可以自由選DVD來看看電影"
Joy wu,5,"牛肉拌麵超好吃 肉超厚超嫩
是牛排來著
泰式口味好特別 愛了愛了😘
朋友的雞湯麵也太讚
雞腿他說超大 湯很威
鮭魚也愛了
重點量都蠻多的 已飽
摸肚子 🤣🤣🤣

老闆看起來粉有個性但是很客氣
有高反差 😝🤭😆
對了 120就有調酒芭樂爽耶"
Chi Wen Peng,5,工作經過看到超有個性的裝潢就立馬約了友人來朝聖，老闆們都超級親切，好開心在台北找到這個讓人如此放鬆的地方！東西好吃酒好喝～老闆還有手作再生的用品與藝術品，我在這裡買到玻璃酒罐再製的煙灰缸也很開心～每週都還有電影放映活動，片單從今敏到宮崎駿甚至還有新世紀福音戰士，真的讓人痛哭流涕，希望我9/20還有空參加他們的市集！最後大推他們家的辣椒醬～好吃～～一定會再去玩！！
Yi-Chieh Huang,5,"老闆說 生意不好，趕快來吃！
這麼好吃怎麼能讓它倒"
林思妤,5,雞料理推薦，真材實料，吃完沒什麼負擔。
Siao li Yan,5,"很讚的一間店！！！
非常推薦來這裡紓解壓力，很適合跟朋友來小酌跟吃飯聊聊天！老闆們非常好，會細心的介紹跟推薦菜單，有問題都可以詢問，歡迎來這吃飯聊天！！"
JayT,2,住家隔壁：雞腿麵$150尚可，牛肉麵$250的CP值低(附的蛋花湯超咸)，還是回家自己做 或站前的劉xx好了
Poza,5,"店家裝潢很有自己的風格
也不定期會辦活動
也很熱心的介紹餐點
餐點的調理都很用心"
張芷瑜,5,氣氛超輕鬆 老闆們超親切，食物又好吃！朋友聚會好去處！推推
Frances Tai,5,"文青系個性餐廳的首選，店內的裝潢設計是特色DIY&質感佳～
雖然離捷運站有段距離，但是為了美食仍值得再訪～訪～訪(講三次就是很推啊！！！)
最喜歡的餐點是鮮鮮鮮雞湯麵，涼冷的夜晚，真的很想要…再續一碗！！！"
