author_name,rating,text
李珈儀,5,環境寬敞舒適，每位老師很親切，寶寶喜歡
盧彥蓉,5,寶貝玩得很開心
Joanna Lin,5,體驗課很棒 老師們也很棒 謝謝🥳
白廷薇,5,"第一次體驗非常的棒
環境很舒服
服務的小姐姐非常的棒"
TC Lin,5,兒子來這邊上課非常開心🥳老師非常用心唷
高倩儀,5,小朋友玩的很開心，讚！
林至純,5,"環境衛生，老師親切，孩子對於上課不會畏懼，反而是期待的。
防疫期間消毒的部分也做的很徹底，來上課也不擔心，對於學齡前的孩子，可以嘗試團體生活"
陳冠志,5,"課程多元，是一個淺能開發的園地。

小朋友在這快樂學習，成長速度比同年齡兒童快哦。"
Bao Lai,5,小孩成長學習的好地方，老師很有耐心教小孩～～
miyuki Lin,5,"不錯的課程，很適合學齡前小孩
老師們都很親切有熱忱"
游璨蓬,5,老師很有親和力，小孩每次上課都很開心
ktasl ktasl,5,一歲上課到現在已四歲半，媽媽很喜歡，小孩也很開心
Lung Feng-Hung,5,老師們都非常親切有活力，非常適合小朋友喔
Darren Lee,5,孩子在這裡非常快樂活動與成長！
Evonne Hsu,5,課程豐富，老師用心，快來上喔！
Claire Chiang,5,對孩子發展超有幫助，是媽咪的好幫手
Lynn Pan,5,從一歲晚玩到快四歲的好地方
廖伯仁,5,是小朋友開心遊玩的好地方
石昕平,5,寶貝在這邊超開心❤️❤️❤️
Tajen Wu,5,小朋友在這裡開心極了！
未選之路,5,櫃檯小姐親切，不會一直強調要趕快報名。
黃朝裕,4,寶寶專屬天地
Simon Wu,4,有些老師不錯 有些一般。
May-yi Shaw,5,"(由 Google 提供翻譯) 真的很喜歡這個地方；感覺像第二故鄉！

(原始評論)
Really love this place; feels like a second home!"
Ken Cheah,5,"(由 Google 提供翻譯) 好的

(原始評論)
Good"
Cindy Wu,5,"(由 Google 提供翻譯) 很棒的地方

(原始評論)
很棒的地方"
Karen Shih,5,"(由 Google 提供翻譯) 孩子們的天堂！

(原始評論)
Kids paradise !!"
潘瓊如,5,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒"
Little Bee,5,"(由 Google 提供翻譯) 偉大的！

(原始評論)
Great!"
和平健寶園,5,"(由 Google 提供翻譯) 很棒!!!

(原始評論)
很棒!!!"
Jeff Kuo,5,"(由 Google 提供翻譯) 孩子們的好地方

(原始評論)
Great place for kids"
duborui,5,"(由 Google 提供翻譯) 乾淨整潔。

(原始評論)
Clean and well organized."
Johnny Tai,5,
王品予,5,
Yumi Han,5,
Cecilia Wong,5,
李宜穗,5,
江靜彤,5,
GYMBOREE健寶園,5,
GYMBOREE TAIWAN,5,
Vanessa Lan,5,
洪瑋筠,5,
F Liang,5,
vicki Li,5,
HCL Hu,5,
孫萬菊,5,
Yang Ron,5,
Jessica Tsai,5,
Violetta S.Y.,5,
林速玉,5,
何斕,5,
Kate Tang,5,
Mandy Yeh,5,
Shao-Chen Wei,5,
辣媽alle,4,
陳姝嫻,5,
Bryant Ni,5,
Louis Hu,5,
Vicki Li,5,
邱珮雯,5,
albert wu,5,
