author_name,rating,text
Kehrou Chang,5,藥師很細心裝藥，領慢籤程續不馬虎，用藥說明清楚。藥局規模稍小，但家中備藥，醫療口罩，濕紙巾都很齊全。
Curtis Lin,5,防疫期間熱心的協助民眾買實名制口罩   平時販售的藥物價格大部分比其他藥局略微便宜
Yi Tse Huang,5,"營業到晚上十一點很貼心
急需用藥的救兵
藥師伯伯非常親切
給藥也非常公道
原本要順便買口罩還特別提醒我明年1/1開始比較便宜一個只要4塊一盒200塊😊😊"
Cynthia Hsu,5,平常在其他藥局買不到的藥膏這裡都有，有些很厲害的藥膏這裡也有。沒貨的話他們也會幫你訂，隔天就到了。藥師的服務很好，價格也很合理。很推薦。
Elun Cheng,5,藥師都非常客氣，營業時間比較晚適合臨時急需用藥的人，價格又便宜，他們推薦的清肺止咳丸，精油錠，止瀉藥，胃藥，腰扭傷的藥都很有用喔!
許永德,5,藥師解說藥品劑量與使用方法時很有耐心
Hy Lee,3,藥師介紹清楚，不會亂推薦
吳佩珊,1,"一張百鈔想買口罩，
這間店的男員工居然囂張說：「下次沒自備零錢就不能買口罩」
什麼理論，政府有這樣規定嗎？"
陳奕達,1,太爛了 明明沒有大人口罩了 還讓人在外頭排隊老半天 爛死了 沒水準
潘怡如,1,態度差到不行
JASON HSU,1,氣氛
Siam Hussain,5,"(由 Google 提供翻譯) 一家小型但看似存貨充足的藥房。由於藥劑師的出色態度和行為，將其評為5星。真的很高興伙計！

(原始評論)
A small but seemingly well-stocked pharmacy. Giving it 5 stars because of the excellent attitude and behavior of the pharmacist. Really jolly fella!"
Yu-Lin Lin,1,
張存信,1,
許啟斌,4,
