author_name,rating,text
莎莎王（Cxa）,5,以前常常經過也有消費過，但是沒有特別好的印象。不過改過裝潢後覺得好感度大增，以前經過聞到的油耗味沒有了，有進步推一個👍🏻
徐玉枝,1,"店內有座位區
店裡也明亮乾淨
但我結帳時載具+刷卡
所以收東西就沒有很快速
老闆臉很臭
把下一位客人的麵包跟我的都放一起
我們還都買了一樣的麵包
收的時候就特別小心以免拿錯
不是很舒服的購物經驗
也許是因為這樣
今天吃肉鬆蛋糕覺得不好吃"
Sylvia Wu,5,店面明亮乾淨，一旁有座位可以休息，喝杯飲料及內用麵包。麵包及蛋糕的種類很多，也都很新鮮美味，價格平易近人，是附近居民及上班族想吃麵包的好店家。這裡採用多元支付的方式，店員都很親切。
Pinyen Chen,5,"品項很多 看起來都很好吃
偶然路過就買了幾樣
超乎期待的好吃
價格便宜但用料很實在
而且都很新鮮
決定加入口袋名單"
CHINIEN CHEN,5,家庭式麵包店，價格不高，味道還不錯
James Chiang,5,"麵包主要的食材就是麵粉，其餘都是配料。麵粉品質、新鮮度如何，嚐嚐最陽春的白吐司最準。
我住在附近三十多年，吃遍方圓一公里內開開關關的所有麵包店，這家品質最好！
老闆父子或許變不出新花樣，但是就如我們每天吃白米飯，在家自備的早餐有片上好的吐司，夾什麼配料都好吃。"
chou freda,4,麵包不錯吃，可加會員集點
王小美,4,傳統與新式西點的兼具烘焙坊，老闆娘很客氣，只訂2個餐盒，一樣熱情招呼。
陳立哲,5,想吃個麵包當點心就來這家 環境弄的很好 絕不同於一般麵包店 行動支付都有很方便付款 老闆跟的上潮流
Yw Wang,4,防疫期間如果店員或老闆可以戴口罩就更好了！
蔡秉翰,5,裝潢亮眼感覺乾淨
溫家慶,5,"員工們笑臉親切.
而且我買的這款6吋蛋糕也便宜！
推推推薦蛋糕店：）..."
rui tan,2,生日蛋糕的蛋糕體超級乾，非常影響口感。而且標示寫香草口味結果買回來是巧克力口味。有待進步，優點是價格便宜
李冠億,4,麵包還不錯，而且店裡有一隻胖橘貓超可愛♥
Elsa Cheng,5,老夫人很可愛、真誠、食品健康好吃
Ronnie,5,找了超久，台北快絕跡的台式泡芙😭，這才是泡芙no.1
Angel Wu,4,Ucc咖啡和布朗尼絕配，我的最愛
Shu yun Pai,4,麵包樸實好吃。但是在非常時期，包裝麵包的收銀人員若能戴上口罩及透明手套觀感會更好。
Sten Jiang,4,比較傳統的麵包店，現在重新裝潢，價格也提高了一點，是附近買麵包的一個好選擇。
葉盼融,5,跳脫傳統的麵包店，老闆一直在追求新口味，讓人進了店裡絕不無聊，每一口都是老闆的用心喔！😊
Chiang Polly,5,好吃的麵包店
H Wang,5,店面有重新裝潢過，味道很傳統的麵包店，最愛炸蛋巧克力跟甜甜圈～
湯玉萱,4,"老闆待人親切熱忱

麵包糕點 好吃不膩

設有親子 賓客休憩區

整家店 給人【溫馨】的港覺"
Penny Lin,5,好吃的麵包~與蛋糕~ 老闆娘親切! 推薦大家來買!
sherry Chao,4,用料實在，美味，CP值高
Roger Yen,5,老闆很Nice
POPIPI,5,沒有奇怪香精味的的好吃台式老麵包店。你們都走開，不要來跟我搶菠蘿麵包、小蛋糕、全麥吐司和法國長棍。拜託OAQ
張瑞璋,5,現在良果裝潢很漂亮，麵包也多樣化，
Phoebe Hsu,5,這家的麵包好吃，是來自於技術與真材實料，不是來自於香精與添加物。
歐秀華,4,在大都會區這樣的價格不會貴，味道不差喔！
宜李,5,三～四十年的在地好味道！！有別與一般連鎖麵包店～讚！
王理,5,非常推這家在這區少見的家庭式麵包店!!!!價錢公道麵包蛋糕材料都很實在
Tiffany Huang,5,麵包好吃且多樣化
陳美雯,5,麵包好吃！！
wei ing黃,5,在地美食 沒有之一
Shiang-ling Huang,5,麵包、蛋糕價格公道
Wang Jh,5,整潔衛生
pin Chuang,4,感覺好吃
登愣,5,👍🏻
任百奭,4,"(由 Google 提供翻譯) 台式西點，沙拉蛋醬麵包款式多，奶油泡芙沒有原始版，只有迷你品稍顯可惜。

(原始評論)
台式西点，沙拉蛋酱面包款式多，奶油泡芙没有原始版，只有迷你品稍显可惜。"
徐健皓,5,"(由 Google 提供翻譯) 好吃又便宜

(原始評論)
好吃又便宜"
Edwina Chenplus,5,"(由 Google 提供翻譯) 布朗尼蛋糕！ ！
鳳梨生長

(原始評論)
Brownies! !
Pineapple struessel croissant"
