author_name,rating,text
M377577 Max0936377577,5,"今天巧遇，衛服部發佈新冠肺炎三級警戒""""""
全店就只有我一個人用餐
老闆和老闆娘好熱情，一直問我要加點嗎？
上餐只等了2分鐘"
FISHER LIN,5,"【漁僮小舖，日式，嚐鮮！】
和各位客倌介紹一下，這是一間只有八個座位的店面，一張四人桌，四個吧台座位，由於座位極少，非常大的機會需要排隊！！！

運氣很好，來的時候人少， 現場看黑板上的菜單來點餐，今天肚子不太餓，所以點了鮭魚拌飯，和生魚片。這裡的炙燒鮭魚好巧不巧的是吃過印象中最好吃的炙燒鮭魚(個人經驗不算多😅)，廚師剛好有空，和我們分享了：要有筋或是有油脂的才適合炙燒，沒有的話炙燒會太乾，只適合做生魚片。 …"
scifisam chou,5,"位子雖少，卻是很棒的日式小店，食材新鮮，可說是物美價廉。
拍照前，請先相談，老闆的唯一要求。"
Enno Li,1,"今日用餐價格160元的海鮮丼飯，用料有6片厚切的生魚片，其中一片有做炙燒，但炙燒不是現烤，還有些許的吻仔魚，幾片黑木耳，一塊兩三口的玉子燒，一片豆皮及一些些菜餔的醃製物。

飯是使用白飯而非醋飯，所以吃起來不大習慣，生魚片的刀工普普，魚肉的口感不如預期，可能新鮮度不是那麼好，最後味增湯的部分也是較為普通，雖說有魚肉但是口感沒有那麼濃郁，湯的溫度不高，不是燙口冒煙的那種。

會覺得與其說是海鮮丼飯，更像是生魚片丼飯，平常喜歡且會去吃日料的朋友，若來用餐可能要問一下餐點內容，避免與您的預期有落差。"
Dana Wang,3,如果正好在附近，想吃海鮮丼可以再來碰碰運氣，看有沒有位置。
Lisa Liu,5,"第一次來的人可以點一個綜合海鮮丼+味噌關東煮；）

因為偏愛鮭魚所以各點了生鮭魚丼&熟鮭魚丼，因為生鮭魚有炙燒，所以怕生食的朋友也吃得很開心～～

店小小的，很有在日本小店吃飯的感覺，大叔有一種做自己的親切（？）XD

總之是值得去的店，照片還有玉子燒（冷食）、魚卵花枝（帶蜂蜜味）、綜合野菜（水煮佐胡麻醬），綜合野菜我也是第二次點了🤤"
Sophia Lien,2,鮮魚丼飯漲價了但未漲品質，蘆筍沙拉只有兩根小小的蘆筍😅其他都是高麗菜生菜，味噌湯沒什麼味噌味，不知道是否加糖感覺微甜，份量非常少男生可能要點兩份才夠吃飽，整體普通。
PY S,4,"很有深夜食堂的感覺的日式小店。
座位只有8個，有一張桌子（4人）跟吧檯座位4人，店面不是很醒目，很容易就錯過了，服務還ok,點了綜合生魚片丼，生魚片切的滿厚實的，口感不錯，好吃！
味增湯價格滿便宜的，但味增味道滿淡的。
是間可以再次造訪的小店。"
AlberTy Tr.,5,好看又好吃 但醋飯跟我平常吃的不同 醋味沒那麼重 放的是香鬆
賴小羽,5,"還不錯吃，但飯量有點少
如果男生可能要吃兩碗(笑"
Wei Anita,4,生魚海鮮丼（160元小份），生魚片厚度實在也新鮮，搭配的小菜口味都不錯，味噌關東煮（80元）的料和想像不太一樣，湯有碎魚肉末的油脂與鮮美，不過料主要是豆包類，除了切塊的豆皮捲，看起來像油豆腐的這塊中間還塞入有點像肉羹的東西，其實口感還算特別，只是吃起來一直覺得隱隱有凍過的冰箱氣味，另外就是幾塊稍硬的蘿蔔丁，整體來說生鮮表現較佳，以後若要點湯類還是樸實的一般味噌湯就好。
楊詠涵,3,"很有深夜食堂feel的店家，熟客看的出來不少，可惜覺得是外表大於內在（但約會應該很有氣氛）
看到評論有人說像大型的爭鮮，吃過後感覺是形容極為貼切。飯不是醋飯之餘，還非常的乾硬！硬到粒粒分明的嚼勁，魚料素質普通，看到大家說好評的味增湯被友人說是喝過最不好喝的頭三名，價錢雖然划算($140/$20），只講求Cp值的人應該會喜歡。
但也有可能是因為我們都吃生魚片等的料理，有商量過或許點熟食丼飯或許會好很多。"
Han Wang,4,東西不貴份量也算適中大多味美好吃，最愛山葵魷魚和鹹的玉子燒！但品項就不多且位置很少也很擠！常常需要等待！
ChingHan Liu,5,物有所值，味美價廉，2人小店，8個座位
Shih Nathan,5,能夠自己搭配材料的丼飯 食材新鮮又實惠
wanchun Lo,4,料理很好吃~因為座位只有8位 內用要等喔～
楊宜華,4,"已二訪，＄140一碗的生鮭魚丼飯cp值超高！可以解解想吃生魚片的癮頭。
鮭魚油花分布均勻，吃起來很細緻，女生吃完大概8分飽，我很喜歡。
唯獨美中不足的地方是底部的飯使用的是熱飯，吃起來不太習慣。"
薩克拉門,5,"雖然店面很小很容易忽略，但絕對是六張犁不可錯過最好吃的日料之一，老闆的堅持=品質保證
滿嘴鮮味妙不可言。（比井X禾食好太多了，大家真的不用去排那間）"
周春天,3,"不喜歡吃茄子！但是這茄子搞得真好吃！
其他一般般…
台式口味～也不是不好就是！"
廖小妍,5,非常有日式風味的一間食堂，不管是環境或餐點，值得去吃看看，只是要有現場候位的心理準備
翁薇珺,5,"好吃！！cp值又有夠高！！！
推推推"
太空電波（靡靡知音）,5,好好吃， 鱈魚肝醋 味噌湯 生鮭魚親子丼 ，老闆很真誠的親切 ，小小的店面卻有溫暖
Nicki Lai,3,鮭魚丼的飯竟然是熱的淋上醬油，味噌湯調味淡，芥末魷魚和鱈魚肝尚可，算是對得起便宜的價格吧！
鄭永誠,4,關東煮很好吃喔，除了蘿蔔跟油豆腐，其他料都是沒吃過的，老闆說是自己做的
Liyupig Chu,5,非常好吃～而且價格實惠，店面雖小只有8個位置，但非常溫馨舒服的用餐環境
liam tsai,4,"烤鮭魚頭跟味噌湯 還有漁夫井飯新鮮又超值
胡麻豆腐豆味很香濃 口味比較成熟
CP值很高的餐點"
Hans Ho,1,"餐點普通不差
但明明說送鮪魚泥手捲變蝦卵手捲
一星啦"
Cheryl Lee,5,雖然位子不多，但是價錢便宜，食材非常新鮮好吃！
MM,1,"魚肉沒有到很新鮮
店內不會附茶水
生魚丼飯也不是醋飯 而是白飯
整個傻眼"
Yupei Cheng,4,"海鮮丼cp值高也新鮮
但是丼飯是熱白飯，吃起來比較怪😭有點可惜"
