author_name,rating,text
Juan Jian,5,剛開始家人說要去參加采風錄的金門團，我查了網路後實在嚇一跳，網路這麼多負評，價格又這麼低、會不會是詐騙!!後來詢問後還是抱著試一試的心態，沒想到參加後真的讓我刮目相看，團費雖然只有3千出頭，連機票錢都不夠，但看的出來他們安排很用心，我們住的是金帝，網路上評價也是一般，但是在市區，晚上逛街真的很方便，導遊小洪也是很專業，他是在地金門人，又是連長退伍；所以對金門的解說真是讓人佩服，也都不會強迫我們買東西；還到處試吃，還幫我們要了很多禮物；CP值真的超高；真心覺得值得推薦給大家
黃Gi,1,"一顆星都不值得
預定行程初期更換一位同伴 當時回覆沒問題
到行前一天才說把舊的那位資料刪除了但沒處理新的那位 竟然還不是主動告知是我們收到的資料上人數不對詢問才知道 只說也沒機位了會退費給我們 一點歉意的話都沒有 超生氣質問是要我怎麼突然在行前一天跟家人交代就你一個人資料漏了不能去假都請好了 竟然還跟我說反正那個人本來就是後來才說要去的 態度真的可以再理所當然一點啊！？
後續追退費不是已讀不回就是乾脆不讀打電話過去也是互踢皮球 我就要看你們還要拖多久
附圖一張 當天同班航班顯示尚有機位"
一起玩,5,說實在的金門三日以2999這個價位，性價比真的很高；光買機票都不只這個價錢了，導遊黃X興很會介紹，服務態度很好，值得鼓勵
Ann chien,5,家族旅遊去金門三天兩夜，報名前看到網路上旅行社的評價很低，一度非常猶豫，後來致電旅行社說明疑問，由旅行社許先生接待，把網路評價與住宿疑問都直陳說明，許先生態度親和，也處理快速，不到五天要出發，當天就敲定好所有機位(我們家族13個人)。安排的民宿是金鷺，網路評價很高，入住後很乾淨也服務很好，導遊小周很專業，帶去的購物站都是大品牌，不用擔心踩雷也完全不強迫購物，我們團25人，有人完全沒買的，導遊一樣照發禮物麵線貢糖等等。cp值很高，有點小狀況是我們到機場送機人員還沒到，但是都可以 …
陳怡雯,1,"公司員工人員遇到問題回應問題都說不出結果來，有夠差勁的旅行社，時間快到還給不出來基本行程飛機時間住宿實在有夠不專業的，我們沒看過旅行社處理退款問題這麼久的需要五個多月時間還處理不了問題，line回訊息都已讀不回不聞不問裝沒事一樣....🤬，去玩旅遊不開心就算了回來還要處理這種鳥事要處理這麼久？
你們公司做事情很懶散已讀不回就算了，超級質疑你們訓練人員不佳遇到問題都草草帶過訊息也已讀不回，都要走法律途徑解決了😡😡😡
對此旅行社已失去耐心信心了，不是不給機會是你們處理態度太擺爛又無言
連一顆星都完全不想給你們超級差勁"
吳憨憨,1,一顆星都嫌多，不回訊息，前一天才說訂不到票，行程與3個月前預訂好的完全不一樣，詢問有無補償已讀不回，比業餘的還爛
Patty Lin,1,出發前五天才通知取消，退款又很慢，非常不推薦
陳米鹿,1,"千萬別跟這間的團😠
1顆星都不值得😠
低價騙取客人買單後
開始住宿由原本的飯店變青年旅館
出發點由原本的台南改高雄後又改嘉義😠
業務楊先生超級糟糕的服務態度！收錢不做事！問什麼都不回答！爛透了😠😠😠"
李俊諺,1,"一顆星我都覺得太多！
出門前所有事情都是未知數！
班機 行程 車子改了又改，什麼事情都弄不好！
所有事情都先自作主張，都沒有尊重旅客！
這間旅行社一點也不專業，只有爛一個字！"
陳珮瑄,1,"要不要改名叫“是在哈囉旅行社”？

出發前兩天才說我們團的車被別團調走
沒車沒房要延期或取消，一句抱歉要了事？
當初個資核對還大大方方的po在大群組
消基會、個資法都不用參考就對了🤔🤔🤔"
kevin chuang,1,"6/15 旅費就已經付款完成 金門三日
7月中 詢問班機資訊，說前十日會通知
8/3星期一，出發的前七日，旅行社說作業量太大，要再一兩天
8/5再詢問班機資訊，說根本就漏掉我們這一單報名作業，推託說人數不足

人數不足不夠人數開團,您旅行社不用提前告訴旅客？還要旅客一直詢問？

此旅行社行政作業很有問題，有看到評論的自己衡量斟酌"
許秀連,1,兩週前就不斷向旅行社討詳細的行程表 但都表示未出盧 直到行前兩日才傳 但卻發現少一人的資料 致電聯繫才表示沒排到機位 態度惡劣一句負責抱歉的話都沒有 甚至還說沒有機位又不是他們的問題 但至少事前告知吧  竟然回覆他們也是現在才知道 極其不專業不負責 讓人火大
玄玄,1,"出發前幾天才告知機票沒訂到
又推託責任說不是他們的問題
電話中態度極差
有要訂此間旅行社的人可以再三考慮"
黃晴愉,1,非常劣質的旅行社!要出發前一天才告知沒有你的機票。我知道團體旅行有候補這件事，但是我沒候補上你也不應該要出發前一天才告知。一般旅行社會讓你候補位子到後才要求你匯款，而且我已經將款項匯到旅行社了！
黃宏,1,出發前兩天才說沒機位，還不是他自己講的，去確認才說沒機位，打電話過去回覆態度也極度差
洪圻宏,1,DM的飯店跟實際住宿完全不一樣相差很大
lee ricky,1,有受騙的感覺，參加他們的團沒保障
Ya Yu,1,一顆星都嫌多😡
翁翊慈,1,態度差
黃文正,5,"(由 Google 提供翻譯) 享受美食，週遊世界諮詢服務棒。

(原始評論)
享受美食，周遊世界諮詢服務棒。"
015 z,1,"(由 Google 提供翻譯) 爆炸

(原始評論)
爛爆"
薛平安,5,"(由 Google 提供翻譯) 美而美

(原始評論)
美而美"
yuling Wang,1,
影印機出租儀美科技,5,
林冠程,1,
Fang Iris,1,
chihping chen,1,
