author_name,rating,text
Christina Lee,5,來到學生時期常去的校園書房逛逛，這是大樓改建後第一次來逛，別有一番滋味，不過還是比較懷念以前的校園書房，一樓空間很大，書籍分類很清楚，B1是禮品區。新的校園書房一樓和二樓讓人覺得逛的意猶未盡，可以待上一整天，忘了時間！☺️
陳順基,5,"以前常來校園書房逛，尤其是有了小孩後帶著她們來到這裡；溫馨的陳設、齊全的文具、美麗的飾品，常讓小孩能找到喜歡的東西。
改建之後首次再來造訪，裝潢比從前更舒適高雅，一樓有樹的造型連到天花板，從一樓走到二樓的樓梯間也有造型牆；一二樓都有座位區可以看書休息，二樓的落地窗前的位子看來更是舒服。文具飾品卡片依舊五花八門，尤其是與教會相關的特別多種，書籍陳列清楚，教會與主的各種書籍尤其豐富，是想找這類書籍的首選。
整棟樓被改建成多功能的教會場所，有各式功能的樓層，校園書房位於新大樓的一二樓。功能性跟主題型很鮮明。"
林玉彰,5,之前因為整體建築重新改建又經歷漫長的疫情影響所幸最終得以落城，建築的外體為日系建築的清水模結構而新的校園書房更加明亮整片落地窗外構目前也有優惠活動，在台北能夠有個優質閱讀環境非常受到歡迎.
潘秋燕,5,校園書房好久沒來了，今日一見，真的是驚艷許多！
Cynthia Wang,5,"這裡很美，充滿了基督教相關周邊、精品與書籍，聖經有很多種款式可以挑。

其中照片是那裡賣的精品之一，很精緻的項鍊。"
勒亞,3,校園書房位在公館捷運站4號出口，是販售基督教書籍的指標書房。重新蓋建後，與以往風格迥異擺設佈置，感覺空間變小，書籍變少，人氣不比以前的感覺。
陳宛蓁,4,重建後空間較為寬敞，使用暖色調燈具，室內氣氛更為溫暖，排列亦較有系統
楊庭婷,5,改裝後的氣氛很不錯，二樓有閱讀的窗景吧台和親子閱讀區，一樓的大眾讀物感覺有特別挑選過，我比較常在二樓駐足挑小物送人
Yuan-Yu Chuang (莊元瑜),5,"校園書房，為主發光，持續站立。
2021/3/20午後，購買彩蛋膠膜（附照片1張）。"
cncn cncn,5,很棒的書店，我雖與上帝不熟，但是上帝的音樂、相關商品、書籍，在書店裡呈現的感覺很好👍
鍾國華,5,清静、整潔、 井然有條，找本好書，静思的好地方！
李均慧,5,很友善的環境，有電梯可以到二樓，店員像朋友一樣回答你提的問題，很精緻實用的文具，很不錯
廖二哥,5,很溫馨的書局，很有聖誕節氣息fu，禮品都超可愛的~~
yang isaac,4,"新穎的大樓，一切都是新的~
我倒是喜歡舊的校園，較為溫馨，有家的感覺。不過時代在變，舊皮袋不能裝新酒，改變才會發現新的契機。"
湯發凱Tang Fa-kai,4,小時候常常來校園逛，尤其是媽媽帶著我們在聖誕節的12月來到這裡；雖然當時和之後也都知道校園書房是宗教書房，但是改建之後的美麗令我覺得有點不好親近......雖說比從前更舒適高雅，一二樓都有座位區和洗手間可以看書休息，但是除了今年充新開幕的聖誕卡片不如以往像是展覽一樣的五花八門；還有名副其實的書店數量與類型，也都是幾乎翻開就是宗教，飾品或是用品區也都離不了主耶穌..... …
Gary Chang,5,"環境優美氣氛佳，沈澱心靈好所在，圖書雜誌與文具，禮品音樂與文創，
精緻且物超所值，還有貼心會員價，基督福音好消息、按時分糧好管家。
青年靈命助長成，活動據點在校園，學生生命得翻轉，建造天國真精兵。"
Jacob Lee,5,我最愛的書房，充足的屬靈書籍、親切熱心的服務！
Travel eat (steven),4,新裝潢的全新門市，很舒服，喜歡這邊的裝飾文具設計，比一般書房來的精緻又藝術現代一點，需要送禮物給教會或福音朋友的可以來逛逛喔…👍👍💪😆
汪小小,5,乾淨明亮、分類清楚有條理、平安喜樂…讚讚讚！♡d===(￣▽￣*)b ♡啵兒棒滴啦！…
Weikuo Lee,5,非常喜歡校園書房！環境舒適宜人、書種齊全，經常有新文具、禮品和書籍上架，是採購首選書店。
德聦張,3,交通方便，宗教書籍豐富，並設計閲讀區遥望台一人校園，服務親切！
ming-hsien Yang,5,轉換心情、找書、看書、買書，買禮物的好地方。
Hugh Ting,5,全新開幕後，第一次進來逛，空間更寬敞，很舒服～～
Joseph Hsiang,5,很好的基督教書房！書籍雜誌文具禮物俱備，應有盡有！
Sofa Liu,3,重新回到新蓋好的書房，感覺書籍種類變少了。
藍芸,4,改建後的校園書坊，空間很大，但是標示不清楚，只得邊走邊找
Joy Hsieh,5,重新開幕乾淨明亮，CD在2樓右後方比較不明顯
Artist 王娟娟 Gloria Wang,5,一樓有許多好書、2樓有許多基督信仰的書籍…也有精美的禮品。環境清雅，交通便利，值得經過時就進去看看。
莊文山,4,服務親切，詢問找相關書籍，便捷有禮！
蕭仲傑,1,改建完，感覺更商業化，似乎優先主打非基督教書，可惜
Jerry Wang,4,新裝潢好的書店，販售都是宗教相關書籍，有聖歌播送
Chin Chu,5,"舒適的空間
挑本書，靜下心，發現不一樣的自己"
林瓜妹,5,"舒適的空間
挑本書靜下心
有兒童區真不錯"
