author_name,rating,text
晴朗,4,"一切都很陽春，也沒有淋浴，完全符合訓練的目的，機械式很少，蹲舉架有七座，剛好符合自己需求所以還蠻滿意，但希望可以增加史密斯😅女生都很愛用！
近期人越來越多了，希望快點有分店！"
Lien Wei Ou,1,"這家真的是有史以來來過最最最悶熱的健身房
夏天快30度裡面還是不開空調
又在地下室
如果想要體驗三溫暖的可以來體驗看看
但如果是來運動的請千萬不要來❤️"
賴儲存,1,"花了600元設定費加入月費制，用沒幾個月就片面取消月費制度，還說什麼設定費是給廠商，所以無法退款

要不要乾脆說水費是給自來水公司，電費是給台電，薪水是給顧場地工讀生，再多收個幾百塊水電費跟薪水費？

既然以「設定費」名目轉嫁本該自行負擔的營業成本，就要提供相應的服務啊，會員把錢繳了，你們再片面取消該制度，是詐騙集團喔？"
Annie Liu,5,"3 minutes walking distance from MRT DAAN station. One minute one NT dollar, paid by the EasyCard. There are basic strength training equipment and treadmills. Located at B2, different from the one at B1. It's a good choice for those who …"
Cacey L,1,2020/1才從Lioness Studio改名整合，大安新店試營運，結果暑假剛紅紅火火做了一堆月費訂閱制促銷，沒想到10/15卻臨時公告停止販售訂閱制月費...完全沒有售後方案，說沒了就沒了。而沒有月費後，團課要每堂多收60元計時費，當初訂閱月費繳的“系統設定費”600元也不退還，明明一堆人google評論抗議，依然官腔回覆，觀感不好。 …
t4,5,"器材專業 教練課程也很不錯。
可以找到適合自己的健身規劃"
吴沛儒,4,"自由重量較適合（器械較少
十公斤槓片有點少."
張禹崙,2,器材專業，場地小，非常不喜歡他們的APP入場方式，員工訓練不足（無法明確告知註冊方式）即使每分鐘1元很靈活的收費方式我仍然不願意長駐於此‥
趙敏翔,5,"寬敞 很多功能性器材
悠遊卡扣款 1分鐘$1"
利旻（lihtom1234）,1,"當初收設定費就是為了要能定期扣款買月費制，結果現在說無法做到定期扣款，要取消月費制，不是典型的收了錢不做事？
這家健身房的場地做得很好，但公關真的爛到不行，之前修冷氣兩星期說要補償會員，結果不是統一補償，是要申請才有。也看到過服務鈴按了10分鐘還沒有人回應。
奉勸想來這邊運動的民眾，幫自己找好後路。當初月費600+設定費600爽爽收，人一多說取消就取消。以後搞不好連買分鐘點數都加一堆限制，小心點啊。"
蕭其峯,5,大安店的環境整潔，整體來說也很空曠。器材更新，而且又靠近捷運站很方便到達
王勤為,4,"空間大一點更好
還有飲水機和廁所可再改善"
羅國良,5,CP值高，推薦大家可呼朋引伴一同運動去
劉卲乙,5,"在這邊開始了我的自由教練生涯
整體來說在設備方面滿不錯的有草皮區
也有一些特殊槓如SSB、六角槓等
雖然說人流有點多但是整體的環境來說是滿意的
場地價格上很便宜
算是自由教練的天堂了
每個入場的人都很認真
教練認真上課
學員認真學習
一般民眾也都很專注在訓練上
是個難得的地方
訓練風氣非常好"
