author_name,rating,text
Curtis Lin,1,南瓜大餅奇難吃  麵皮硬 裡餡乾涸  能做到這麼難吃也算得上一絕
"朱水龍Peter,Chu",2,"這間分店很缺錢啊！

因為肚子餓加上喜歡吃。
經過時，
來買了南瓜大餅50+山東老麵包30+宜蘭蔥餅40+二顆鵝蛋2×35（一鹽水，一茶葉）總共應該是190元

居然跟我收220

因為餓著有點暈，沒想太多，
也相信店家不會騙人。

事後記帳發覺多收了30！！

鵝蛋是3顆100沒錯，
但我只買2顆，倒底是那來的第3顆？

大家來買的時候，一定要拿計算機算一下。"
Chris Lai,4,每一間的口感品質還蠻平均的
ray Pan,4,"麻花是用烤的,鵝蛋銷路也很好！"
Mark Lin,2,剛吃了老闆說賣最好的筋餅...真的不好吃...sorry
Exploring Hank,3,聽說是統一配送的，到中午大概就涼了，熱熱吃比較好吃，推鮮肉餡餅
caryschang,5,很好吃喔!有空的話可以來吃吃看
貝貝,1,酸菜肉絲沒有肉絲失敗
Lin香香臭臭,1,"(由 Google 提供翻譯) 昨天買到竟然發黴沒良心

(原始評論)
昨天買到竟然發霉沒良心"
王玉堂,4,
蔡宸睿,2,
黃仁惠,3,
羅士文,3,
洪恭賢,4,
Weichen Lin,3,
林郡鴻,5,
彭冠鈞 Allen,5,
楊小玊,4,
Acer Yang,2,
Ada Yang,3,
Peter Wang,5,
林建甫,4,
Herschel Wang,3,
