author_name,rating,text
Cindy Wang,1,收費比一般醫美偏高，買了課程做完了卻沒什麼效果，感覺醫生和諮詢師的經驗和專業度都不夠，資訊問題都沒有確定的回答。
Katherine Savanna,1,本身個性很害怕人推銷，看過網路推薦文說完全不推銷、給的意見中肯才過去。順序：諮詢師了解狀況-->拍儀器檢視皮膚-->醫生看診約10分。一見到諮詢師態度不太友善...醫生態度平和，說我皮膚狀況不多，用皮秒和染料雷射修一點即可 (直接看臉的狀況但沒有看儀器拍的圖)，也給皮膚之外的意見。 …
林言希,5,環境清幽隱密，服務⼈員都很親切，讓⼈輕鬆⾃在沒有壓⼒
宋欣樺,5,進⾨前有點緊張，但服務⼈員從⾨⼝接待到房間內服務都非常親切舒服，讓我可以⾃在的接受治療~
陳語熙,5,聽朋友的建議來這裡接受蜂巢⽪秒雷射來解決曬般的問題，術前術後醫⽣和咨詢師都很細⼼解釋，讓第⼀次做雷射的我放鬆許多！值得推薦~
Claire Cheng,5,環境很隱密整體的規劃很棒，進去有專屬自己的窗景房間，諮詢師的服務也讓人很舒服不會一直推銷，尤其有360度的全像攝影，可以清楚知道課程前後皮膚狀況提升的真實數據，不像一般坊間只能憑感覺解說，再來就是林醫師的親切問診並給與專業建議，軟硬體搭配100分，大推薦👍
Amber Chen,2,"只去做過一次諮詢，就因咨詢師態度和銷售包套方案，暫且不考慮進行療程。

感受上確實跟評低分的網友們差不多，
美容師和醫師都蠻親切和善的，醫師的建議聽起來也是合理且有參考意義，
初次諮詢就會先拍高解析各種肌膚問題的照片也很有實際幫助；
唯獨諮詢師的推銷真的讓人有壓力，給了只能包套多種療程的方案, 讓想要做單純療程的我很困擾，可能確實多療程的搭配會讓效果達到100分，但那不是每個人都適用與想要的選擇；
問單一療程的價格也講得不直接透明，讓人心好累，覺得如果買了療程以後都會是這樣推銷，那還是再想想好了😅"
ho hchun,1,買了整套療程+其他小項目，花了將近10萬費用，本來是希望可以在比較專業的地方做，服務真的不敢恭維，美容師還好，諮詢師真的態度一次比一次差，第一次來就會拼命問你是看到哪個廣告(網紅)介紹來的，接著剛繳完費用第一次施作的態度，對比術後有些地方詢問，態度都很不耐煩也很不屑，預約接下來療程若沒有加其他項目，態度簡直糟的可以，很瞧不起人，沒錢就不要來的態度，療程的權益或其他施作事項術前都不講清楚，沒問不知道，術後發生才會知道。另外好不容易可以跟醫師講到話時，後面還會站一排不誇張真的一排 …
YJ C,4,"整體氛圍很好，隱密性算高，
肌膚檢測前有人員協助卸妝，
態度親切也卸的很乾淨，但擦的時候有點力道，
檢測後看皮膚各項指數頗匆忙，
講解很快，迅速結束。
之後是醫師面談，
瞭解希望改善的地方並提出建議，
大概5分鐘。
最後是諮詢師接洽，
真的有種趕時間的感覺，態度不太親切
應該是可以展示符合診所理念的形象，
這部分比較可惜，
希望能調整。"
Lii Lee,5,"非常害怕的走進去
看了一堆推銷的文
但這次的諮詢感受非常好
專業的建議
也不會讓人有壓力
好好思考自己需要什麼
也不會因為不買療程就不講解
推推這家
一起跳坑"
Carina,1,"環境乾淨優美讓人很放鬆，醫師雷射技術很好，美容師態度和服務都很棒，但是銷售的態度很差，讓人覺得不知道在跩什麼。
高單價的醫美保養，消費者體驗到的高規格的傲氣，真是值得鼓掌👏"
BOTANIPLAN VON LEE CHI,5,"[ 氣孔組織 Stomatal tissue ]
_
無形的交集延展，成為社會的秩序以及世界漸遞的改變基因，因而成為了聚落、活動、衝突、死亡與再生...
_
The invisible intersections have become the order of society and the genetic changes of the world. Thus, it becomes a polymer, activity, conflict, death and regeneration...
_"
Ines Wu,5,"舒適質感的空間及隱密地點，很有探險的氛圍
擁有個人獨立空間加上服務人員很親切
醫師療程解說也都相當清楚（很重要）
有別以往醫美診所的緊張氣氛
整個過程都讓人覺得很放心
診所對於後續皮膚狀況追蹤也很到位👍🏻"
Jiff Chan,5,"台灣下雨了幾天，有夠無聊了
在朋友介紹下，訂了漫雲思境的皮膚療程
對，女人嘛，的確要為自己長長臉，沒有東西是比我自己本人更值得投資的。

價格不是樓上二樓小診所般的大眾化是意料之中的，因為知道環境和器材也是預料中的一等好的，本小姐最喜翻的就是店內人不多，只有幾間獨立房，私隱度很高，太安心了，畢竟卸了妝做完臉的狀況也不想讓人看到啦！ …"
Katalina Bon凱姊相談室,4,溫暖舒適的空間，服務人員很仔細貼心。
Mei Lin,3,"在這裡做過些雷射和水飛梭，有些還好有些不錯，美容師和醫生的服務都很親切，整體硬體環境是最吸引我繼續來的原因。
但是不得不說真的很不喜歡咨詢師（介紹價格的人員），是讓我不想繼續來的理由，推銷的方式和說話的口氣都讓我覺得很滅火。
不懂為什麼都要包套賣，只想做個別療程不行嗎？一定要加些其他東西然後好像這樣就比較划算，但就不是我想要的，價格也比一般來得高，很不喜歡這樣的銷售方式。"
Angel Huang,5,"高級隱密又漂亮的醫美診所,服務態度佳價格合理❤️大推~護理師也非常專業解決了我很多問題😊"
Melody Lee,3,"以醫美診所來說環境很好，拖鞋很好穿😂
廁所還有dyson吹風機
接待人員也很不錯，醫生人很親切
但諮詢師給人的感覺太商業...太push
覺得很沒有溫度，一直要推妳東西
唯獨不滿意的地方是，預約時沒有說要膚質檢測
上好妝出門，當下被要求卸妝而且也沒有補妝用品
覺得在預約當下應該要先告知第一次諮詢的消費者
不然這樣素顏真的蠻窘迫..."
CHEN-CHI WANG,5,"朋友推薦下來到漫雲，也扭轉了我對一般醫美診所的印象。第一道門打開，眼前的庭院開闊而充滿綠意。

第二道門打開，米白色為主，木質為輔的室內，沒有過多的裝飾，簡單明亮的的空間，令人不自覺地放鬆心情。

諮詢師的引導下，換了拖鞋，填寫資料後開始了我人生第一次的臉部膚質檢測，根據檢測結果和醫生的講解，可以清楚的了解自己目前的皮膚狀態。 …"
Ray Sun,5,"這是我第一次到醫美診所做皮秒雷射，對於一位趨近中年40歲的我來說，其實是有點害羞，既期待又怕受傷害，因為我的刻板印象認為愛美是女人的專利，跟男人搭不上邊（這其實是蠻落伍的想法）。

但是漫雲讓我的第一次，充滿了安心和幸福感，因為服務令人感到幸福溫暖、醫師技術專業沒話說、環境令人有安心感，這真的是打從心底的真心話，會想令人持續使用的服務和診所。 …"
YC Wang,5,醫生和護理人員專業親切，環境清幽舒適，有到高級度假飯店做Spa的氛圍。
吳嘉敏,5,"很難得找到一間位在一樓而且隱身在巷弄間的醫美診所，入門後有一個寬廣的庭院，因為視野就很開濶，整個心情大好；美容床上鋪著柔軟的毛毯，觸感相當舒服。在療程前的深層掃描儀精確地分析毛孔、皺紋、膚色、油脂分布，更了解自已皮膚狀態。上了麻藥後開始人生第一次的皮秒雷射，超帥又親切的林醫師在說明我的膚況後，溫柔提醒接下來雷射過程，重點是在打的過程中，加上林醫師迅速的動作，伴隨冷卻噴霧，竟然沒有絲毫痛的感覺，真是太棒了。
建議大家在皮秒結束後搭配使用潔皮，是一種高壓精華液導入設備，噴在紅熱皮膚上，冰冰涼涼的好舒服啊，可以幫助退紅消腫喔。
今天真的是享受了貴婦級的醫美服務，超開心（轉圈～～），大推！！"
黃宗義,5,"環境舒適、隱密，服務人員親切、貼心，感覺不會像是去一般醫美診所頗有壓力；先是用一台個人覺得很先進的儀器，將臉部肌膚的種種狀況呈現出來，再一一解說。
然後我是給一位林醫師診療，整個過程很仔細，給的建議也很中肯，在療程結束後，還有美容師(我不確定她們的稱謂)再幫我做後續的保濕、修護。
從進去到出來，整個服務流程感覺很完整，也很放鬆。"
Evangeline Lin,5,"細膩、品味。隱秘、漫步雲裡。在大安區這幾年⋯真的挺意外，這扇門開啟的是這樣的一回事。
尤其「林醫師」的服務與專業令人驚艷⋯

#漫雲思境
雲朵
.
隱秘、像個秘境
走進這、好像喧囂的都市瞬間凝凍
走進了一個漫雲思境
這個秘境
讓緊繃的
毛孔
神經
都得到舒緩
我們可以
鬆緩
療癒
放心 .
享受、因為我們值得"
吳勁辰,5,"這邊隱適美的價格相對實惠，諮詢師跟醫生都超親切、細心，很照顧客人的感受，環境也幽美。而宋醫師照顧客人的感受體現在：我不希望拔牙來騰出空間，宋醫師就主動幫我想了磨牙縫這個比較費工費時的解決方案，我聽有在做矯正的朋友說，通常其他醫生都不太願意用這種方法，能拔牙省事最好，但宋醫師不會，他會很有耐心的跟客人溝通，並且想辦法幫客人解決問題，把牙齒矯正做到最完美。
至於諮詢師們也都又美又親切，很喜歡跟他們聊天，來這邊回診時都覺得很放鬆、自在。"
Tsai Sandra,5,"漫雲思境完全讓我感覺舒適
一進館內還有親切的服務人員
全程細心及貼心接待
這次是我初體驗皮秒雷射療程
療程前會有膚質深層檢測及解說
而且相當注重隱私覺得很棒
我是讓 林昱廷 醫師診療
過程中專業解說不讓人聽不懂
溫柔呵護著我的肌膚
完全沒有壓力就像在家裡
從一開始到結束都是個很棒的體驗
真心推！"
Jill Lin,5,"關於保養皮膚很推薦-林醫師

除了解說的很詳細，專業度也讓人放心！

皮膚的各種疑難雜症，非常推薦林醫生喔👏🏻"
黃威如,5,"高級清幽的環境，給人隱秘的保護，是第一眼踏進漫雲思境的感受，單從外觀看還以爲是什麼私廚，沒料到竟是高檔的醫美診所。

療程環境好，且用visia機器可360度環攝皮膚狀態，做全面的膚質檢測，諮詢師也不會強迫推銷療程。來這裡可以放輕鬆的完成診療，更可以在舒適的場域之中得到療癒。

推薦林醫師：）"
阿跳,5,"非常舒適的環境、貼心的服務以及耐心細心的醫生諮詢，尤其是Eric醫師，個人最推薦，最後就是有最先進的儀器，整體感覺相當棒。

2020/02/04 來做第二次體驗補充，還是一樣令人舒服的服務，特別推薦林昱廷Eric醫生，給予最專業跟認真的建議跟服務，這次是做皮秒，整個療程不痛，且術後冰敷的過程也很舒服（以自己之前去其他家的比起來）"
Ingrid Lai,5,"非常適合愛美又在高壓工作環境奮鬥的人，有別於其他高樓內的診所，這裡綠意盎然、自然簡單

從進門開始就是一連串度假般的體驗，溫柔舒適，提供膚況的解析

林醫師專業、謹慎、親切，用心溝通，細細呵護，療程中輕鬆陪伴，建議中肯

是個為自己充電、又帶給身邊的人美麗的好地方！"
Anna Wang,5,"環境優美 很令人放鬆的氛圍...

諮詢師親切的診療態度 讓人能好好的述說需求，更棒的是有一台機器可以360度環攝皮膚狀態，馬上說明目前10大膚質狀況。覺得很神奇！並透過專業的林醫師說明，找出適合自己所需要的療程！大推👍"
ling wu,1,環境很好但第一次進去諮詢師很有壓迫，基本上都是由諮詢師了解狀況，對於容易留疤體質不夠了解，有小姐在旁邊等待醫生也表現出不耐煩一直看諮詢師，這裡適合皮膚很好的人前往，清粉刺專業度不足，皮膚已經在感染跟張痘痘的嚴重下根本不適合過度用力擠壓造成更嚴重感染已經有反應但沒有認真了解客人的感受，做完第一次染料雷射完全無感，同一般保養型雷射的效果非常雞肋，沒有任何改善狀況，做完水飛梭含有抗痘安瓶結果回家每天狂冒痘，冒完又變成痘疤，這個也是推銷諮詢師排的療程，價格也高也很會push，實在不是 …
Hsieh Dean,5,被家人帶來整理門面，滿驚訝台北有這樣子的醫美診所，男生來也覺得滿自在的，而且術前美容師幫忙洗臉後做的膚質檢測很神奇，膚況很明確被拍出來還是有點害羞，在醫師跟咨詢師的建議跟規劃下一步一步膚況循序漸進中，真的有感保養真的很重要！黑頭粉刺少好多～
施姵珊,5,"環境明亮乾淨舒適。
林醫師也非常耐心親切的針對皮膚專業解說，讓我更了解自己的皮膚狀況，這次選擇了皮秒，很放心的交給林醫師，整個過程感到非常的舒服，皮秒結束後的深層保濕效果也很好，是個非常值得推薦的好地方～非常推薦林醫師👍👍👍"
CC,1,"完全不推......
花了諮詢費竟然沒跟到醫師討論
醫師不在也沒有事先說
所以都是諮詢師在和我聊
然後諮詢師也只能回答價格跟表面的問題
那我來諮詢是...?
這樣跟在line問有什麼差別🙄"
Sonic 游 (Sonic),5,"世外桃源般的存在
非常注重客人的隱私
以及術中過程的細心呵護
跟術後的專業關心叮嚀

都是目前台灣最高等級的體驗👍"
Mi Lien,5,一進去漫雲思境就讓人覺得非常舒服而且放鬆，內在環境讓人印象深刻，很有隱私感與藝術感。接待的人員非常親切客氣，也非常溫柔細心地幫我卸妝和敷臉，林醫師在療程過程讓我感覺很安心，整體的體驗非常棒、非常喜歡。
Kate T,1,"咨詢師態度很糟糕，臉很臭，講解完全敷衍了事，可惜這麼好的環境。
自己錯了也只是淡淡一句喔～不知道哪裡出錯了，完全沒有想道歉的意思"
蔡淑芬,5,一個很舒服、放鬆的地方。做一次皮秒，3天後馬上有感，每天被問皮膚怎麼這麼好，強烈推薦皮秒、推薦林醫師。
Yishan Cheng,5,"環境明亮 乾淨 舒適 有隱私
服務親切，醫師說明清楚，容易瞭解適合自己的是哪一種"
蘇玶瑩,5,這裡的環境讓我覺得放鬆輕鬆、林醫師的電波療程讓我在過程中可以明顯比較療程的效果。期待再預約下個療程計畫
陳宗瀚,5,"看診環境非常優美 非常舒適 根本感覺不出來是診所

宋院長看牙仔細而且還會跟你詳細說明狀況

並告知後續應該如何照顧牙齒 只有專業可以形容👍"
