author_name,rating,text
Hung Sharon,1,"我同事說超難吃，態度又差，還會不給內用，趕著打烊。
（喔對了，我同事是嘉義人）"
Wei Chen,1,老闆娘不太給問的，連要個餐具也要遲疑一下，重點是好難吃，省成本省到調味料也捨不得加，更別說餐桌上連罐醬油、辣椒都沒有⋯
連偉翔,1,老闆跟老闆娘脾氣很差，態度不只冷淡還很兇，湯很貴才很小碗而已~
周亭妤,1,"雞肉很柴 飯很小碗 老闆態度愛理不理的
說要一碟菜結果來了兩碟
內用很熱"
bambino,3,"菜色簡單，口味清爽不過油，雞肉飯跟滷肉飯、排骨湯的肉都偏乾柴，但飯粒與油香表現不錯。

環境非常乾淨舒服的古早味店，的確沒什麼服務。"
鐘政淵,1,不好吃，雞肉太柴，醬汁不夠
Vincent Wu,1,老闆跟老闆娘態度不知道在差幾點的
Boom Boom Kidz,1,吃飯的時候⋯才剛坐下沒多久⋯老闆叫我不要一邊看手機一邊吃飯⋯我頓時覺得好像我是他兒子⋯感覺很差⋯原來大家說的都是真的⋯早知道應該先看評論再消費😤
楊堯森,3,前天下午4点50分再造訪.問否是幾点營業.员工態度不好.不回答.甚至把燈關掉.問了N次.往後再不去此店
黃蘇山,3,"點餐時，老闆娘態度就要理不理，雖然戴口罩，但她的不耐煩的態度真的讓我覺得花錢要看人家臉色，真的下次不會去。
我點兩碗雞肉飯，3盤菜，2個湯。
一個大人，一個8歲小女孩，一個6歲小孩。
這樣數量我覺得沒有少點。

孩子很有禮貌的說可以給我一根湯匙嗎？老闆娘說沒有，湯匙你要自已帶的。
（（幸好，我有點湯附了湯匙））
抱歉，我沒帶自已的餐具出門真的很不應該，我只是看到雞肉飯，就想進門吃吃。

。

一進門孩子也沒有吵鬧，所以我實在很疑問，這兩個老人家為啥心情不好

我實在太好奇，這家店的評價如何？果然不是只有我一個人這樣對待，我就放心，以為自已在無意中做了錯事。"
黑貓柴犬堂,1,"想說路過吃看看，原來是態度差名店，不是好吃名店呦！態度超差，沒有要招呼客人意思
問選幾樣菜一點也沒有要回你，好像欠他幾百萬
收錢也沒有要理你😊
雞肉飯便當75塊:供參考，菜量不知道哪來的心情斟酌的
餐點普通還行、份量不多、環境乾淨
但他X的態度讓你吃不下飯
可能出來做開心的，不缺錢？！
掛嘉義雞肉飯還污辱了嘉義人的熱情"
Norman L,5,"有時間的痕跡，招牌字體非常好看。店內沒有裝潢但是乾淨清爽。菜色不油，調味適中。口味並不特別出眾但是一切都恰到好處。我覺得是很棒的台北家常便當店。

看了其他評價發現各位對於老闆娘夫婦的服務態度非常不滿，但我是沒有感覺。買個便當你要服務多週到？要跟你說歡迎光臨嗎？"
Joe Chien,5,食物乾淨簡單 不會太油或太鹹 價格實在
dopamine 414,1,"我再吃我就是小狗
雞肉飯肉給超少"
Anny Chung,4,"老闆娘臉上是沒什麼笑臉啦，但是我覺得好吃就好呀，喜歡家常菜古早味的絕對不會失望，只是點的金針排骨湯有點煮過頭，吃不到金針脆脆的，其他餐點除了有點油之外吃的到阿嬤的味道～
而且老闆一直在店裡忙進忙出，一下搬白飯、一下收桌子、一下盛飯，我發現他很有禮貌的等到客人結完帳離開才收他們的桌子，超棒的
環境也很乾淨整齊，只不過價錢比較高一點，一碗雞肉飯要45元ಥ_ಥ"
伯特羅,2,老闆臉很臭，不介意倒是可以偶而吃一下
施宛怡,1,也不是真的多好吃，但態度很差，不會再去了
fangfang,1,態度超差，也不好吃。
aBan Kuo,5,配菜的口味非常喜歡，且環境乾淨，一份便當配熱湯很滿足。
康齡安健物理治療所黃綺文 物理治療師（黃蚊子）,1,"我以為只有食物好吃的店家會有這麼惹人厭的態度
真是沒想到呢"
Stella Chen,1,雞肉飯的肉超硬又少，45元不便宜；老闆態度愛理不理，不會再去了
Rigby Trippin,2,M屬性客人首選店家，一邊點餐可以一邊期待沒有每次都有的老闆無端言語攻擊也算是維持了每次消費的新鮮體驗，東西便宜好吃也有個獨特的家常味但老闆講話真的太雞ㄅ了啦
吳慧貞,4,雞肉飯好吃，紅燒獅子頭也不錯吃，菜色乾淨，是好吃的便當店，推薦給大家。
poching su,3,味道還行......但衛生不佳。
Linus Ku,2,東西不難吃但有點油，老闆態度超差，12點整來吃還被罵幹嘛七早八早就要來吃飯，很莫名奇妙。
徐偉達,1,老闆態度有夠差，可惜不能給零分
K.C. Liao,3,"乾淨衛生。老夫妻倆臉色不太好，會在意的別來鬥嘴。
三層肉便當好吃！"
Ray su,4,"環境簡單，但菜色不簡單，還蠻喜歡他菜跟飯會分開裝，也算是好吃
老闆夫婦臉色就酷酷的"
Grace Luan,4,多樣主餐及配菜，苦瓜排骨湯類也不錯
chang laya,3,嗯.. 環境乾淨東西也算耐吃.. 就是老闆夫妻真的是不苟言笑😅
Puz Puz,4,中午來吃過一次，味道不錯的古早味~
M.Z Liu,1,不好吃，老闆還他媽的好像我欠他錢一樣
陳又維,1,能這麼難吃也真不容易
lyeer kao,1,"家常飯,,菜太軟爛,,況且對人連一點基本的服務熱忱都沒有..都這把年紀了還真少見...不會再光顧..(天氣冷颼颼..店內也很冷清)"
Jung HUNG,1,兩個店員什麼都記不住 又什麼都聽不清楚 也沒有單子可以畫 絕對不會再去第二次了
秋采願,5,"店內乾淨，菜色多，清爽好吃。
老闆娘很會做菜。"
Carrie Lau,1,老實講，不知道老闆是男是女，反正態度差到一個點，大家還是不要花錢來受罪
MEERU CHEN,1,臉臭到還以爲自己踩到屎 服務態度差到極點
Jacob Guo,3,"就是一個普通而已 , 但價錢還是蠻OK"
