author_name,rating,text
謝安心,1,"事隔一個多月才想起來要給個評價
看看別人都在說換人經營變好很多

怎麼我就沒遇到咧
不知道是太忙太累還是心情不好
問個問題沒人理還擺著一張臭臉
嘴破在痛了想買藥還要看臉色

心情不好當天不要開好嗎？

寧願走遠一點去別家"
Vickie Kao,5,社區的好朋友藥師用心，主動確認診所用藥，發現疑義，主動瞭解，專業的好藥師👍👍👍
Yi chia Yu,1,換人經營後，白天ㄧ位年輕小姐。態度很差很不耐煩。詢問問題還要看她臉色的感覺。對客人很不友善。晚上的兩位男藥師服務很好願意協助也很親切。感覺很碰運氣。
李瑞文,5,張藥師很專業，親切同理心的解說，讓我癢了好久無法睡眠的狀況終於改善了！
Susan Fang,5,服務佳，價格合理，項目齊全，是照顧社區的好藥局。
John Liang,1,買店家推薦的防蚊噴霧給小孩，一般保存期都3～5年，回家噴了才發現剩五個多月到期，價格比知名品牌貴，且還是即期品⋯以為食品才有這問題⋯對面美聯社即期品都會告知且另外特價，同一條街風氣差真多，不誠實⋯
李姵儀,1,藥師推薦用藥，反而讓病情更嚴重了...
Maxxiu Chuang,5,"我想，評價一間藥局的重點不在於賣東西的事情。
我想說的是，一間藥局不單單是在針對病患醫師給予的藥劑指示單而給予藥物，而是對病患的照顧與呵護。
方才，進入藥局時，一位行動不便的老先生在進入門口瞬間，藥師立馬衝過去將手舉高於感應器上，使電動門持續不關門。
我想，這才是一間藥局應該有的態度，而不是物品高低價。
藥師也能針對需求提供專業的建議，真心推薦！"
sam010163,5,換新老闆了耶，服務比以前更好了 ，諮詢都比較有熱情。
林郁欣,5,櫃檯弟弟人很好也很帥
王曉凱,5,住家附近方便的！健保藥局
李篠崎,5,藥師很親切
陳偉豪,5,旁邊早餐店 讚
蕭力中,5,弟弟小帥弟
林方英,1,賣的N95口罩品質不好
J Y,1,不老實
蔡明璇,5,讚讚讚
海哥,5,"(由 Google 提供翻譯) 很多正妹

(原始評論)
很多正妹"
Kel,5,"(由 Google 提供翻譯) 好的

(原始評論)
Good"
Jun-Ming Su,5,"(由 Google 提供翻譯) 很好

(原始評論)
很好"
