author_name,rating,text
Joy Tsai,5,"菜單好可愛，光是欣賞菜單就讓人心花怒放。以下三人分食，吃的蠻飽的4000初頭覺得CP值挺高，不限時、沒低消、不收服務費，氣氛也很好！

巧食：
燒番麥牛排、與世隔絕的蛋(漢堡肉排中間包裹著切開會看到糖心的半熟蛋)、導路雞(黑麻麻一碟還點火很酷炫，跟外表不同超級好吃，推薦)、松露薯條(松露味不明顯很單純下酒的薯條)

飽食：
客家鹹豬肉義麵、蘋什麼鴨燉飯(主食選擇不算多，最想吃的辣椒炒麵沒有了，希望之後有復刻版)

紅酒：
絕望(果香明顯)、壁虎(草本感)，兩款都蠻順口 …"
Elaine Pang,5,"1. 月初就吃土：唯二我吃了不會拉肚子的提拉米蘇
2. 麵超讚
3. 心很累的時候都需要一杯抹茶拿鐵，喝了可以好好休息"
Jung-Chun Liu,5,那天因為沒有排到女巫店ㄉ票，所以就來找尋公館附近的餐酒館！這裏真的很讚！一個人或多人都非常適合！點了胡麻麵，口味不錯，也點了一杯少女喝的粉紅色酒。啊！他的菜單設計很可愛，也會教你如何搭配餐與酒，酒的種類也不少。且沒有限制用餐時間！
W,5,"月初吃土-提拉米蘇上面吃起來像義美巧克力碎片的味道
五味雜陳香料奶茶-印度奶茶，喝起來好像有肉桂的味道

環境氣氛很好
很有趣的一間店
菜單也很有趣😆😆
可以認真看的菜單

不收服務費 不限時 沒低消🥺
也太佛心
可惜的是甜點選擇太少"
州,5,"來幫朋友慶生！
很讚的地方，隱密又厭世。
附上菜單（酒單？）供大家參考！"
Tina,4,"隱身小巷的綜合型酒吧(餐廳+咖啡廳+酒吧)
店員態度蠻冷的，但室內裝潢、佈置的氛圍很棒
菜單也非常有特色，酒品每個項目的名字都很有創意，酒單也會每隔一陣子改變，價格普通不會太貴，酒好喝、咖啡也有品質。座位多但環境容易吵雜、對話需要音量。是適合熱鬧聚會的場所
結帳支援街口支付。
整體來說會再回訪。"
Ruby Chang,5,"喜歡在白日便開始進入微醺的姿態，
清晰地感覺生活的美好與實在。
美酒、書籍和音樂，厭世或避世的人，
很好的隱匿之處。"
Bina chan,5,"好不容易找到了酒伴（？）朋友一起了悠閒聊天
場地：舒適且空氣流通，座位不多
酒點：當天其實想點高酒精的（想買醉!？），不過經過介紹的小酒也很順口
餐點：薯條脆脆的，冷了也好吃。指引光明的豆乳雞真的必點（前途無光者必點？）。月初就吃土（已經天天吃土了😂），滑順的甜品。
價格：如果以吃飽來講，不適合來。在意價錢者，不適合來。以朋友聚會聊天小飲最適合來了。"
Ariel Chu,5,"這也是我的愛餐廳之一❣️

光顧過2次，一次是9月，一次12月，但好像菜單就改了？不過菜名沒換，在想也許是老闆喜歡不停更換口味？
但是沒關係！他怎麼改都好好吃歐～我已經被征服了🥺尤其是那顆限量蛋料理，我真的跪下來拜託大家點，世界無敵好吃！！！
每個店員也都很親切💗是個適合聚餐也適合獨自喝悶酒的地方！"
Stanley L,3,"食物不錯，酒可能比較推薦純酒。

理想總是太大的三明治真的很厚一個，份量十足，價格也合理。
唯一的小缺點可能是不能一口入口，麵包偏硬所以有點刮嘴巴😂
人間失格（調酒）不是太符合我的口味。價格400元在學區周遭算偏高（但用了Roku Gin所以個人覺得還可以接受），但感覺酒體不是太調和，柑橘跟柚子味道不是太調和，反而蓋過了Roku Gin的味道。
但店家的酒種是很多的，或許點純酒會是比較保險的選擇。

整體而言還是推薦食物跟小酌，很建議要事先訂位。高腳椅位稍擠😅"
yueh lin,4,"風格獨特的餐廳🍴
下午時段沒有供餐，只有飲料&甜點🍮
店員很歡迎大家在此時段（14～17訂外送😆😆）
很安靜可以好好的讀書打報告，現場也提供很多書籍可以閱讀，會想再來😊"
Sa Tam,4,適合年青人聚會的餐酒館，食物品質都很好，推薦炸雞翅
Yu-hsuan Chen,5,"很厭世的氛圍 好療癒 很喜歡
不限時不收服務費沒有低消
供餐17:30開始 因此下午還可以叫外送🤣
超級隨和的店家 處處都有厭世感小巧思
菜單酒單也好可愛 名字都取得令人會心一笑
義大利麵也都滿好吃
調酒中等 可更好
最推 月初就吃土-提拉米蘇
整體來說 是好地方！會再訪"
蘇蘇,4,"有特色的餐酒館，閱讀菜單也是一種樂趣，不收服務費的情況下不算貴
推薦：鹹豬肉義大利麵、松露薯條、燉飯
普通：炸雞翅、牛排、叻沙海鮮"
Kelly Tsai,5,"東西好吃，酒飲很多種類
不限時可以坐很久，適合朋友小聚！"
BoBo Chang,5,"來好幾次，這次點餐牛排跟豆乳雞（豆乳雞很黑很厭世）還蠻喜歡的，牛排吃了很開胃
朋友點了「活著」，有甜亮跟苦味；自己點了家豬跟一杯雪莉紅酒配餐，優優優，開心"
楊哲成,5,美式咖啡用高腳杯裝太酷了，另外跟老闆說聲抱歉，當天還忘了結帳，晚上睡覺才想到好像忘了付錢，隔天趕快去付掉😅
Yung Shin Chang,5,"餐點與餐點名稱特別
符合主題厭世🤣🤣
推薦 月初就吃土 有口感的提拉米蘇！
松露薯條非常香 也是必點！！"
滾滾媽,3,服務不錯👍，但當天去整個環境非常的吵雜，感覺到了熱炒店，跟朋友說話要非常大聲，不然對方根本聽不到🙉和朋友出來之後聲音都沙啞喉嚨都好痛⋯⋯
顏椰子,5,餐飲精緻別具特色，份量適中！
東東媽咪東爸比,5,"近期心中分數爆炸高的餐酒館-厭世會社

我有病他有酒，點了與世隔絕的蛋，外皮酥脆切開蛋液流出胃口大開，蜂蜜芥末加泰式醬裹著牛絞肉的蛋，驚奇萬分。

魚生好難的七星斑、干貝香，加上松露菜花泥，肉質Q彈鮮甜，奶味不膩。

很客家ㄟ林龜尼義麵，不俗不失水準，絕對不是客家鹹豬肉粄條，鹹豬肉昇華中。

調酒旱季預報-踩熄你的臉/以防我眼裡的森林燎原，這不只是厭世的告白，蘋果香、檸檬香完全合我胃口，白蘭地、PX雪莉酒絕對不妹酒。"
妵Lizzy,5,"和朋友們刷了一次菜單，挺不錯的。
下次來嚐嚐有名的酒類。"
ascratch05 ascratch05,5,"據說樻檯的小費箱被捐贈了單耳airpods
祝福它能早日尋到另一半
成雙成對"
Jason Chao,4,氣氛餐點都不錯的文青店，美中不足的是請店員推薦調酒，結果店員推的跟我們幾位朋友想要的似乎都剛好相反XD
Wangsyuan Fang,5,"翻開菜單寫著：「我有酒，你有病嗎？」

和同學約在此處，交付象徵畢業的輕薄四十萬收據。
隱身於公館捷運站四號出口內，結合獨立書店和餐酒館，裝潢以黑色調為主，不只裝潢特別，料理和酒都蠻講究的，名字更是精心設計過，感受十足的厭世感。

這間店生意還不錯，推薦去之前可以訂位。
-
🍝后里蟹味噌魚仔麵
是粉紅色的義大利寬麵，本來是點""魚生好難""，也許服務人員聽錯或手誤，那時候一直在疑惑這到底是什麼，但無妨，人生已經如此艱難，這沒什麼大不了的，有美白菇、番茄等等，吃起來還算不錯。 …"
Angelina c,4,不限時，沒有服務費，沒有低消，就燈光暗了些然後正餐有點貴，不然是很不錯的咖啡廳
WIWI CHEN,4,"門的標語很棒
下午時段17：30前只有甜點
提拉米蘇算中等
不過可以外帶/外送食物來也算是很貼心的服務
調酒算ok
後來發現有進一些特殊啤酒
很多口味選擇算是很棒！"
黃安安,4,"書店咖啡結合餐酒館，在台北還是第一次看到，店的一旁還有茉莉二手書店。黑色調為主、新穎的個性裝潢營造出一股放鬆的氛圍，頗適合來這與朋友喝一杯，地下室感覺還可以包場，晚上就不算安靜了，但也有人點了咖啡、甜點在這裡看書。酒款選擇很多，調酒、啤酒外，竟然還有咖啡調酒，菜單的設計很可愛，內含一點小巧思，貼心的是每道菜還有列出可以搭配的酒類。
--
整體而言，這裡的食物份量不多，價格不到便宜，不過真的蠻好吃的，想來點微醺的夜晚，這裡是不錯的選擇。 …"
Evelyn Chou,5,"裝潢超美 價格合理
巷弄裡也很安靜
食物超級好吃 醬料調得很完美"
Mimi龍,5,"環境還不錯，
松露薯條還不錯，
豆乳雞翅會點火，
不過僅限於最上面那隻。
整體而言還不錯"
陳小白,4,"東西好吃 有特色
但不便宜
酒好喝 老闆有個性
心情不好 可以來放鬆"
JoJo Chen,4,"餐點大部分都很滿意！每一道都有一定的水準
最有印象的是松露薯條跟豆乳雞翅，身為薯條控完全給過！至於雞翅，雖然上菜的時候看到黑黑的外表有點嚇到，但是實際上吃起來味道很不錯👌
比較小失望的是提拉米蘇跟mojito的部分
提拉米蘇少了一點咖啡酒的味道
Mojito的話我會更偏好薄荷味重一點
對了 餐點的名字都很有創意 店員也很有趣😂
以這個價錢來說是cp值很高的餐酒館！"
Jesse P,5,餐跟酒都非常棒！調酒的話非常推薦下輩子不做女人
黃琳婷,5,"前菜部分～
魚生很難魚肉有彈性，醬汁滿滿干貝絲味道很濃郁，還有最愛的松露薯泥很讚！
與世隔絕的蛋搭配辣醬讓整體叫油膩的蛋白質變的爽口。
燒番麥醬汁完美還原小時候在士林夜市的回憶～

主食因為店員忘記點了下次再來試🥺

調酒因為特別喜歡茶酒，裡了下輩子不做女人&天空是愛過的人都算是女生喜歡的清爽口感。

朋友點是誰為我纏縛透明的線算是微甜酒卻討喜的杏桃香味🥰"
張凌（りんちゃん）,5,"店內有點小擁擠
主餐類較少
適合朋友聚會小酌的場所
酒精飲品很多不怕買不醉🥰
餐點名稱都很有意思
十分有創意的店
酒精飲品喝起來很順口
服務員貼心詢問是否需再添加冰塊
這個小舉動很貼心 暖 加分❤️
小帥哥真的帥"
Toy Lin,5,"下午是咖啡廳，晚上化身為餐酒館的舒適小店。
主要餐點菜系為義式，可接受些微客製化這點令人讚賞，目前比較多都是主食：義大利麵、燉飯；甜點的部分有提拉米蘇；肉食類有牛排、松阪豬等等，餐點非常美味，表現可圈可點，口味略微偏重，為了符合店名而取的菜名也非常貼近菜色本身特色，像""單身以淚洗麵""就真的辣到以淚洗面XD，挺幽默的！

咖啡採用拉霸式咖啡機，搭配店家自混咖啡豆，中規中矩。 …"
咻碰小達人,5,"氣氛很好 店員很好
薯條好吃 柚子檸檬酒好喝 讚
還可以外帶食物 真的好讚喔"
林動,4,"咖啡調酒十分令人驚艷，一般創意調酒口味普普
，店內氣氛十分放鬆，是值得難過的時候過來走走的"
史嘉蕾,5,餐點非常好吃，地方很有特色，menu文字非常有創意，是會讓人想一去再去的餐酒館
Andy Tsai,3,食物不錯吃，酒也不錯，都很順口。菜單很有梗。空間設計讓人多時變很吵雜。
Leonie Kuo,5,餐點很好吃，老闆很可愛。雖然寫著“不收服務費，因為沒有服務”，但其實服務態度很好，不會過度打擾讓人覺得很放鬆，能夠愉快自在地厭世。
Kaka瑜,4,環境跟調酒餐點都不錯，是聊天小聚的好地方。
Ya-Ting Tsai,5,店址離公館4號出口超近！非常方便！菜單的設計非常用心，處處都有驚喜跟笑點！店內的佈置跟燈光很細膩，營造出讓人可以非常放鬆喝酒的氛圍！調酒非常好喝！餐點也好吃！而且不收服務費！非常推薦！
Chet Gau,5,"比預期的好很多
說沒有服務費就是沒有服務，這點很nice，適合喝喝小酒聊天吃飯
餐點味道超驚人的好吃，鬼島冰茶沒有想像中的厲害，但味道獨樹一格，一開始不習慣，但後來又愛上，真奇怪"
Andy Kuo,1,酒蠻普通的不是很喜歡  ，價格以這個區域來說實在不便宜，餐點也還行吧
Yuruo KUO,5,"很棒的店!所有店內標語、菜單、文創小物與書籍都圍繞著厭世的主題。看到不但不會覺得更加厭世還會會心一笑，兩位店員(店長?)也都超級可愛!其中的妙趣要自己來了才會知道!
適合和朋友約來聊天，環境舒適，就算是自己來耍孤僻思考人生也可以很自在!
是一家會想一去再去的巷弄小店!"
Fang-Ting Chung,4,"在巷子裡二手書店的對面，菜單非常的有趣，菜名都很可愛外，用餐規定也很有趣。除了在餐點供應時間外都可以帶外食入內，現場也有一間地下室得書屋和新書販售，但不能拿去對面二手書店賣唷～
餐點意外的都好好吃唷，牛排和燒翻賣真的是烤玉米的那種醬，搭配起來非常讚，而taco也很吃。吃到胃口大開又點了雞翅和薯條，薯條超大一盤，而雞翅是超黑的雞翅，蠻油的，皮跟肉還會分離，這道我不太推。酒類點了兩杯調酒，酒精都蠻強的，也算還不錯。有機會還會想再來"
Winnie Fan,5,"調酒非常好
但記得要先訂位 不然會沒有位子"
Yu-Jung Chen,5,"輕鬆的氛圍，好喝的咖啡與餐點☕️🍰
老闆與廚師們也都人很好，空間非常舒服～
這次去吃了薏仁鱸魚飯還有提拉米蘇！
薏仁飯看起來沒有很多但是其實吃得滿飽的，提拉米蘇超大份酒味也很濃很好吃～～～(如果沒有很餓的話建議2～3人點一個或者點一個吃一個下午，不然會撐死)
而且去那裡想事情會靈感大爆發😼😼
非常值得一去再去的美麗地方❤️"
HC Lin,5,鹹豬肉義大利麵、鴨肉松露燉飯、提拉米蘇和蘇格蘭蛋都超讚，不知道要喝什麼酒請找老闆！他會耐心介紹～氛圍舒適的餐酒館，非常喜歡
Franzi Wang,5,非常喜歡的一家店，心情不好時很常來，看著一些不是那麼快樂的文字和菜單卻總覺得很平靜，在店裡低落的每一滴眼淚都因為店內的氣氛而覺得值得。只喝過遺書，遺書很好喝但是杯口有點小每次把嘴巴塞進去都覺得彆扭；最常吃的是關東麵和與世隔絕的蛋，尤其喜歡那個蛋，很好吃。另外薯條也很驚人，配酒超棒的很推！
Clement Kuo,5,很酷的餐酒館
Joky Huang,5,薯條炸得很好，時蔬味道也很棒！梅酒好喝，最喜歡的是蘋果紅茶！！！很高級的味道！！推薦！！
Kevin Chen,5,店內裝潢風格特別，食物的味道很有層次。價格有點小貴，但視覺效果很好
WEN CHEN,3,有趣的菜單，食物和非酒精飲品都滿普通的。燉飯非常普通，屬於台式燉飯。甜點具有創意，但是沒有提拉米蘇的美味，非酒精飲品（茶類到咖啡都非常平凡，以這個價格的飲品來說應該呈現出更好的風味）是最令人失望的。另外店內有蚊子是一件滿腦人的事情。不收取服務費，服務生挺良善，整體來說是具有公館風格的一間酒館。
meng chia-yi,5,有詩有酒有美食，適合聚會也適合獨酌的好地方
Sheena Wang,5,餐點慢到我以為店員忘了，但食物和氛圍不錯，也沒有限時或低消，喜歡！
Ming Hong Lin,5,隱身公館鬧區巷內的一隅，酒食俱佳，氣氛美，服務溫暖不失距離，身心馬上被擄獲😋
Jack Lee,5,環境優美讓人可以好好放鬆心情，下午時段咖啡很好喝。適合來溫習看書的好地方，沒有壓力。晚上的餐點好吃得沒話說，巴不得所有餐點都點一遍。可惜月底花太兇QQ，適合情侶約會打卡必去的餐酒館。實在太好了
Yu Chen Hsu,5,首推后里蟹味噌魚子麵跟關關難過關東麵！前者料多、醬濃，更有美白菇與百合陪襯，松葉蟹膏還擠成貝殼形，足見師傅料理之用心；後者以胡麻醬拌關東麵，配上溫泉蛋與舒肥雞胸肉，關關難過關關雎鳩。家人最愛的是八個鴨肉氣死燉飯，義大利燉米加入百合、鴨肉丁、蕈類等配料，軟硬度恰到好處。與世隔絕的蛋是限量料理，先預訂會比較保險，以牛絞肉包裹半熟蛋，是道內外兼具的驚奇料理。其中一位老闆是咖啡師，手沖咖啡可以選擇豆子，喝過莓姬・衣索比亞（南希寶）跟科契爾・衣索比亞（耶加雪菲），都是我很愛的酸味。店內 …
Sorsehhen,5,"拜託看我！！！！！
很久之前去過一次 店員厭世歸厭世但該做的都還是有啊 而且很有耐心跟我聊天 卻又要厭世 我笑到不行 超級喜歡！調酒要看當天狀況🤣但東西好吃是真的！
好想在這裡上班 有缺人嗎 拜託哈哈哈哈哈哈哈哈 缺ㄇ缺ㄇ"
林群弼,5,"餐點好吃 口味不錯
價格中等 環境挺舒服的
人多時稍微吵雜
但很有個性的餐酒館
老闆也很可愛
雖然忘了我們的松露薯條
有機會還會去的喔"
Tommy Hsu,5,"餐點好吃
用餐環境良好
不限時也不收服務費真的是很少見的
非常推薦！"
Nate Lo,4,非常文青舒服的餐酒館，食物以及飲料都精心設計過，沒有服務費不過單價都不低，平均消費約為300以上
黃心扉,5,"在這裡可以聽到很多故事  認識很多人  厭世的時候很適合來的地方  不論是想要自己的小角落  或是與人分享故事  交朋友
主廚研發餐點真的很厲害！是外面吃不到的菜單，酒類繁多，老闆的咖啡評價也是很高❤️
很喜歡的一家店，默默的也陪著我和好友一個年頭了"
許瑞君,4,閱讀、音樂交流的好地方。
Tzu-Yu Tsai,5,"一群人聚餐完煩惱要去哪裡續攤，偶然找到這家位在寂靜巷弄內很低調卻很有個性的酒吧。
從外觀、裝潢、品項、設計、杯具全都獨具一格。
紅茶梅酒喝起來很舒服，久未碰酒精喝完卻也無太多負擔。
這個世代還有無低消無限時無服務費的店家真的很佛心。
下次白天去二訪品嚐咖啡與書籍。"
Lynn Lin,4,"公館難得出現用心經營的餐廳
食物與菜名相互輝映 挺有梗的
餐點表現也都水準之上
不限時 不打擾客人
令人放鬆自在的地方
外場人員稍嫌訓練不足？！
結錯別桌的單

最主要少一顆星的原因
廁所也太臭了吧
尿騷味？好重
一進去就有點噁心
實在美中不足呀"
Phoebe Hsiao,4,"下午5:30pm 才開始供餐，其它時間只有飲料，大家別跟我ㄧ樣下午去撲空。但不供餐時段可帶外食去吃，這點也太貼心了。
餐點不大部分都不錯，只可惜這次味噌湯裡的蟹不新鮮有髒東西（黑黑ㄧ坨，且沒煮熟）...而且原來那兩隻蟹不是給你吃的，主要只是為了煮湯。
最喜歡的還是魚生好難跟導路雞。"
Lucy Lee,5,我喜歡老闆（斷句）跟店員跟店的感覺 厭世躲避都市的好去處 后里蟹味噌味魚子麵 好吃！等我感冒好了要去那邊喝酒耍自閉
Bee Chuang,5,"店面外觀很不起眼
進去後是種大家放鬆愜意的聊天
不限時間所以不會感覺急迫
酒類多樣化 想喝紅酒白酒烈酒啤酒調酒都有
鹹食點了燉飯和關東麵
同桌的人都很喜歡呢！"
Peach,4,有一道叫以淚洗面（辣）非常好吃，且搭配的食材讓人感受得到是用心在製作的料理❤️
顏艾玨,5,飲料點心都很用心，下午來幾乎沒人，冷氣強，是閱讀與寫作的好地方。期待下次晚上來品嚐餐點或喝喝小酒。
李承軒,5,"一個挺有趣的地方, 菜單上充滿著文字的藝術與創意, 結合著咖啡與看書的地方, 是個適合和朋友一起來的地方。"
Ryu Tsumori,5,餐點驚豔好吃，店員的服務可愛親切，熱紅酒療癒身心呢～下次聚餐的口袋名單之一🍝🍟🍷
陳慕紅,5,"平安夜當天的菜單🎄
沙拉用的醬很特別
香料奶茶蠻好喝的
主餐牛排的份量還蠻多的

調酒的話選擇了人間失格
喝起來算順口偏酸

美中不足的是沒有甜點
整體而言是不錯的🙂"
馬廷凱,5,高級吃土配柳橙汁
hg5j9k6a,5,很有特色的地方，無論是餐點、服務或是聚集在這的人，都很特別
Yun-Ling Chen,5,"食物有中上水準
我雖不懂酒，但也是真的順口好喝！
菜單真的很有趣
以後多了個獨處喝酒看書放空的地方了！"
Rita Hsiao,5,沒有服務費不限時的酒吧，但不只酒好喝，餐點也很棒！
CAROL YANG,3,"酒還可以，義大利我覺得不行☹️
當晚跳電兩次，熱到很不舒服...
只好匆匆離開，滿掃興的。"
Nicole Lai,4,"餐點口味絕佳
通常文青店必備就是一般人無法吃懂的搭配
但這裡完全大推主食系列
酒類也非常豐富
唯一最驚悚螃蟹湯
喜歡海味的可以嚐嚐
附上明細
酒類單價頗高
可能店內都是點一杯坐很久的客人吧~"
馬佩如,5,餐點名字都很特別🤣重點是真的很好吃！
M H,5,有調出意境呢，喜歡！
野坂同恩,4,"店的位子需要找一下
調酒還蠻好喝的
不過餐點要過5:30才有😅"
何拉拉,5,餐點好吃~酒也有很多種選擇！喝不醉的話....老闆也很樂意幫你特調喔😏
黃聖婷,4,"餐、飲料、氛圍都很棒♥
但在詢問能否打包餐點時，某位服務人員遲遲不回應，還一副要翻白眼~
我完全可以接受不給打包一事，但話可以好好說、表情也是。"
Kate’s Fun Zone凱特瘋閣,4,"An interesting place, you can find anything being misanthropic on the menu. Good food good wine good vibes.
整家店的concept整個很符合我們啊🙂
莫名其妙的菜名卻很好吃，吃土的提拉米蘇最是驚艷。
酒很不錯，店員很逗，他說水杯很貴不要打破了。
😂"
CMT猛婷,5,"厭世的人來到這邊會愛世，為了這家好吃的餐點與酒必須愛❤️
✔️理想總是太大$350👍推
原味拖鞋夾炭烤舒肥雞胸肉、龍蝦醬沙拉、煙燻起司、生菜和玉米片，我就是不想變成能一口塞的三明治🥪
厚度已經是漢堡等級了🍔麵包香脆有嚼勁Q彈、生菜都是脆的纖維細，雞肉好嫩搭配煙燻起司和玉米片層次超級豐富好吃😋
✔️月初就吃土提拉米蘇 $200👍推
上來的時候真的覺得土來了🤣，加入大量的巧克力脆片與提拉米酥很搭，馬斯卡彭起司的奶味很夠，蛋糕體濕潤。
🔍Instagram搜尋：cmtfood"
Richard Chen,4,"氣氛特別，店家忙碌。
需主動提出需求。
點好餐後便能享受與同行者的時光。"
Carmen Chow,5,店內環境悠閒悠閒的，食物名字很有趣，例如「彷彿身體被掏空」、「餡實卻是如此」好好吃，（不在這兒揭曉是甚麼了，到時看餐牌更有趣），還有不少手工啤選擇，三個人也吃飽飽～讚！
Lin Daby,5,推薦黑麵、以淚洗麵(辣)、月初就吃土、薯與泥，餐點很用心.菜單有意境，宜蘭小農燒酒25度順口，其它酒類、咖啡都很不錯。2個老闆都很年輕又是帥哥。
Aya H,5,氣氛很棒，待起來很舒適的一間店，不管是聊天或唸書都很適合。提拉米蘇的味道很優秀，但很大份吃完就吃不下其他東西了～下次來吃吃再吃看看其他餐點。
蔡承臻,5,"一個人來，被安排在靠窗的吧檯座位。一開始店家就告知因為樓下有包場活動，上菜會比較慢，問可不可以先幫我上甜點，還蠻貼心的。等上菜大約等了20分鐘，但桌前有很多書可以看，足以打發等待的時間。

<月初就吃土>$200 …"
William Christopher,5,鄰近公館站，在茉莉二手書店對面，交通位置非常方便。環境舒服放鬆，隔道門好像就來到不同的世界，給人能夠盡情休息的感覺。菜色名稱的設計整體很有趣，不管是料理、輕食、酒、咖啡、茶都有非常多元的選擇，並且也有餐酒推薦搭配，算是相當精緻。食物跟飲品皆有一定的水準，價格上與一般餐酒館相近。不論是朋友聚餐、下班小酌、工作休息都很適合，是會想多次再訪的好店！
賴茄魚LaiChiaYu,5,"近捷運站，交通方便
佈置溫馨，咖啡很香"
Luna HSIEH,5,"餐點好吃，乍看覺得價位略高，但是品嚐餐點的品質與食材後，讓我覺得很值得！
燈光較暗、環境舒適，讓人能自在的品嚐自己的餐點
彷彿身體被掏空-海鮮處理得不錯，麵包皮脆內軟，搭配醬汁後，讓我們忍不住又加點一份麵包😂
打開你的負面熬成湯-是螃蟹蛤蜊味增湯，閃光覺得味道有點腥，但我覺得還好，不會死鹹，碗裡的2隻螃蟹，肉質鮮嫩甜。
指引光明的導路雞-外皮超黑但意外的沒有焦味，雞翅入味嫩口，上桌時還真的指引光明，是一道上桌時，會吸引隔壁桌目光的菜。
餐點名稱頗有興味，是一間酒比菜單多的店🥃
這次是二訪，口味比第一次更驚豔，週五晚上建議要先訂位。"
國見比呂（林聖博）,4,食材味道很棒，適合下班小酌，朋友聚會的地方
Min Chiu,4,風格強烈的咖啡廳（或酒吧？），會到這裡過平安夜完全是意外，舒服且慵懶的氛圍令人留下不錯的印象。餐點走精緻路線，口味偏重適合配酒，整體來說蠻有創意的，味道上可能就見仁見智。離開前老闆還贈送耶誕手工餅乾，心意滿滿~有機會再來嘗試調酒，感覺會有不同的體驗。
shannon lin,5,位於台大校區附近的巷弄底，安靜又有種厭世的氣息。咖啡結合書店的咖啡廳，書卷氣大提升。手沖咖啡香氣清新，一個人也很適合前來。
vic vic,5,"喜歡這家店的餐點(八個鴨肉氣死燉飯、后里蟹味噌魚子麵、夭壽燒番麥佐牛排、與世隔絕的蛋、松丟哩松露薯條、月初就吃土），每一道菜名都很有創意口味也很好吃、份量也滿多的，店家不收服務費，但其實服務超級棒，有個性的服務品質，親切但不失禮貌，保持舒服的距離跟客人相處，非常推薦！另外，店家對酒類的知識也很豐富，店內有許多書籍可以購買，即便自己前往也很適合，是一家一定會再回訪的店！下次想點看看貼有水星正行的咖啡~btw,今天的綠光罩頂(葡萄牙綠酒)很推薦給不嗜甜又想喝氣泡酒的女孩!
門口有點不起眼，仔細找找吧！"
李小貝,5,燉紅酒牛肉有濃濃的紅酒香氣，非常好吃！也很推薦「單身以淚洗面」這款義大利麵！料理的味道都是細緻的
Calvin Liu,1,期待光顧的客人可以考慮到附近住戶的睡眠時間和環境清潔
