author_name,rating,text
Yolanda Yu,4,"大部分是二手書
店內環境清幽"
阿侯,4,沒有坐下來看書，空氣真的悶悶的，原本想點杯咖啡坐下來看本書，結果假日不營運（咖啡），但店員很好心給了張暗角咖啡名片^^可以打折哦
Timmy Juan,5,"店員很可愛哈哈，熱心推薦介紹書籍，還突然拉起小提琴（很厲害的那種
有相當多的政治、哲學、人文相關書籍，感覺是有心人會發現寶物的地方"
Hank Schrader,5,故地重游發現竟然要關了，難過😫
Howard Chan,5,賣書的好地方 裡面還有賣 現釀啤酒 服務態度良好
游志成,5,藏書超驚奇，不由自主的挑了幾本帶走閱讀
Xin Tin Liu,5,很開心能順利拿到掛號，也買了本新活水，希望能支持勇敢的書店走得長久
YenBo Wang (C),4,特別的空間配置很適合辦讀書會，可惜書目的規劃和放置有點亂
Zih Ya Zeng,5,關心勞工、民主制度、性別平權，也很支持學生活動
Yi-Chun Lee,3,在小吃街/市場附近，所以附近味道蠻多元的，通往地下室的樓梯也不是很乾淨，搭公車來比較近，然後蠻多講座活動會辦在這裡的
江宜澤,5,老闆頗熱情，啤酒也優。
Gimo LU,5,良好有趣跟上時事選書精采常有議題講座的好地方。最近還賣暗角咖啡分駐的好喝咖啡！
Meredith Hou,5,主題強烈明確，發掘很多市面上少見的好書！
Zhi Chin LU,4,就是個地下室的書店，選書 裝潢 都普通。就有些二手書很便宜
葉松瓚,5,"獨立書店，有個性，二手書況佳。
雖然空調有點悶，但是不影響。
偶爾會有論壇或表演。"
woodyisdamngood,4,任何所內相關書籍的問題、討論、辯論、開戰，老闆隨時候教。
Joe Hsieh,5,很棒的書店，同時這裡也是很棒的出版社。雖然店不大，但環境、書的種類、活動，在在顯示了經營的特色。
邱懸,4,空間不大，但是有種懷舊感，樓梯太陡，行走時需要多注意
KUANYI CHEN,5,便宜的二手書，可以來尋寶
李懿修,5,提供很多社會相關議題討論的場所
阿光,4,很不錯的地方但樓梯好抖啊！
Mei-Hsuan Wu,5,店員親切還有介紹書店
徐伯瑜,4,有fu的環境，可惜地下室訊號不佳
江竹,5,很有想法的書店，新書二手書都有，有時有講座
Mike Hsu,5,楊緬因開的二手書店
Leo Lai,3,風格特殊的二手書店，但空調小悶
Tony,4,舒服、藏書多元
大榴槤,3,關了在施工
Sophia Chao,3,二手書店，溫馨。
Joy hsu,5,講座不錯
陳俞安Alvin Chen,5,好書很多
陳韋勝,5,有咖啡的書店
Jay Yang,5,"(由 Google 提供翻譯) 我喜歡這本書店和房東/所有者白蘭地，我遇到過的一個好心人！

(原始評論)
I Love this book store and host/owner Brandy one of the kindess person I have met!"
Joyance Yanhan,4,"(由 Google 提供翻譯) 佈置很有特色，但辦活動時空間較小。

(原始評論)
布置很有特色，但辦活動時空間較小。"
熊朵拉,5,"(由 Google 提供翻譯) 兔紫 ♥

(原始評論)
兔紫 ♥"
Nathan Jones,5,"(由 Google 提供翻譯) 這個地方已經關閉:(

(原始評論)
This place has closed :("
Larry Chen,5,"(由 Google 提供翻譯) 好地方

(原始評論)
Nice place"
PJ Chen,4,"(由 Google 提供翻譯) 很酷的地方！

(原始評論)
很酷的地方！"
陳祈諺,5,"(由 Google 提供翻譯) 有趣

(原始評論)
有趣"
沈柏均,5,
黃國連,4,
陳敏森,3,
Hanyu Chih,3,
吳采薇 Novia Wu,5,
林小克,5,
Pierre Huang,5,
Chris Lin,4,
陳沛安,5,
茶痛,4,
蔡松伯,4,
韓承澍,5,
芋頭,5,
劉玠暘,4,
楊貴智（KCY Chris）,5,
Zac Wang,5,
吳孟璇,5,
CJ,5,
Peter Yang,4,
Ken Lam,1,
陳以箴,4,
劉維人,4,
FaShaun Lin,4,
shizuka chen,4,
許鈞雅,4,
Amber Liu,5,
黃家偉,5,
Maple Wang,5,
S. Yeh,5,
陳薇宇,5,
遺伝子組換えナタネ調査隊,5,
Ken Gau,5,
Su-Eng Ong,5,
Judy Chu,5,
蔡森昌,3,
YiXuan Chen,4,
李傳恩,5,
Ada Yang,3,
Craig Bossley,5,
臻,5,
范婷萱（悠）,4,
羅誠瑞,5,
妍露,5,
HP Chang,5,
yoshin cheng,5,
樹勳劉,4,
Meng Huang,5,
littel brothers,5,
Maybe Yang,3,
