author_name,rating,text
Angel Ko,5,"這次帶媽媽跟著Mia重新認識了台北！
整趟路線規劃的很棒，從一早美味酥脆的蛋餅開始，到松山機場看飛機，騎超過半個台北，沿路能看到不一樣的台北和台北人生活的樣子！
4個半小時媽媽騎得很輕鬆愉快，Mia還很貼心準備了水給我們！很推薦大家來參加👍🏻"
巫季庭,5,即便在台北住這麼久了，也沒認真逛過什麼景點，這次陪著日本朋友參加Taipei biking算是大開眼界，好多地方以前都沒去過呀🤣🤣日本朋友也很喜歡，覺得比去九份還好玩，再來就是謝謝Mia，人真的很nice👍👍
Pon Chen,5,我是基隆人，來台北時參加了Taipei Biking。Mia帶我們去了我從來沒去過的景點，早餐很好吃，同行的另外兩位德國旅客也很友善。謝謝Mia 讓我對台北有更深入的了解！
David Ansbacher,5,"(由 Google 提供翻譯) 我們僅在台北呆了幾天，這是欣賞精彩景點的絕妙方式！我們的導遊Mia非常棒-知識淵博，善良且對她對台北的熱愛。我還覺得她在整個過程中都是誠實的-更像是與當地朋友一起看這座城市，而不是嚮導。
我們從9:00準時開始，她帶我們去了當地的一個早點吃早餐，在那裡我們吃得很好，並且翻閱了整個計劃（附便利的地圖）。使用城市的“ Hello …"
Julian,5,"(由 Google 提供翻譯) 我進行了幾次自行車旅行，但這是我們真正去本地旅行後最好的旅行-所有小巷，隱藏的寶石和迷人的故事。我幾個小時幾乎感覺像個台北人。當地早餐也很好吃！

(原始評論)
I did a couple of bike tours but this was one of the best as we really went local - all the small alleys, the hidden gems and fascinating …"
Carole Arbuckle,5,"(由 Google 提供翻譯) 我們在台北只有幾天的時間，所以需要把觀光觀光塞進去！與台北自行車之旅是一個很好的方法。 Mia帶我們參觀了台北的所有主要景點，並一路解釋了歷史和文化。我們穿越了許多小巷和小市場，覺得我們必須從當地人的角度來看台北。這次旅行以美味的傳統早餐開始，最後是觀看飛機胡同的一些航班降落！ Mia很可愛，很高興與您共度一天。對於一次將我和我丈夫的照片收集在一起，她也非常有幫助！

(原始評論)
We only have a couple of days …"
Linda Konken,5,"(由 Google 提供翻譯) 與導遊Mia和Leo一起騎自行車遊覽台北時，我們度過了一段美好的時光。我們看到了這座城市周圍的許多景點，而這是我們自己找不到的。我們的導遊非常了解他們的出行方式，您可以感受到他們對台北的熱愛。他們還帶我們去了當地的美食中心吃午餐，並向我們展示了人跡罕至的地方。我們前段時間進行了自行車之旅，但我們仍然要感謝Mia和Leo在台北度過的美好時光-我們強烈建議您騎台北單車！

(原始評論)
We had a wonderful time …"
Zoey Li,5,"(由 Google 提供翻譯) 我們的導遊Mia是一個非常漂亮的女孩，也很可愛！她帶領我們進行了半天的行程，向我們介紹了裝飾有一些歷史故事的台灣地區，這是一次愉快的旅行，絕對值得推薦！

(原始評論)
Our guide Mia is a very nice girl and also sweet! She led us for half of a day, introducing us into the local’s Taiwan decorated with some history stories, it was a pleasure tour, definitely recommend!"
Andreas Kaszanits,5,"(由 Google 提供翻譯) 如果你想看到這個城市的東西，強烈推薦這次旅遊。這很有趣。再次感謝你。

(原始評論)
If you want to see something from the city, this tour is highly recommended. It's very interesting. Thank you again."
Bene F.,5,"(由 Google 提供翻譯) 我們與來自台北單車的Mia和Leo在一起度過了愉快的一天，並且看到了台北那麼多的“秘密”-至少從我們的角度來看，這真是太好了。租用的自行車非常適合台北自行車之旅，您甚至沒有前面的籃子，在炎熱的夏天還可以帶上水壺來涼爽。多虧了您和台北自行車運動-如果您喜歡騎自行車遊覽並探索文化和城市，強烈推薦！乾杯，Bene。

(原始評論)
We had a great day with Mia and Leo from Taipei Biking and …"
N,5,"(由 Google 提供翻譯) 我絕對會推薦台北自行車。這次旅行非常有趣，非常適合台北的概覽，它不僅涵蓋了一些最重要的景點（有些徒步參觀過），還有其他有趣的東西，你不會想到。它沿著迷人的小巷，美麗的公園或繁華的市場。導遊的米婭是友好和溝通的，並解釋了有關文化，歷史，生活方式等主題的有趣事實。

(原始評論)
I would absolutely recommend Taipei Biking. The tour was entertaining, great for an …"
Timo Breithaupt,5,"(由 Google 提供翻譯) 哇！！！我從3.5歲起就住在台北，以為自己認識這個城市。但是Mia的許多景點，甚至是我從未見過的地方，都讓我感到非常驚訝。這真的像是沉浸在台灣當地人的生活中，發現了一個居住在這個美麗城市中的遊客甚至外國人都不是普通地方的地方，而一個迷人的年輕女子向所有這些地方提供了許多背景信息。感謝您今天的美好時光，希望我們保持聯繫

(原始評論)
WOW!!! I live since 3.5 years in Taipei and thought I …"
Gerd Frey,5,"(由 Google 提供翻譯) 和Mia一起騎自行車到台北所有隱蔽的地方，這是一次很棒的經歷，因為我們是一對年長的夫婦，所以我們預訂了舊城之旅。三個小時，我們享受了美麗的台北市。我們與Mia一起在一家台灣當地的老房子裡喝了新鮮的現煮咖啡，聽聽她關於人們和這個偉大城市歷史的非常有趣的故事。
非常感謝Mia，您是一位出色的嚮導！下次我們還將進行經典自行車之旅。

(原始評論)
It was a great experience biking with Mia to all the …"
Yaron Ben-Artzi,5,"(由 Google 提供翻譯) 我不得不說，在當地嚮導的陪伴下騎自行車是探索這座美麗城市的最佳途徑。
Mia是我能要求的最好的嚮導，對台北和台灣文化有深刻的了解（甚至對於本地人也是如此）。她帶領我們度過了文化，歷史和美味佳餚的一天。
您會發現最好的台北自行車之旅。絕對推薦！

(原始評論)
I have to say, using bike with a local guide it is the best way to explore this beautiful …"
Steve,5,"(由 Google 提供翻譯) 非常好的當地自行車之旅。
我非常喜歡！
這是我台灣旅行的完美結局。

非常感謝！

(原始評論)
Very nice local bike tour.
I enjoyed it very much!
It was a perfect ending of my Taiwan trip.

Thanks a lot!"
jnh jung,5,"(由 Google 提供翻譯) 韓國人推薦台北自行車之旅！如果你想騎自行車，你可以玩得開心。如果你在沒有導遊的情況下一個人去，那麼去遊玩會很有趣。即使你不會說英語，也不會是一個大問題。

(原始評論)
한국분들 타이페이 자전거 투어 강추합니다! 자전거 타는거 좋아하시는 분이면 재밌게 시간 보낼 수 있습니다. 가이드 없이 혼자 다니면 못 가볼 이곳 저곳 돌아다니고 재미있습니다. 영어 못하셔도 큰 문제 없을거 같으니 한번 도전해보세요ㅎㅎ"
Nitzan Savransky,5,"(由 Google 提供翻譯) 我們和Mia有很多樂趣。如果您正在尋找一種探索台北的創意和特殊方式，那麼強烈推薦。

(原始評論)
We had so much fun with Mia. Highly recommended if you are looking for a creative and special way to explore Taipei."
Uschl S.,5,"(由 Google 提供翻譯) 台北自行車讓我們在台北度過了美好的時光!!我們有很多樂趣騎自行車穿過老城區，與我們的導遊Mia＆Leo一起享受時光！ :)
我們只能推薦台北自行車騎自行車探索城市......最好的選擇！ :)
玩得開心，Uschl

(原始評論)
Taipei Biking made our stay in Taipei wonderful!! We had so much fun biking through the old town and enjoyed …"
Edward Hsu,5,"(由 Google 提供翻譯) 在亞洲最具活力的城市之一台北市騎自行車。與導遊米婭（Mia）一起，我們在台北最古老的地區拐角處溜達。我們在市場上看到了傳統的供應商，並參觀了古老的寺廟，對這座城市的感覺是如此真實和生動，即使在旅途中我也很喜歡。

(原始評論)
Cycling in Taipei city, One of the most vigorous city in Asia. With the tour guide Mia, we sneaking around the …"
S Hoang,5,"(由 Google 提供翻譯) 通過新舊台北的精彩自行車之旅。強烈推薦。

(原始評論)
Awesome bike tour through old and new Taipei. Highly recommended."
Liya Kang,5,"(由 Google 提供翻譯) 台北是一個騎自行車遊覽的美麗城市，這座城市非常適合騎自行車，而Mia知道所有本地遊覽，美食和休閒場所的好去處，強烈推薦

(原始評論)
Taipei is such a nice city to have a bike tour, the city is super bike friendly and Mia knows all the nice places for local visit, food and relax spot, highly recommend for the tour"
yimei Chen,5,
