author_name,rating,text
州,5,"【小芋圓北海道鮮奶茶 70元】
它搬家後第一次喝這麼豪華的😂😂
老闆說北海道是多了香草味（還是香草籽）的牛奶，果然香味十足！小芋圓則是一如往常的紮實好吃～飲料就是要加有口感的東西才行呀

也可以集點！十點換一杯。"
mu mu,5,看到好多人評論推薦小芋圓，其實我當場也有注意到小芋圓，無奈是飽肚狀態就沒考慮，有點可惜，最後點了柳橙綠茶，是滿清爽的飲品，但是味道不會太淡，有柳橙的甜與酸香。
Yenling Liao,5,每次都喝小芋圓鮮奶茶 最近推的芋頭2號也不錯( ˘ ³˘)❤喜歡店家親切 在送飲料之前會擦掉上面的水珠。
Chen Yun,3,鮮奶烏 個人覺得茶味偏淡
Sylvia Wu,5,很喜歡店家的青茶，味道很濃郁。店門口有板凳，等待的時候可以稍坐，順便滑一下手機😆老闆及老闆娘都很親切，謝謝你們讓短暫的午餐時間更美好了。
陳昭廷,5,好喝，茶的品質很不錯
Chou Juliet,3,飲料不錯⋯回購幾次了，但昨天買了蜜檸蘆薈居然喝到一坨不明衛生紙⋯😨
Kenyon,5,"大學時期的愛店
總是點仙冬茶去火
期待之後再次回來買飲料"
Hanna Hong,5,"早餐好吃營養又划算！！
但人潮沒有很多很害怕之後停賣
吃完趕快推薦給同學😙😍"
Chi史東,5,"紅茶還不錯
雖然大杯一杯要30
店面裝潢有特色"
Lin Diso,3,"6/29喝同飲品，非常驚艷跟別家飲料比起來，非常新鮮好喝

7/8喝的時候以為不是老闆娘做的有落差..略為遜色許多

7/13今日再去購買..以後應該不會再光顧了.....為什麼品質掉那麼多？當初的味道呢！？"
Rosy Fantasy,4,買過蠻多次了，但是這次讓我有點失望，可能是因為單比較大，所以有出現兩杯飲料漏加珍珠的狀況，明明貼紙上有寫、珍珠的錢也有收，飲料裡卻沒有。
Long Long,5,飲料比外面的便宜五元左右，老闆跟老闆娘都很親切，也有座位跟報紙可看，還有其他一些小吃，還不錯ㄉ選擇
柔柔咖,4,老闆真是好人。
Hsuan,5,小芋圓超好吃！鮮奶仙草凍好喝到瘋掉，仙草凍滿滿一杯，豪感動！水果類非特調的都點過，都是用新鮮水果，非常喜歡葡萄柚綠茶跟檸檬紅茶，喝起來都很實在。特調的鳳梨果醬也熬得很好，感覺是很用心的一間店，很推
