author_name,rating,text
黃冠慈,4,在看完世贸展後過來的，今天是假日所以票價多了10元，平日好像是150元，因為是中場進入的，進來A廳時發現好多人哦，只能暂時坐到邊上，等结束再换坐位，A廳的樓高很高樓間有些小，走的時候要很小心避免往後就麻煩了，電影结束後也有工作人员進來消毒打掃的，疫情期間大家真的要保護好自己哦。
lukas2553,5,從小就住在附近，但是第一次來，很有時代感，很便宜，可以看到爽，剩下的就不要要求太多了！
陳威利,4,能夠在台北市信義區有著二輪電影院真的是很幸福的事，150元可以看得到4～5部電影，期間還可以外出買零食，真的很棒，環境清潔工作人員的效率真好，值得大家參考一下
Vince Hsieh,5,"選片用心且週週更新
每個場次結束都會清潔一次場地
感覺是有受到愛護的電影院
重點是一票看到底！

唯一缺點是
這裡的觀眾素質不若首輪戲院
談話聲，訊息通知，嚼食聲較多
匪夷所思"
盧彥伶,4,停機車早去的話。還好可找到停車的地方！飲食方面算是很方便，門票價格合理。
Hung Feline,5,"從改裝前看到改裝後
之前的椅子真的坐久會不舒服
會腰痠背痛的
現在倒是很ok 舒服許多

好像從100出頭看到現在的160
陸續漲價但還是很值得
這價格依舊佛心

可以看一整天
電影很多可以選擇
冷氣也一如既往的很強

在電影跟電影空閒時間
還可以到附近的通化夜市
或者麥當勞/東區粉圓享受美食
附近也有便利商店
地理環境非常好

捷運信義安和下車
走一小小段路就到了

只要有我有興趣的電影
還是會去的

要看二輪電影片
這邊絕對首選。"
VivaldiValarMorghulis,5,一堆人在你身邊發出干擾聲音，例如，包裝紙的聲音，吃脆脆的餅乾， 還有麵線臭豆腐等，最誇張的是還有 啃瓜子的，比上映的電影還要精彩!
Hanna Hong,5,來看的觀眾素質有待加強，都會帶一些味道很重的食物又一直掉地上，但是清潔叔叔每場都掃得很認真，不會有任何異味，以一個老舊電影院來說算維持的非常不錯，真是辛苦了！很喜歡來這裡
紀嘉淯,5,"202010
環境挺乾淨，周遭又有很多東西可以買去吃，一看成主顧～～～"
塔穆吾吉,5,一般來說，一個小小戲院，同時播放將近10部的二輪片....非常非常多的選擇，每隔一週補換影片，希望這樣的戲院能一直生存下去。
