author_name,rating,text
Lenore Chen,1,"床單上有將近十隻臭蟲（bedbug）。半夜發現後一樓櫃台只有警衛，沒法幫我換房間。床上有斷斷續續不斷爬出來的臭蟲，我不敢再碰床跟棉被，只好穿著外套，蓋著浴巾睡沙發。隔天櫃台值班人員只輕描淡寫地表示知道了，會處理。

臭蟲不是開玩笑的。國外有人家裡被臭蟲入侵，絕望到想自殺的都有。身上立刻要穿的衣服，我只好用房間裡的熨斗燙，還把衣服燙壞了。有接觸到床單的衣服跟包包我只好自己拿出去外面洗衣店清洗跟高溫烘烤。烤完我才敢回家。 …"
Mei-ying Yang,5,預訂二人房，被升等到三人房，第一次在台灣住這麼大的飯店，105平方公尺，是標準雙人房的五倍大！感覺像是回家睡覺，寢具舒適，連廁所也都很大。半夜除了隱約聽到馬路上車聲外，高樓層非常安靜，住戶水準極高，不像曾住過其他飯店會聽到樓上或同樓層房客的說話聲，或是奇怪的流水聲、機器運轉聲。站在陽台就能看到101大樓，步行幾分鐘就到六張犁站，公車也是四通八達。除了鍋具、洗衣機有長期使用的痕跡外，幾乎無可挑剔。絕對是人生至今最平價奢華的住宿經驗，有機會一定再度下榻。
黃小萱,1,浴室不明毛髮，被子有蟑螂屍體，洗髮乳，沐浴乳屬於開放式共用，因為到房間已太晚，沒在多買，大人小孩洗澡完，全身發癢長些微紅疹，冰箱異味濃厚，地板有頭髮，枕頭屬於低枕硬式，只能說整個衛生真的是太差了，非常誇張的一次外宿，旅館商旅相比，此間只勝於外表光鮮亮麗型，不會再去
秦亞華,4,公寓式酒店，我們很滿意，像是在家，但是又很悠閒！
Ou Yang,3,整體設計還不錯，但是清潔需要再加強。
葛瑞絲,4,安靜，環境舒適，乾淨又平價，不須要room service或飯店早餐的人很適合！只是接待的是工讀生，不算親切，也沒有稍微介紹一下房內設備，毛巾使用到都出現毛邊了，這2點有點美中不足而已。
藍靜宜（carol blue）,4,舒適的空間
Ning Hei Kam,3,房間臭臭的
Isabel Pieterson,4,"(由 Google 提供翻譯) 這間服務式公寓的位置是一顆隱藏的寶石！步行不遠便是眾多餐館（美食和快餐店），商店，便利店（附近有7/11商店）和夜市。此外，距SOGO，台北101和信義區等百貨公司也只有很短的車程。

工作人員非常友好，熱情並且願意提供他們所能提供的最佳支持。

維護是高效，快速和及時的。

有一個健身房，一個卡拉OK室和一個帶魚的漂亮戶外區域！ …"
Premal Mistry,4,"(由 Google 提供翻譯) 我4年前回到了那裡。這個地方非常好，為您留在台灣提供了非常好的體驗。它靠近許多市場，並且可以使用公共交通工具。

(原始評論)
I stayed there 4 years back. The place is quite good and offers a very nice experience to stay in Taiwan. It is located near to many markets and has access to public transport as well..."
Suhaili Din,4,"(由 Google 提供翻譯) 喜歡這個地方，乾淨友善的員工

(原始評論)
Love the place, clean and friendly staff"
Susanti Wijaya,4,"(由 Google 提供翻譯) 優越的地理位置，優秀的接待員和安全。清潔需要改善，但..

(原始評論)
Great location with great receptionists and security. Cleaning needs improvement though.."
Veronica & Judah for Jesus,5,"(由 Google 提供翻譯) 難以置信的最好的是與這個地方玩的魚是最好的

(原始評論)
Incredible The best is the fish's to play with this place is the best"
Linda Tse,4,"(由 Google 提供翻譯) 工作人員非常友好，價格合理。強烈推薦給家庭和一小群朋友。

(原始評論)
Staff very friendly, rate is reasonable. Highly recommended for families and small group of friends."
Jack Nata,4,"(由 Google 提供翻譯) 漂亮的公寓配有新家具。安全性高。提供健身設施

(原始評論)
Nice apartment with new furniture. High security. Gym facility available"
Vasu Setlur,4,"(由 Google 提供翻譯) 家庭或官方訪問的好地方..它有廚房，他們也提供餐具..非常乾淨的地方..

(原始評論)
Good place to stay with family or official visit.. it has kitchens and they provide utensils as well..  very clean place.."
abhishek sharma,5,"(由 Google 提供翻譯) 非常漂亮和溫馨的公寓。工作人員非常友好。它位於Luizhangli地鐵站附近，距離台北101大樓僅有幾步之遙。我在2014年在這裡待了2個月，這是一次令人愉快的經歷，我將永遠記得。

(原始評論)
Very nice and homely apartment. The staff is very friendly. It's located just near the Luizhangli MRT Station and the Taipei …"
parandhaman Devendran,5,"(由 Google 提供翻譯) 不錯的服務公寓服務，價格合理。

(原始評論)
Nice service apartment service at affordable price."
Gaurav Patwari,5,"(由 Google 提供翻譯) 非常好的和舒適的住宿地點

(原始評論)
Very nice and comfortable place for stay"
Dharmen Panchal,5,"(由 Google 提供翻譯) 與家人住在一起的好地方，公寓是新的，地方很乾淨，工作人員很友好

(原始評論)
Good place to stay with family, apartments are new, place is clean, staff is friendly"
John Doe,5,"(由 Google 提供翻譯) 謝謝你所做的一切。

(原始評論)
Thank u for everything."
Hanna Katrina Lobo,4,"(由 Google 提供翻譯) 位置很好，設施很乾淨。

(原始評論)
Location is good, facilities are clean."
Gastón Finkelstein,5,"(由 Google 提供翻譯) 寬敞的客房，美麗的裝飾，非常好的hubicado

(原始評論)
Habitaciones amplias, hermosa decoración, muy bien hubicado"
Terence Tam,4,"(由 Google 提供翻譯) 適合家庭住宿

(原始評論)
Good for family stay"
seunggoo kim,4,"(由 Google 提供翻譯) 乾淨！

(原始評論)
깨끗함!"
