author_name,rating,text
胡智傑,4,"師大知名的鹽酥雞
從以前的小攤販
到現在有店面
也有與外送平台有合作

點餐方式有畫單或親子在面前夾
如果要內用的話每人低消是90元
可以搭配飲料喝到飽

店內位子都需要自己找
店員不會幫忙安排
光線偏昏暗

內用的話會喊著號碼牌的數字
用盤子裝著
旁邊會給辣粉

整體吃起來比較乾酥
不會太油膩
這邊的蒜頭是蒜末
其實吃不太到
喜歡吃蒜頭的朋友不用太多期待

甜不辣好吃
雞皮份量很多 也不會太油
其餘的其實就中規中矩
如果想要內用是選擇之一
不過還是在家吃更有感覺

27,Mar,2021"
Cacey L,5,點了很多次ubereats，好吃便宜，開到很晚，包裝文青風，大蒜超香，外送員剛出電梯我在大門內就能聞到！（發現訂單送達卻少了仙草凍，ubereats快速退款，很棒！）
Jessica卡卡,4,第一次吃師園，因為前一天在家樂福買他們的洋芋片 特價一包還要279 今天到門市吃！真的好吃～而且點這些才220 又是熱的👍🏻👍🏻會回訪的店家🥰👌🏻
冰淇淋,4,"內用完全沒規劃帶位
這點非常扣分

會導致先拿到餐的沒位置
但剛到的人在搶座位…

內用的位置不太夠 所以去附近找了空位坐著吃

炸物的部份味道是不錯吃

炸魷魚的份量比較不多
雞蛋豆腐 半盒30元

可能在臺北這個價位算便宜（？

生意一直都很好 可以直接去畫單子
或是拿籃子去夾
這部份都是結帳時才知道

排隊路線什麼的沒什麼規劃 都是問其他人才知道"
何小芳,5,非常好吃，尤其每日限量的鹹酥雞咖哩飯，疫情後叫外送一樣好吃！
Tsung Yen Lee,5,"咖哩超讚，炸物也超讚，咖哩內用可以免費+飯+醬還有飲料喝到飽，推推推。

喔對了，可惜就百頁豆腐難吃，別點= ="
G4 Howard,1,"我分別在2/7晚上和2/8中午來點130的泡菜咖哩飯。連續兩次都在飯裡面發現頭髮，一次插在馬鈴薯裡（在圖片中央），一次壓在小黃瓜底下。

最令人生氣的是，2/7當下反應沒人理，店員直接無視我繼續送餐，後續也沒回應，甚至照片中拿來抓出頭髮的衛生紙也等了非常久店家才補放的。

2/8中午剛好師大附近店家都沒營業，想說再吃一次，反正不同時段店員也不同。結果更讓人生氣，餐點用丟的丟上餐桌（明明當時中午才三組客人，我後面也才一桌小朋友，不需要那麼急吧？） …"
陳美英,3,我是今晚外帶28號，有點到~湯圓但炸到太硬了，很難入口喔~
Tommy,2,"說起我吃師園的歷史
大概二十年前就吃過吧
那時候還不多鹹酥雞攤加蒜頭這玩意兒
師園算是很早期開始加料的店家
近期再訪店家跟我的印象
改變不少
有賣咖哩飯有內用區
加30元飲料喝到飽
我跟朋友一共三人
也買了不少錢外帶
薯條甜不辣鹹酥雞魷魚雞胗
雞胗我沒吃不清楚
其他食材我吃了
最大的問題可能是調味吧
好像沒味道一樣
我們還自己加鹽巴跟黑胡椒粒
甜不辣脆中偏軟
薯條有些脆有些軟
鹹酥雞醃料味不重
可是也不算特別出色
隔天晚上上陽明山買蘭陽派的魷魚跟鹹酥雞
贏師園很多
以前住信義區常買台灣第一家鹹酥雞
也比師園好吃
然後炸物超級油
用餐巾紙吸了不少油
個人不推薦啦"
Winnie Lin,5,"師大有名的老店之一，以前只有鹹酥雞的攤位，前幾年有了個店面可供內用，另有賣咖喱飯和一些飲料。

鹹酥雞攤位的生意非常好,現場雖人多但很多鍋同時炸，人手也夠所以不用等久也能很快排到。
（大約從點餐到取餐10分鐘就可以拿到）

點餐時會問你：要不要加蒜？要加辣？雖然吃了蒜後嘴巴口氣會不太好，但吃的時候真的非常過癮！每次一定加蒜！但如果當天可能要和男朋友或老公親親的話那就建議省略。

可以用現金也可以用街口支付，很方便。 …"
情侶日嚐,4,"雞皮 $30
雞排 $70
鑫鑫腸 $30
鹹酥雞 $60
甜不辣 $35

可自行填單
或自行夾取
內用位不多😕
價格不算平價😕

有附蒜頭 九層塔👍
有附胡椒 加辣or辣包👍

雞排酥脆多汁
甜不辣扁扁的
不是酥脆蓬鬆
有點小小失望🥺
#甜不辣控"
Yi Ling,5,"每次來師園鹽酥雞都可以看到滿滿的人潮，而與一般外面常見的鹽酥雞店不同的點在於還有內用坐位，大家可以在店內享用美味的炸物實在是非常貼心

夾一個代表一份、兩個代表兩份，以此類推⋯⋯點完後櫃檯服務人員會詢問是否要加蒜頭？要不要辣？

當然都來到師園了蒜頭一定要加好加滿，即便每次吃完口中蒜味久久散不去，那濃厚的蒜味搭配著鹽酥雞一起吃相當美味，使人難以忘懷

來師園鹽酥雞個人必點：魷魚、鹽酥雞、地瓜薯條"
李知齊,5,師園還是好好吃。加蒜真的是太好吃了，芋泥丸很推。雞蛋豆腐必點。
WenHsueh Liao,5,師大夜市知名蒜味鹽酥雞，食材選擇多，米血跟魷魚必點。有提供內用座位，有低消。
Eileen Chou,4,"第一次吃師大名店鹽酥雞，
人很多要排隊，
選擇內用大概等候15分鐘，
整體來說炸的很乾爽，不油膩還不錯，
鹽酥雞中規中矩好吃，
雞排是傳統類型的，不是脆皮的，
地瓜薯條不會很硬，
可以用行動支付結帳很方便"
Wu Arthur,4,"每次來人都很多的店，價格不算平價，有內用座位。

味道部分還不錯，個人看好壞都是點雞心，雞心沒有炸過頭，吃下去還有汁液，算是用心的商家。"
黃明鈞,5,點了很多次外送，價格優惠又好吃，宵夜好選擇
Fang-Ting Chung,2,"第二次到師園用餐， 但這次真的覺得還是不太優秀，坐在餐廳最裡面的位置，室內油煙味瀰漫，坐了約30-40分鐘，整身也都是油煙味，連包包都是⋯
而這次得炸物，不知道是不是下手的人太重了，整個超鹹，鹹到根本無法再吃更多。雖然炸物本身不難吃，可是我下次還是會選擇別家鹽酥雞而不是師園"
紅豆牛奶冰,4,有內用座位的鹽酥雞店，可以直接畫菜單，結帳後拿號碼牌就可以在座位上等待，每樣都蠻好吃的，大推鹽酥雞、魷魚和杏鮑菇😋
周米蒂,4,昨天經朋友介紹第一次來買，甜不辣和雞排真的是酥脆到驚為天人的好吃☺️美中不足是我們在咬下雞排的那瞬間看到上面黏著一根短頭髮🥺🥺，其它一切都很完美～還是會再找機會回顧的喔！
小光,1,"在賣場買了一包(極度好奇心)
我天啊 這零食真的可以下架 這麼失敗的產品(畢竟是你們監製的吧)
超少塊的鹹酥雞塊吃起來像香菇梗 其他就是一般般乾燥蔬菜
老闆~我可沒點那麼多菜啊@@
(照片上 還有一些在包裝裡 沒全倒 但也不多)
沒看到包裝上寫著""植物蛋白製品""
...懂了
這包訂價 我在附近買真的鹹酥雞超大包(暗臉)
這麼難吃的東西 不能只有我吃到! 分享給各位"
白家瑞,3,"希望湯圓不要跟其他炸物都混在一起
可以獨立出一包（最好可以加花生粉）
湯圓跟雞皮、雞蛋豆腐、甜不辣⋯⋯都黏在一起了⋯"
