author_name,rating,text
鄧愷平,5,所裡有一位戴著護具(應該是護具吧)的年輕男員警姓洪，服務態度很親切也長得很帥，讓我感受到警察的溫暖<3
Wayne Yang,4,辛苦的人民保母，連半夜都在出勤
陳瑞亞,5,我會給高評是因為我有次在不知道路走進去問看到一位女神級的女警還有他們在幫忙不會很隨便會解釋給我聽
胡金,1,泉州街派出所員警陳康碩認真負責專開無照.沒有執勤也認真開單
謝永堅,5,有一名新進的洪姓男警態度很親切，長的白白淨淨的很可愛<3
李先生實話實說,1,"第一次這麼不想尊敬警察，尤其台北市警員一點都不通情理說開就開，這地點交通工程施做不當，誘人違規卻不開勸導，我有礙到他人的安全嗎？靠邊停直接開罰一次逆向900？
新北市警察好太多了，罰單都抓重點不抓皮毛
你們到底懂不懂人民生活的苦，知道我存款沒錢了嗎？
現在台北市的警察都這樣抓單的嗎？
不過是在夜市不想擋到人去靠邊停，就開罰我逆向900？讓我生活不能過
好好一個南機場夜市，明明是一個夜市設八條單行道
路窄就算了設在那模糊的中間位置
半夜還有空閒抓毛病罰單厲害
抓了我走，馬上就三位機車直接逆向騎出去了，抓我這個靠邊停的，隔天蒐證我也馬上拍到三個不知道逆向違規出去的
厲害，好一個抓單地點開罰我一個口袋白手，沒有多餘存款的人"
Jimmy Hsu,5,錢包找回來了！ 感恩好心人 感謝警察大大
徐若喬,5,員警熱心又輕切，認真協助報案民眾，感謝你們的幫助！
Frank Chang,4,年輕警察親切熱心
yeh kuo,5,還好
Rui陳瑞,5,抓壞人的
sepia,4,"(由 Google 提供翻譯) 泉州街派出所：負責龍興裡、忠勤裡、永昌里、永功裡等轄內治安、交通事項。

(原始評論)
泉州街派出所：負責龍興里、忠勤里、永昌里、永功里等轄內治安、交通事項。"
吳東霖,5,"(由 Google 提供翻譯) 泉州街派出所 你好～

(原始評論)
泉州街派出所 你好～"
Liu Jie Yu,1,
陳郡儒,5,
陳佶豐,5,
語荷,5,
張傑勛,5,
Samuel Tsao,5,
楊茗凱,1,
