author_name,rating,text
歸來兮,4,員工素質很好，店舖有點小不似西門町的雜誌瘋。
Irvin Chen,1,支持純潔協會，統一教友善店家。
智翔（喝悶喝悶）,5,基本上最新出版的商品都有，日本的雜誌也都會進
吃爆大薯,5,若是買盒玩，很推薦來這裡，這裡有很多別的店同系列不同的角色在這裡幾乎找得到
Thomas Yeh,4,"從門口往店裡面看，玻璃門上貼滿了海報，讓人不知道裡面做什麼生意的，而這邊二樓是雅舍二手書店，會讓我誤認為他們是販售二手雜誌的。進去一看，居然販售的都是當期的外國雜誌，好多日文的，也有漫畫書，裝在滑動的多層書架上，進店的客人看來都是熟門熟路的。

術業有專攻，大概是店家在這塊領域浸淫夠久，才能維持這樣的局面，有點是獨門的吧。"
陳瑞益,4,很棒！！買到乃木坂的雜誌，雖然很愛飛鳥，但也很愛阪口珠美，請大家多多支持乃木坂46三期生阪口珠美，謝謝您。
森時,5,很讚，有進貨很多想要的畫集。還有我朋友一看到煉獄大哥的海報就掏錢，讚的啦
顏薇庭,5,"比起其他間雜誌瘋，這家雜誌瘋很多比較早的雜誌！而且海報也都很多！
每次都很喜歡來這間挖寶❤️"
劉和軒,5,離學校進又方便，可惜小了點。
程碗豆,4,為數不多的純種日係動漫風，且商品價格實惠，美工設計科係尋寶祕境。
Kuo Stanley,1,"為何幾個月前的舊雜誌,亞洲週刊，還要賣原價？"
Allen Lai,4,日雜相當多，各式種類都有。
傲小傲,5,雜誌和漫畫都有，想找的沒有找不到的
簡筱玲,5,好書，希望大家一起去買事書
Bill Liao,5,雜誌，漫畫，尤其日雜、日漫多。客訂方便服務快速。
陳冠仁,4,店內稍嫌擁擠，但雜誌跟漫畫種類豐富
俠客炫風,5,是尋寶好地方，不用搭✈即時跟日本同步
燕品伊,5,店員人很可愛很友善 幫忙找書也很有禮貌～
YEOU JEN LIN,5,雖然店面不大，但是雜誌整理分類得十分完善，店員也很親切。
Mark Woo (馬克杯杯),3,店面有點小
snake chen,4,以書籍為主
小熊维尼,4,蠻不錯的，可惜店空間有點小
陳嘉恩,5,還不錯，小小間的，裡面的書都日系的
Roger Kao,5,店員親切且服務非常好，懂得客戶需求，且品質也很好，讚讚讚！
王俊凱,3,跟西門町的比起來店太小東西太少
yehyeheyehye yee (Wios),5,雜誌種類多（應有盡有）就是爽
Cher Yu,5,店員親切，可以順利取得日雜動漫的必要場所，問相關書籍不用怕尷尬的大概只有雜誌瘋了吧。
賴柔卉,4,店面較小，書籍沒有非常齊全，但熱門商品基本上都找的到。
C Eric,5,代訂雜誌方便
Sharon Li,5,想找的漫畫這裡都有
