author_name,rating,text
Liu Mandy,5,"一直想試看看童顏針，之前去過幾間醫美也有推薦，但是講得不清不楚所以都打退堂鼓囉～這次來打皮秒雷射順便問了院長童顏針的問題，沒想到解釋的非常清楚，也有問必答～又不會硬性推銷，非常親切有人性呀(之前被太多診所嚇過)
決定入童顏針的坑，原本害怕會很痛～不過醫生打針很有經驗，很快就結束療程~沒有感覺到什麼痛，只有剛開始針打下去會有點感覺，術後診所都有關心狀況，目前一個月狀況良好，有開始感覺臉比較澎，下次還要回去做二次治療～想念好喝的手沖咖啡了～"
CHIA HSUN WU,5,"以前打過一次蜂巢皮秒效果普通，斑點掉很少
來這邊打雙皮秒雷射一次，斑點掉的乾淨度讓我嚇到！
鄭黃醫生雷射打得非常仔細，細到我一直問：醫生好了吧😂"
Pay-Hua Pan,5,"母親節提前送媽媽禮物
媽媽一直要我好好謝謝你們，還一直提醒我要給你們好評
以前媽媽有不好的醫美經驗，打了電波拉皮效果不好很生氣浪費錢
這次我送媽媽電音雙波，滿意到每天吵著我爸陪他上街逛逛 哈
還說醫生很專業讓他完全不緊張，治療也快狠準不像之前那麼痛
謝謝你們，謝謝鄭黃醫師，媽媽說咖啡很好喝唷"
Cindy Chang,5,"看到秀美推薦來的😆
婚前補淚溝
玻尿酸選擇性多樣
很滿意這次的成果
預算 效果 環境 醫生的幽默 都符合我的期望💗
下次要來做皮秒~"
Moya Lo,5,"不是第一次打童顏針，但之前打的都不是很滿意，覺得顯臉大
朋友介紹來找鄭黃院長，這次打完很滿意！
臉沒有像之前那樣變大又腫，效果非常好！沒有塑膠感！
診所諮詢師非常有耐性教導術後按摩
用診所自己出的精華油按摩非常棒！
醫師技術和診所環境服務都非常喜歡，值得推薦五顆星！"
Kimi Kuo,5,甯寓美學診所是我在諮詢過北市幾間醫美診所後的最終選擇，從診所的空間跟醫美專業人士的溝通跟親自與鄭黃醫師諮詢過後，整個過程都覺得很用心很細心，很推薦有興趣的朋友們一起來遇見更完美的自己 ➰
孫億晴,5,"這家的皮秒真的很有效！！！！！這次還做了黑鑽水飛梭
之前也打過同一台皮秒效果就沒這麼好
而且醫生連脖子都會打到 打得非常細心 超級讚👍
重點不會強制推銷讓人不舒服！！！"
陳宛妮,5,"不知道為什麼來這邊
跟我之前去過幾家診所感覺很不一樣
很溫馨很像家的感覺非常心安
可能是環境加上人員的態度吧
院長當面諮詢時很像朋友聊天非常放鬆
以前去的診所冰冷、推銷、不買療程就給我白眼
這次周年慶帶朋友一起來
他們也都有這種感覺
診所的裝潢跟布置都看得出用心，質感很好的一間診所"
郭美惠,5,"第一次做私密除雷射
林醫師是非常專業的婦產科醫生，有耐性又溫柔加上診所的環境隱密又像家很放鬆。讓我的初體驗非常安心。
下次要來體驗雷射除毛"
朱海星,5,"值得推薦…音波拉皮年年都會打…這次的經驗讓我最滿意…
以往光是畫線就花了大把時間…這次院長經驗豐富專業…不用畫線就直接治療
…過程中幽默風趣的對話也巧妙轉移了我的注意力….打完當下的效果也比之前
好…讚
這次順便帶一瓶診所自創的保養品回家…好用…..女兒跟我搶著用….哈"
flashruru,5,"兩個月前開始找呂醫師打雷射治痘疤
空間隱密做得很好
之前去的診所要我一個大男人
跟一群女生坐在大廳敷麻藥等待
有夠尷尬

痘疤的狀況現在已經改善了不少
謝謝你們！
醫生專業、環境好、咖啡也好喝
非常棒的診所"
呸茸 Pei Rong,5,"我打過至少10次肉毒，每次就算敷完麻打還是很痛
這次打肉毒因為一些原因我沒敷麻，醫生用冰塊幫我先冰一下然後直接打!完全
不痛!比我敷過麻藥還不痛，我自己都很驚訝
果然醫生的技術跟經驗還是有差，鄭黃院長打針很俐落！
下次還會來這邊打！"
Paggy Liu,5,來打第二次雷射，醫生每次都很用心，諮詢師也不會推銷，重點是他們家的皮秒雷射真的很有效，可能是醫生比較細心，選的雷射機台也很厲害，複合機型的施打，讓斑點跟毛孔都有明顯改善。
