author_name,rating,text
謝宛蓁,5,"平價咖哩，是符合這個價位的表現，不會有可怕的便當咖哩感覺（雖然飯配菜是便當配菜）。唐揚雞表現滿不錯的，皮薄肉嫩不會乾也不會太油！

有麥茶紅茶可以無限供應，聽說咖哩可以再加，但女生吃一碗應該剛剛好~"
山海幸,5,"老闆很客氣
東西很清淡 肉很多 醬汁還可以客製
飯可以免費續加
有免費冰紅茶 溫麥茶
地方乾乾淨淨的"
洪鼎睿,5,"好吃⋯用餐時間一到總是門庭若市。

推薦大家想吃便當的可以點腿庫飯、腱子肉飯也好吃，白飯都可以無限續碗。

也很推薦點咖哩飯，咖哩飯比起便當可以說是更划算，因為不只白飯，連咖哩也可以無限續加。

只不過點咖哩飯的話青菜稍嫌太少，我會推薦大家可以另外花個20元或30元加點幾道便當配菜
因為麻吉食堂的配菜也都很好吃！

我最喜歡點炸雞咖哩飯，即使加上30元的配菜也只要120元，可以吃得超級飽又好吃！ …"
陳怡靜,3,烤雞腿飯滿不錯吃的，配菜也給得很大方
Gary Su,3,三個星給好吃便宜，扣兩顆給不固定的開店時間，個人認為起碼要公布一下，不管是臉書或更新Google地圖的營業狀況~
Gwen Chen,3,"配菜只給少少幾根，偷看隔壁給超多的。
但是可以加飯還能續咖哩醬真的很不錯，可以吃飽。
雞腿排調味很香，咖哩的味道也很好吃。"
陳俊廷,4,"咖哩跟飯可以無限吃  平均90元
非常適合學生族"
涂銘洋,4,推便當類，無骨雞排、烤雞腿、炸豬排都好吃。不過開店時間比較不固定，要碰碰運氣。
游博翔,4,可自行選三樣配菜，配菜每天有變化，白飯吃到飽，主菜無骨雞、豬排、魚排都炸的酥脆，學生吃飯的好地方。
SHANYU,3,普通的便當，人潮很多，出餐真的慢，但配菜算不錯
Heinrich404 (亨寶),3,啊我沒吃過餒 怎麼沒開
Sylvia Shih,4,"烤雞腿飯$90，配菜有多樣青菜可以選，好吃不油膩，白飯不是那種乾癟的米，覺得很棒。

無骨雞腿排飯$90，迷迭香草的調味。

先送單付款，之後會叫桌號過去選配菜。"
何名柔,4,平價好吃，無骨雞腿排酥脆好吃，可樂餅咖哩飯也不錯
Laura Wang,4,"豬排很厚很好吃~配菜略鹹
但咖哩&飯可以無限續
大推魚排！！！很厚且juicy~比臉還大！！！"
Oma Huang (制服),4,很好吃，但開店時間超級不固定，扣一顆星
Doris Huang,5,"好吃，菜色不油，選擇也多樣。
但真的常常有事沒有營業（尤其禮拜一)
撲空了好幾次😂😂
建議去之前，可以看店家line的狀態，或是line詢問，才不會白跑一趟噢～
期待廚房趕緊整修完，恢復營業！"
林Eva,4,腱子肉飯90元，味道中上，但主菜偏鹹，不過能續飯就很可以！CP值頗高~另外，點咖哩的話也可續咖哩。
kunlin Lu,5,便當冰過也好吃，像吃冷滷味一樣。
Arnold Peng,1,可以改營業時間囉
Ansel Lin,5,便宜好吃，加飯不用錢吃到飽！讚！
陳彥勛,5,"好吃價格也合理
不過太常沒開了啦!!"
陳昱仁,1,營業時間要不要修正，讓人白跑一趟真的很糟
Kevin Chang,5,咖哩真的很便宜划算又好吃，不過近幾週以來真的是像其他評論說的愛開不開，我已經撲空3次了，來之前最好打電話確認
Bryan Jhang,5,好吃，特別是炸肉類，副餐的菜能自選，吃不夠能加飯
真正水,5,主副菜都很不錯吃，點咖哩可加飯加醬，超划算.
Ricky,4,水準之上的快餐店 還不錯
Mark Lin,3,咖哩豬排 不難吃 但我會選旁邊的厚宅咖哩豬排... 咖哩醬真的普普...
Jessie Chen,5,"咖喱微辣好吃，飯跟咖喱都能無限續加很佛心！
便當類目前吃過無骨雞腿排，外層酥脆肉柔軟，超級推！"
nhow,5,飯和嘎哩可以無限續加，CP值很高，又好吃，超級讚讚，也有賣便當，飲料也可以喝，但很常隨機性不營業QQ。
WJ Hong,5,真的很好吃～周圍cp值最高的便當
貓小小,4,"優秀的家庭廚房，空間寬敞，服務態度佳，適合三五好友約吃飯
餐點表現不錯，但建議內用才能享受到這間店帶有的輕鬆感
不過開店時間不太規律，這大概是主要的缺點了～～"
みこちすき,1,炸雞有夠柴，咖哩也很普。
Lee ch (jas),1,"118救星 愛開不開 缺錢就開 有錢放假
太誇張了 不開頻率太高了 118救世主 味蕾耶穌 就這樣棄廣大的莘莘學子們而去，賺飽後就不理睬我們，根本118飲食界渣男！我們強力譴責！"
許郁凱,5,咖哩醬好吃 大推無骨雞腿排 外皮炸得酥脆 汁多質嫩 肉應該有用香料醃過 又不會醃得過重
Daydream白日夢,4,三菜一主菜，飯可免費加，量不會到太大，就一般。咖哩飯則是可以免費加醬，可以吃粗飽。
David Dai,4,百元內吃飽
黃柏瑞,3,實在是不懂為什麼店內不要用叫號機一定要用喊的叫號
Chia-Tsai Lin,4,主菜美味，配菜多樣，內用白飯吃到飽，價錢實惠。
Megan,4,咖哩很好吃可是經常不開～
Chun-Yen Chiao,5,"雞腿排 照燒豬排 腱子肉便當都很推
主菜好吃
雞腿現炸很多汁
腱子肉算特色菜
而且便當配菜可自挑
無可挑剔 是外食族的好夥伴
完全值得五顆星評價

DELICIOUS！
MUST TRY FRIED CHICKEN RICE！"
Chichi,5,大推 腿庫 豬排 雞腿 都很好吃 配菜也不錯 又便宜 便宜的90~100塊
巫宜謙,5,好吃，118最推薦，可以無限加咖哩，很超值哦
Shih-Hao Wang,5,"90元可以吃到厚切美味的炸無骨雞腿排和照燒炸豬排飯，
可選三樣配菜，有較其他快餐店不同的選擇且調味較清淡。
飯和咖哩可以續加 。 咖哩醬普通。"
王凱弘,5,整個台大找不到這麼棒的咖哩，還可以續
Arthurr Wang,4,味道不錯，但老闆看心情開店。
倪豬豬,5,好吃不貴，冷氣涼，冰紅茶暢飲，白飯可續，主餐現炸的覺得新鮮好吃。
