author_name,rating,text
陳念念,5,"電話服務很專業，門市也很特別，有服務鈴喔，也可以網購支持!
店長人超好，幽默風趣，很有國際觀，百無禁忌都可以問~(但還是請各位自重，哈哈)
在心中晶晶是沒其他地方可以比的，也無需要比較，獨一無二，別無分號!
網購是現在可以大力支持的選項，電話訂購也可以。
誠心推薦~還有TILA束胸超好穿，一定要推的。"
Joanne Leung,5,同志書庫，除了書之外還有些性用品、飾物、DVD等的，不過Gay的占多一點，女同志和跨性別的少一點，但種類比女書店多。所以來台北除了去女書店外，來這邊看一下也不錯，而且都在附近！
張敏敏,5,"空間很悠閒，還有個庭院，櫃台有服務鈴可以按喔!
跟店長請教了一些，真的很不醋的地方。獨立經營的同志文創很不容易!
一堆恐同份子可以不要來，沒事亂給一顆星，感覺沒有品!
看來台灣的多元價值還需要加強!"
黃金愛,5,"店長人超好，貼心又專業! 一開始我自己不好意思，但原來根本就是聽君一席話，勝過十年書，好想霸佔店長一整個下午，不過真的工作不少，希望大家也跟我一樣，體恤一下店長了，要記得消費支持，不要一直去聊天喔!哈哈哈~
超愛這個地方啦，庭院裡放置了三個的小空心磚，不定期都有在清洗，是可以坐下來發呆的喔，算是巷弄裡的一塊小天地，很舒服!!!
晶晶太可愛了，真想霸佔店長!哈哈~這二次講!
束胸真的很好穿，TILA首選，大家試穿看看喔!"
楊平鈺,5,晶晶書店位在耕莘文教院旁邊的巷子裏，交通方便，地點好找，店裏販售許多書籍及用品，還有新銳設計師設計的商品，例如，文具及包包等..是個很有特色的文青店
張國強,5,"店長人超好，若您能跟我一樣懷著感恩走進去，就會發現很多文創巧思跟那份自由的精神！
對於那些亂給星的，真是隨牠去！反正一堆反同志記得晶晶永遠都在，同志也是到處都有呀，哈哈哈。驕傲的我！
記得要消費支持哦！"
Yi-Fang Chen,5,"幫女朋友買束胸 回購TILA多次超好穿！！！
老闆人超好❤️大推👍👍👍"
Rosalie Yu,5,很習慣TILA束胸！都來這邊消費，店員也很熱情會介紹也可以試穿，想買的不必害羞哦。
Jia-Jhen Jhong,5,"店員(氣質感覺不只是店員)很貼心細心，不懂不清楚的地方也會解釋的很清楚，束胸還是要來這裡買才習慣~~~
布料舒適透氣又有彈性，不過有不同的牌子跟款適，穿起來感受不同，還是到現場試穿會比較準確喔！"
王辛基,5,"用心的店家，明亮自在，大推!!!
座落充滿藝文氣息的中正區巷弄裡，捷運很方便，我走兩分鐘。買了很多特別跟自己喜歡的東西! 問了一下子店長，原來空間都是很多細節的設計，有內涵跟舒服的多元同志空間，女女男男跟""異性戀友善""，都歡迎所有人喔(現在一堆打著同志友善著，很多人殊不知這20年來，很多財團都是見風轉舵)，我也很支持店內禁止攝影錄音這些。入口玻璃門就有很大的標誌告知了，真不懂一堆魯自己抱怨，到底自己素質有所提升否，當鍵盤魔人呢。"
林憶柔,5,很具有歷史性的書局，裡面的東西讓人驚艷！！！
林曉萱,5,"老闆nice，給很多的專業建議^_^
TILA束胸超好穿，晶晶服務貼心!
還可以晶晶官網網購，這時候更要一起支持!"
李家婷,5,"有人說店長帥，其實我也覺得~常常接觸藝文讓我們都更有魅力!!就很喜歡這個地方，我會一直喜歡晶晶的選書!!!
剛好遇到可聊。晶晶一直都是一本初衷原創團隊，店長老闆們(今天遇到兩位)都很親切，有國際觀~
超親切，無距離感外~非常好的服務跟文創商品，我買到拿到限量的VIP卡
台灣有晶晶真好，讚 ! 好想搬來台北! 還有來逛記得最實際的購物支持!
店裡不拍照是長久以來的政策，入口標示非常清楚。很多書櫃等也都有。記得喔!"
Yian Lai,5,"同志書店
賣很多值得收藏的電影DVD"
Wang Lorenzo,3,建議店裡 禁止拍照的標示可以大一點，或者一進去就可以說明一下。畢竟很多遊客或路過的人，很多人也只是抱著想跟朋友分享好店的心情，不是每個人都知道規矩。但店員卻像警察一樣教訓客人，要客人打開相本刪掉照片，還逼迫對方到手機的資源回收桶，檢查沒有問題才可罷休，真的很無禮。你在那邊工作或許已經很清楚規矩，但並不是每個人都跟你一樣。我支持同志運動，但對於這種無禮把客人當犯人的店家，真的很失望。
黃先潤,5,今晚買了自己要的書籍跟束胸，話說束胸很多都可以試穿，我買TILA束胸真的超好穿，店內入口本來就有很大的說明不能拍照錄影，而且不少地方都有提示圖，服務跟店長們都超好的，自己要有禮貌跟打開自己的心，接納自己也尊重別人。
饒達麗,5,店長人好熱心，束胸超好穿！
王明雄,5,亞洲第一家同志書店，老闆健談也很熱情，來到台北一定要來，還有購買支持，很多文創，還有成人的玩具，不用害羞，老版超酷都可問。記得不能拍照哦。
Robin Chen,5,同志相關的書店，可以來逛逛購買週邊
向戀,5,"雖然能夠理解或許為了清潔、人力或的顧慮
但已知客人因為生理期外漏的情況下
依然堅持洗手間不外借
讓人略感覺冰冷

※

3/4接獲店長來電
並針對問題有提出雙方可接受的後續處理方式
未來若有急需的女性
希望都能夠獲得更多有效的協助
非常感謝兩位工作人員來電溝通並確認問題所在"
林玲羽,5,"老闆人很親切，有國際觀~
超親切，無距離感外~非常好的服務跟文創商品
Love GinGin Forever!!"
Kenny Hsiao,5,很多有趣小物可以買🤭
趙軍翰,5,很不錯的地方，一切的起始點!!
張原娜,5,今天到晶晶買束胸，我自己試了有點久，服務很貼心又專業，真好穿!最後帶了幾件束胸，也買了不少獨立作家的書籍(應該是獨賣的)，覺得一定要支持大推一下。店長人超好，很能談，個人覺得意猶未盡~
黃明瀚,4,買雜誌等
林國華,5,是我自己的問題，拖到快打烊的時間才進去試穿束胸，真心覺得晶晶服務超好，讓我很自在的買了束胸。打擾到人員有晚下班，我十分感謝! 而且束胸真的很好穿耶!  要推薦~
yihsin S,5,優質服務 態度品質 都很優 老客戶推薦！
Hsieh Yung Ting,5,本身穿過一次就愛上這家的束胸，服務也非常優秀，大推～
