author_name,rating,text
Allen Chien,5,位於捷運古亭站二號出入口，非常便利的地點，服務親切、態度好！
Tao Cheng,1,"差
真的。門市報價比網路貴2千多的報價，報價要等人工報價，跟網路不同步，一個小時到一天都有可能。

反映客服，客服說是門市的服務費，門市說是總公司的報價。
然後，又說因為價格是抓Agoda的，所以才會要這麼久。

這應該是我遇過最神奇的訂房流程了。
建議大家還是多到booking或是Agoda，
如果不是因為公司發的旅遊券，實在是不會到五福自找麻煩。

唯一的一顆星給門市人員。"
令狐沖,1,"非常糟糕的體驗!
給她一顆星都嫌太多!
游姓牙套妹服務員的態度真是糟糕透了：
不專業不熱情就算了
還對客人擺一副臭臉
客人多問幾個問題
就一副不耐煩的表情
口氣超差，還會瞪客人
一問三不知，客人問問題直接回答不知道
完全沒有要幫客人解決疑問的感覺
這是我第一次到此店也是最後一次
台北市到處都有旅行社
客人完全沒有必要花錢受罪
誰的服務態度友善，專業就去誰的那家，不是嗎？"
Jie Yu Yan,1,"服務普通
服務人員對於網路上的產品並不了解
客人進門詢問相關問題
馬上先質疑客人是看錯了
無言"
邱淑月,4,經常走羅斯福路，居然發覺路邊新增一家旅行社，店面不大，但是斗大的招牌字卻遠遠看得一清二楚，趁著路過，進去看看有沒有我喜歡的出國行程，還不錯，真的有，跟業務小姐要了行程說明，業務小姐好像對行程不是很熟，但服務還好，說明書拿回家慢慢看，行程，時間及價格覺得合適，也問了要一同去的朋友，並繼續跟旅行社問了同旅程及價格的時間點，最後決定時間後，打電話預訂名額，接著旅行社指定副店長接洽，副店長就熟練了，有問必答，服務周到，順利繳交保證金，就等出團，希望如副店長說的，此團針對年輕情侶推銷， …
Stephanie LIN,5,捷運古亭站2號出口，即可看到五福旅行社。
陳惠莉小姐,1,很槽的旅行業者
WEN HA0 SHIh,1,暫停營業沒有標示
周至恆,5,耐心，服務周到
孫合均,3,服務態度還好
阿羅羅,5,
RyuU Wang,5,
徐培財,5,
我的老天鵝,5,
PeyJen Ou,4,
Milly Hung,5,
陳瓊姿,5,
king Stanley,5,
林萱,5,
蔣小燕（Ayan）,3,
