author_name,rating,text
駱虹樺,5,很舒服的環境，運動成了一件很開心的事，老師也都超親切，非常值得來體驗！
cherry tungtung,5,很舒服的運動空間，白天的時候採光充足，運動起來特別開心👍👍 人也特別好！
COCO LI,5,超推~覺得在這邊運動很舒適自在!!想一去再去呢 :)
Hank Kuo,5,"舒適的空間跟專業的老師,輕食也相當不錯,值得推薦!"
珊珊,5,超愛❤️專業的老蘇～超高級的沐浴用品～美味的小點心～
駱宜均,5,這麼棒的環境，讓我想天天來運動啊！
Liso Lightbud,5,"很舒服專業的客製化運動教室
Melody真是個非常好的教練！"
李雨靜,5,很舒服的運動空間！而且人員&老師都非常親切
Annie Chen,5,用心舒適的環境，大家快去體驗課程！！
Andy LIU,5,環境很好的一個地方
張馥渝,5,"(由 Google 提供翻譯) 真的是很棒的一個運動地方❤

(原始評論)
真的是很棒的一個運動地方❤"
jenny chen,4,
Billy KAO,5,
Delphy Lin,5,
李雨融,3,
張精衛,5,
ChihFen Lin,5,
Kei Giang,5,
Vera Liu,5,
melody liu,5,
