author_name,rating,text
Liu Jodie,4,"我是這裡的常客非常推薦想來練武術的朋友～
教練都很專業 而且大部份都很親切，來上課容易遇到跟自己志同道合的人一起努力
唯一缺點大概是廁所跟淋浴間老舊不太乾淨吧、不介意或是住離館不遠的朋友可以考慮看看"
Dana Lin,5,"專業的武術教室，有許多特別的課程。帶孩子來上菲律賓魔棍私人教練課，之後可以穿插上團課。
要不是寒假已有規劃，會考慮讓孩子上兒童防身武術冬令營。
02/01/2019"
Arsene Chen,4,"課程很棒，但行政方面細節沒注意，推薦人獎勵贈票不主動告知或給予。大直櫃檯很細心有發現
，感謝"
Wuqi,5,櫃檯小姐姐服務態度良好 推薦想練拳的各位來這裡 教練師資 櫃檯服務一級棒
Avery liao,5,"很專業的教練跟學武術的場所！
體能課程也很棒！"
晴れ空,5,在你們那裡學了那麼久防身  還是沒把自己保護好  我很抱歉
曾音閔,5,"上課用心、真的能夠鍛鍊到體能的教室
對小朋友非常好、有耐心！"
Bai Bai,5,"離捷運站出口很近
也有專業的教練跟顧問群
課程多元化 全家大小都適合
武甲的大家和樂融融像一家人
((讚讚"
Vincent Chang,5,環境很好，有點小貴，但教練各種厲害，練練拳腳舒舒壓
chiayu liao,5,💪💪💪
明益陳,5,鍛鍊自己的好地方，空間不算特別大但很有人情味，小朋友也很適合參加專門的課程，一對一或多人課程的種類很多，可以來參觀參觀
小白鼠,4,教練溫和有耐心，很棒！
amy Li,5,玉真教練人美又專業！隨時糾正姿勢，也會依個人能力調整難易度
Eileen Yoon,5,老師很專業很有耐心 服務人員也很溫柔細心 不會給人壓迫感 是很棒的地方
Pei-Yu Huang,5,工作人員友善，教練也很專業，課程蠻多元的
Skywalker,4,櫃檯人員蠻有耐心的，講說也很認真😀
洪宜勇,4,難得在台北市看到 武館；驚豔。
Taffy (塔菲),5,"買6000送6000很划算
還能有一對一的武術教練課
選擇很多
教練上課都很認真
很喜歡來這裡上課的感覺 :)"
Livia Chu,5,環境舒適乾淨，一對一教練超級專業，有一個叫stephen超級推，專業知識充足，女生想練的小細節他也去專研，每一趟課超充實！！！！！
吳冠霖,5,快來一起運動，教練們都超讚RRR
Benjamin Pan,5,兒童課程教練用心，服務設施皆完善。
高念慈,4,雖某些課程稍貴 但武術課程多樣化
Li Torng,4,設備不錯 空間夠寬 唯味道重了一點(好像是墊子塑料的味道)
Chien Chang Tseng,5,場地大、課程多，有提供自由教練使用場地
黃鈞毅,5,流汗運動的好地方，教練很專業。
LiChi Huang,5,馬太伯教練最棒了！
George Lee,5,環境乾淨，氣氛佳，是個可以穩定運動的地方
Peggy Li,5,教練專業，且平易近人，交通很方便
游建豐,4,器材還算齊全 但就是場地小了點
王得瑋（WADE）,5,教練專業又認真
楊佳勳（monkey）,5,教學認真專業，教學環境優良
violinruby,5,環境舒適 教練專業 👍👍
Hsien-Chien Hsiao,5,場地很棒，教練專業，訓練氣氛佳
Wang David,5,環境舒適教練專業
皮卡林,5,很專業
ling Chen,5,專業，適合所有人的武術課程。
Sung Winston,5,規模雖小，五臟俱全
鄭吉,5,教練專業
Julius,2,是健身房不是武術中心
Annie Lin,5,服務態度親切
Going Liang,5,還不錯 推薦
盧sir,4,沒話說
Jheng Chris,5,完美的習武空間
浩星,5,練武的好地方！
陳昭儒,5,自我成長
桑妮,5,乾淨 教練用心
Hsu Freda,5,運動的好地方
Tom Lo,5,練！
Sakura 樱花,5,"(由 Google 提供翻譯) 我們這裡有一個驚人但激烈的拳擊訓練！

(原始評論)
We had an amazing but intense boxing training here!"
Chris H,5,"(由 Google 提供翻譯) 泰拳訓練好！

(原始評論)
Good Muay Thai Training!"
Wayne Chiu,5,"(由 Google 提供翻譯) 好老師，會激勵你鍛煉身體

(原始評論)
Good teacher that will motivate you to workout"
顧明琍,4,"(由 Google 提供翻譯) 運動訓練的好地方！喜愛去綜合格鬥的好所在！

(原始評論)
運動訓練的好地方！喜爱去綜合格鬥的好所在！"
Jimmy T,5,"(由 Google 提供翻譯) ShiDa大學的巨大培訓設施。他們講授從健身到BJJ的一切。絕對檢查這個地方！

(原始評論)
Huge training facility by ShiDa university. They teach everything from fitness to BJJ. Definitely check this place out!"
Riaan Yao,5,"(由 Google 提供翻譯) 有史以來最好的地方。散打課程是必須的。

(原始評論)
Best place ever. The Sanda classes are a must."
Lanni Du,3,"(由 Google 提供翻譯) 這是進行健身運動的好地方。

(原始評論)
It is a fine place to do exercise for fitness."
BrooklynC,5,"(由 Google 提供翻譯) 專業的教練和近捷運古亭站3號出口空間大，一定要檢查！

(原始評論)
Professional coach and Large space near MRT Guting station no.3 exit, must be check!"
Vivian Chiang,4,"(由 Google 提供翻譯) 好的

(原始評論)
Good"
ERR,5,"(由 Google 提供翻譯) 普普

(原始評論)
普普"
Jayzee,5,"(由 Google 提供翻譯) 喜歡泰拳課〜

(原始評論)
Love the Thai boxing class~"
Pocheng Jean,3,"(由 Google 提供翻譯) 地方還可以！

(原始評論)
place is alright!"
Winnie Wu,4,"(由 Google 提供翻譯) 喜歡他們的tabata訓練！即便它真的讓我像地獄一樣流汗！

(原始評論)
Love their tabata training! Even it really makes me sweat like hell!"
Cerberus Hsieh,5,
駱韋宏,5,
yei shin Tsai,5,
林盈志,5,
林雨霈,4,
Jonathan Wang,5,
Cara Tian,5,
黃惠如,4,
Christina Cimini,5,
adriel elvin,5,
JR Lee,5,
y,4,
侯興旺,1,
Hannah Hsieh,4,
陳建臨,5,
許黃品,5,
Tom Lee,5,
LIAN KING,5,
Arex Chang,4,
Antonio Lin,5,
李少棋,5,
Lan,4,
陳彥瑋,2,
chen RICO,5,
hu jack,5,
林靖邦,5,
謝宏壎（宇宙椪柑）,4,
Chloe Wang,4,
Chunta Ho,4,
宅小哇,5,
熊忠磊,5,
wen Huang,5,
Jerry,4,
李怡宏,3,
Kai Lin,3,
chang chinghsuan,4,
kevin liou,5,
楊世璿,5,
Etxx,5,
Asobi Gonorrhea,4,
林鈺軒,1,
Pierre Huang,5,
Yuko Lu,5,
Peter Woo,4,
李富穎,5,
Shih-Jung Sun,5,
許雅翼,4,
World Hello,5,
林小婕（Min）,5,
Josh Lu,5,
Lee Rice,5,
0953228580,4,
身正不怕影子斜,5,
Iris Izaguirre,4,
唐唐,5,
Kyle Wang,5,
Change Fan,5,
YC,1,
Rae C,5,
CCC HHH,5,
簡尚甫,5,
吳芳慧,5,
Cheng-Yu Hsieh,5,
Iris Che,5,
陶怡德,5,
Chang Calvin,3,
Huan Yu Hsiao,5,
Alex Lin,3,
NeilLee,5,
Tony Hsiao,5,
Peiring Tsai,3,
喬納斯,4,
yun lin,5,
Jia-Jhen Jhong,5,
Y.C. Wang,5,
Ezia C,5,
Frank Lee,5,
廖聖豪,5,
Peter Wang,5,
王子豪,5,
Daniel Mendoza,5,
