author_name,rating,text
Chun-Ming Chang,2,"2020.12.06 = ★★☆☆☆
◉不推薦：蛋黃酥。
◉提醒：手工麻糬or核桃糕是【一之軒】的強項。
◉可麗露大顆，品質中規中矩。
◉牢騷：蛋黃酥口感跟蛋黃風味都不佳，不推。
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝

蛋黃酥第18顆，來到我之前很喜歡的【一之軒】。【一之軒】之前出過幾次產品，比如說手工麻糬or核桃糕，對比售價，水平不錯，所以還有會員卡。今天造訪時，看到有可麗露，還挺大一顆的，那就順便吧~😁

☑伯爵奶茶可麗露(45元) = …"
Winnie Lin,5,"一之軒的麻糬持續滿意中，尤其是傳統的花生麻糬和芝麻的麻糬，不但是我的最愛，我娘家爸媽和姐妹也非常喜歡！每次回娘家必買幾盒伴手禮，今年也不例外。

今天初二照例買了6盒，除了平常必買的花生和芝麻口味外，紅豆抹茶和芋泥也頗受好評，但見人見智，喜歡嚐鮮的可以試試，但我仍然最愛餡料香濃飽滿的花生麻糬和芝麻麻糬。

師大老店的生意很好，幾年前重新裝潢過看起來更醒目乾淨，店員動作快又很親切，喜歡！"
Sasa Liu,3,起司麵包還好，裡面起司沒有很多，味道也沒特別香。
mi mi,3,"珍珠巧克力舒芙蕾💰230❤️❤️❤️.5🤍
吃的到少許微脆的巧克力米，而巧克力鮮奶油吃到最後會有點小膩，甜度足夠
是款正常的巧克力蛋糕，但不會想回購🤣"
蔡睫葶,5,訂了18盒餐盒，卻不小心訂錯日期，原本以為只好買下所有餐盒，再想辦法送人了。但是店家非常好心的願意吸收這些訂錯的餐盒，幫我們改天再送一次。真的非常的感謝，而且麵包也很好吃😭未來一個月的早餐天天都是一之軒。
游全益,4,"【 羅宋麵包好吃😋早餐的好選擇 】
麵包的品項多元豐富，人潮多購買的人也多，麵包當然就會一直出，新鮮！
最愛這家店的羅宋麵包啦！鹹香的口感，外表烤的金黃，聞起來好香帶點奶油香，真的推薦！
葡萄酥也很好吃，口感紮實，很適合下午茶時光！
店內乾淨舒適又明亮，店員都注重衛生，都會戴口罩，真是很棒的店家。"
C Mickey.,4,"種類豐富口味眾多
不定期推陳出新口味
可以多多提供試吃新品項
建議菠蘿麵包不要像疊疊樂一直疊上去
被壓扁的麵包實在不可口而且賣相差！
最近新產品「松露蕈菇吐司」
吃過覺得味道普普
要價80實在偏貴！
店員一般來說服務品質不錯
但昨天去買麻糬
明明說要買「芝麻」口味
店員就一直問我
要「紫米的哪一種口味」
當下黑人問號僵持好一陣子
原來是聽錯搞烏龍……傻眼……"
楊雅蘭,5,"麵包種類多
服務人員親切
好吃又便宜
加會員還有壽星點數和蛋糕九折
很喜歡一之軒"
房晉右,5,讚啦！好吃到讓我們家吵架！
林琬婷,5,因為要慶生，買了4個切片蛋糕，結帳的時候店員姐姐本來已經在一個個包裝了，但是因為我想要大蛋糕盒裝，就另外再幫我包一次⋯在包之前我真的不知道有這麼麻煩⋯真的非常感謝有耐心的店員姐姐！！！
Becky Wang,4,"從小買到大的老麵包店，現在都開得到處都是連鎖店了，但我們還是最常來師大這一家。

一之軒的麵包多年來變化不會太大，逐漸變多的是類似伴手禮的產品。之前推過核桃蛋糕，也出過鳳梨酥禮盒，現在還有蘇打餅乾夾牛軋糖。在產品方面也是不停推陳出新、充滿活力。

今天來買的是明天早晨的早餐，選的有「帕馬森起士」（媽媽吃）、「金磚香蒜」（爸爸吃）、「金磚乳酪」（弟弟吃）、蔓越莓麵包（我的）。另外還購入櫃台上打八折的重乳酪蛋糕蛋糕🍰，明天前要吃完。

店員有耐心又很熱情，可以申請一之軒的會員，部分產品都有會員價哦！"
亭妤,4,麵包很好吃，有很多選擇，乳酪條好吃，但有點貴，小蛋糕口味普通，生日蛋糕好吃。
Cing-Huei Wu (吳老師),5,"麵包好吃很有特色,價格也還可以接受,在師大夜市開了超過二十年老店"
林約翰,5,每天都有各種好吃的麵包、蛋糕、及糕餅等，價位稍高但品質很好，是知名的連鎖店。。請幫我評論按＂喜歡＂，拜託，謝謝！
DarlingYeung,5,麵包很美，但真的吃不下。最後買了檸檬撻，超讚! 牛油曲奇餅底，檸檬饀酸甜清香，真的很久沒吃過這麽好吃的檸檬撻。
鬱銷魂,5,此家店長真的如同事說的；人很親切又有耐心，不論店家再忙都能詳細解說產品並銷售，與現今多數店家的年輕化員工相比，實在是難得的老練沉穩多了！希望一直秉持下去，加油～
李莫愁,5,麵包口味眾多又好吃，買來買去還是師大店的員工最親切有禮貌，老闆跟店長管理有方喔～
tedChoice Lai,3,麵包、蛋糕、點心口味繁多，提供客戶多種選擇。
陳建萍,4,"女兒愛吃的蛋塔！冰過更好吃。丹麥波蘿好吃！但有時被壓破或扁掉就不想買了。海鹽羅宋好吃耶！新品試吃~{髒髒包}，很棒喔～吃過別家的羅宋麵包後，才知頂級羅宋非一之軒莫屬的。新口味~葡萄牛奶卷蠻好吃優~
精緻小蛋糕不錯吃喔～新品蜂蜜土司，不如原先的40元乳酪土司好吃的！葡式蛋撻冰過更好吃！新口味~日式茄汁雞肉麵包蠻不錯吃喔～"
Linda Wu,4,最推羅宋麵包，麻糬
Momo co,4,麵包又多又香，陳列得相當誘人
Rejoyful 2021 Djashi,4,麵包甜點種類繁多 ，真佩服門市願意開發新的產品 ，排隊結帳幾乎是常態 ，有些產品價格中上 ，但台北人願意也有能力消費得起 ，因此門市業績歷久不衰 ，而且麵包品質穩定比較沒有地雷 ，希望能一直維持下去 ！！
Cecilia,3,便宜的切片蛋糕，雖然不能與珠寶盒蛋糕比較，一分錢 一分貨，但不失應有的味道，吃過冰綠豆糕不錯，圖為當季的草莓千層，夾層是傳統草莓醬，可以暫時解饞。
Mitty,5,口味很多，品質也很好，接近打烊時間都會有特價優惠
柯紫盈,2,到處都看得到的麵包店，想吃可以路過買
李曉玉,5,麵包好吃多樣化!
葉常芸,3,員工受訓需加強，現在因塑膠袋要加價，大家為環保買盒裝蛋糕大多覺得直接拿，建議店員看到要直接拿時，請幫忙加強膠帶，不然很容易出了店門蛋糕是地上吃掉的，昨天買的一個蘋果蛋糕因為盒子不牢，最後變成豆花（😢）
yoyo瓊瓊,5,產品好吃，服務親切
連敏傑,5,廖老闆為人客氣，麵包糕點都用心製作，讓人吃的放心開心。你如果還沒來過，那一定要來品嚐。
Dear Mr.,4,端五午節全面特價優惠中
Jean Lu,5,種類很多，麵包不錯。
Lee Julia,4,有創新產品也有傳統口味，品項選擇多，送禮自用都方便，會員有會員價，不定期有優惠折扣。
令狐羊,5,食品種類多元，品質極高，價格較高但值得。
林琮程,5,麵包種類很多
吳念娟,5,服務親切，蛋糕甜點好吃
PinRu That (貧乳),4,"結帳沒有說看學生證打折就要算原價
買一包菠蘿麵包特價的被算貴
差20幾塊🤦🏻‍♀️
都可以再買一個麵包了
但還是好吃啦"
傲嬌貓,2,"麵包看起來精緻 可是其實並不好吃
不是有過度的奶油味道就是粉味很重
蛋糕也是 奶油都是很便宜的那種奶油 吃了會噁心
唯一大概就是店員都會戴口罩
店內動線很不好 常常大家擠在一起 麻糬算是比較值得買的"
吳翠萍,3,麵包和甜點的總類很多，價格屬中價位，美味程度是還好，就服務真的不錯嘍～
林玉琦,4,"看到店員推薦 買了菠蘿麵包
發現口感真的和一般的菠蘿麵包不同！ 外皮很酥脆也不會膩口 之後已成為我的早餐首選之一～"
