author_name,rating,text
kv zhao,5,很有家的感覺，很寧靜、舒適的地方，如果不喜歡茉莉那種商業導向的二手書店的話，非常推薦萊這裡喝杯咖啡、品品生活。
琦琦KIKI,4,"1.舒適空間寬闊
2.分類清楚
3.價格優惠
4.語言書籍可以在多點"
Chen Yi -Ju,5,公館中的秘密二手書店，入口處在後巷而非新生南路口，入門處為二樓，提供窗景閱覽處，記得需點杯飲料。三樓都是外文書籍及童書，很值得來挖寶！
陳瑞益,5,有很多好書，安靜美好的所在，另有咖啡飲料可以佐以書香時光
tiffany,5,書的種類很多，佈置的很愜意，價錢很便宜，很適合學生
朱菁菁,5,"週年慶滿$380就全面79折，很划算！
店員親切、店裡氣氛自在…"
李海泉,3,乾淨.衛生.便宜，飲料隨便喝，冰淇淋隨便吃！
scifisam chou,5,週末看書的好去處，類型小說稍微少些。
蘇閔微,5,"窗景可遠眺101
還有精彩人文活動"
Hsinlan Wang,5,外文書多，巷弄裡的異世界
小立J,4,"有特色的二手書店
分類整理,乾淨舒適,走道寬敞
也可小憩"
Ron H,5,圖書分類標示清楚 有封套的書籍都可請求店員拆開閱覽 購買超過2000元還可以免費寄送到府 看中一套兩本精緻的吸血鬼繪本 無論構圖 畫技 配色 印刷 裝訂都是上等水準 值得珍藏 賣640元 可惜是法文的。所以， 把機會留給愛好者。
Sung Jackie,5,很有味道的二手老書店 ，環境很清靜
Tsai Ling Chang (Ling_Zai),5,可以賣書（小額），也可買書，就是個寶藏庫❤️
Wang Silvia,5,藏書量非常的豐富， 藝術方面的書也很多，是我喜歡的書店， 洗手間也佈置的很好。 還有熱飲，咖啡，茶。 可以坐下來好好的看書。
S.W Huang,5,"尋寶的好地方
店址在後面巷子
會找一下子才找到🙂"
Yi-Ching Lin,5,"雖然隱身在夜市一隅
整間書店卻很有質感
沒有舊書的陳舊
反而有明亮的燈光
和能讓一人舒適通過的走道
各種分類非常清楚
特價區也有很多寶可以挖
無論是中文或外文書籍
店家也提供紙袋裝書
態度也很親切
是個會讓愛書人一再光臨的優質書店"
黃巧莉Charly,5,雖然入口有點不好找，但進去裡面之後有非常舒適的空間可以閱讀
鄭筱蕙,4,交通方便，藏在巷子裡，店裡感覺很舒服，人不多，書籍種類蠻多的，適合書蟲挖寶。
YW Chen,4,是個安靜的小地方，可以點杯咖啡坐在角落好好品嘗。
麗安,5,"YouTube訂閱按讚.FB.IG粉絲.關鍵字.地圖五星留言
蕭主任LINE:yo1688yes
等等數十種方法
聯絡送優惠 期待您回覆 春秋讚國祝您生意興榮"
黃阿浪,5,隱身在公館巷弄，上樓之後別有洞天，書籍分類清楚好找，店員親切，很舒適溫暖的空間，愛書人不可錯過的挖寶好書店
陳凱,4,"樓下空間略小，樓上比較寬闊。分類清楚
不過折價較少"
林鈺婷（蜉蝣天后）,5,藝術文學書項目二手書很多，世面上比較不容易看到的書項。
張博鈞,5,書店很有質感，可以感受到為真正愛書的人所精心設計，買書還會附二手牛皮紙袋。
WL T,5,很適合挖寶的地方 環境很乾淨舒服
chang jummi,5,值得一訪的二手書店。珍本書展示豐富，書種陳列很有條理，社會科學類的書很精彩，不小心就噴錢了QQ
Parie Lin,5,"一進入店內就有滿滿的書香味，選擇也滿多的。
搭配咖啡廳的設計真的很棒👍🏻"
陳寬明,4,空間有點狹小；不過確實是聽文學講座的好地方。
吳佳憲,5,如果你還是喜歡有溫度的閱讀，那麼慢慢看，總能找到自己想看的書
朱潔,4,我愛胡思可以讓我買到便宜的書書，還有茶可以坐下喝，重點是有活動還會買書半價呀哈哈，是愛讀書殺時間裝文青的好地方哦
Penny Lin,5,非常漂亮，書價普通，店員人很好很可愛，但藏書較少
Mira Wang,4,有座位 二手書店
Cathy WY Huang,5,二手英文童書很多，價格也很便宜，可以到此挖寶。
小豬,5,"非常不錯的地方
淘到了自己的童年回憶
在小巷子裡面
最好是走路去
大隱隱於市的書店"
蔡承祐,3,書的種類眾多，有些書況保持良好，但相對價格就沒那麼便宜。雖然有分類但要找到自己想要的書可能就得多花點時間。
Chiao Chang,5,2019/7/1暫停營業，將會搬到中山附近
陳璿如,5,環境清幽，鬧中取靜，消費金額不貴又有座位區。
Ching Jung TT Tsai,3,公館店藝術類越來越少，扣一分，但鄰近台大，偶有學術類書，且外文多
陳舜儀,5,乾乾淨淨的小店，賣你的書也乾乾淨淨的。讓你翻了翻確認書況才簽收，挺有良心的。
劉定洋,4,價格合理，店內安靜，但書比較少
李靜波,4,可惜自 2019年7月起歇業
莊騰喆,5,價格與茉莉相比漂亮很多，書況也不比其差，非常適合獨自享受閱讀的地方。
馮曉笛,5,可以淘到不少好書，隔一段時間去會有新發現
yen Shiuan,4,"很多韓文,日文和英文的書可以買"
Jeffrey Titiyon,4,有少數韓文書籍。二手書價格還算公道。
Ann Cheung,5,很多滿滿兩大櫃最愛的書 很多台灣地名相關的書～
Victor,5,相當優秀的二手書店，經營的非常好！愛書人一定要來！
Yu-Che Chiu,4,二樓的胡思公館店，進去需要爬一段陡峭的階梯。全木裝潢溫和舒適，還有一小區的座位區可以點杯咖啡看看書。
James Wu,3,原文書總類多，書本的外觀狀態也不錯，有時能淘到不錯的書本，可以時常去看看
Ven Huang,4,"二手藏書豐富，小說類的書籍不少，哲思類的書籍與台灣研究的書籍也是這間店的特色，本店店長還有自己的推薦書單，非常特別。
另外這裏也有附設咖啡廳，也不定時會舉辦講座與坐談會，有興趣的朋友可以多來看看，會有不一樣的精喜。"
章育誠,5,有一整片面對臺大校門的玻璃窗視野絕佳！
陳英哲,5,二手書店有減無增，是中 老年人的尋覓
Kuo Chen Huang,4,安靜的閱讀空間，裡面還附設咖啡廳可以躲避塵囂。
Xiao Pi公分小皮,5,氣氛很好，有很多不同類型的書，很喜歡！
張惠國,3,環境不錯，交通方便，書很便宜。
George Georgechiyeh,4,偶爾可以淘到寶，有咖啡座，聽說還不錯，2樓有些日文書價格很不賴可以看看
ping-yu hsieh,5,書種類不少又便宜，有一個小小的空間可以邊喝咖啡邊看二手書。
李默然,4,書很多，環境氣氛都不錯，又有坐下來聊的桌椅，飲料也不貴。
yolandi,5,在書海中沉靜，帶走一兩本關於這個可愛的午後。
Lance HSU (風秤子),5,"容易找寶的店
乾淨整齊書況好
而且是書店氣息"
白熊,5,一個能讓人放鬆翻書、找書的地方，也有提供飲料可買
dong liang lai,4,有休息的咖啡店，消閒放鬆的好地方。
Forrest Yu,5,就性質定位而言可以到5顆。沒想到也開到現在了
陳英哲,5,有很多絕版的好書，慢慢尋寶
Jirong Wu,5,書籍分類整理蠻清楚的，方便尋找自己有興趣的書
Delia Liang,5,環境乾淨，書種類多。
han david,5,書種豐富，店內充滿人文氣息，店主匠心獨運，夠水準
洪翠蓮,3,二手書況很好、分類也明細、價錢合理
江嘉祐（jonesyi88）,4,有古樸味道的老書店，蠻特別得。
周志洋,4,喜歡這裡的安靜，還有賣咖啡
秦家凱,3,終於，找到我想要的書！
蘇婉怡,4,原文書很多，環境安靜，是個看書的好地方
蘇振瑋,4,地下一樓可以買禮物!很多可愛的小東西可以拿來送人!
紀鈞凱,5,好可惜，關門了。
Boru Qiu,4,內部書籍分類方式清楚，不過種類有限
盧翠芳,5,熱情親切，藏書豐富活動很多元
吳越,5,書籍擺放十分有條理，很容易找到想要的書籍
吳秋霞,5,每個星期六 我在這裡找到寧靜與自在！
邢忠彥,4,氣氛悠閒，有時候可以挖到些好書
Spade Jiang,4,看二手書的好地方，又可以消費喝咖啡
蔡天生,4,書店燈光柔和，店員服務親切，還有咖啡香
大漠附離,5,買二手書的好地方，書況優良又價位便宜
于翔,5,書便宜 找找就有屬於自己的書喔！
笨笨鼠,3,不錯的地方 也可以喝咖啡
翁玲,5,極有文化理想又溫馨舒適的書香環境
Chia Ning Chang,5,"讀書人的天堂
安靜舒適各式各樣的典藏"
黃怡雪,4,書籍充足，交通便利，還有飲品區，推
Oscar Iong,4,書況不錯，尋寶好地方
Hung Chang,5,氣氛舒適，商科社會科原文書居多
zookey huang,5,簡單。安靜。
白孟妤,5,可以找到喜歡又便宜的書、太棒了。
RICO YAN,5,"有書 有飲料 有位置 售價便宜 安靜 地點方便

沒有缺點"
Plutus W,4,空間比士林店寬敞，選書維持一貫胡思特色。
陳貞竹,5,有空來走走順便來挖寶
LISA WANG,5,舊書很多，價格合理，可以挖到寶。
洪智杰,5,公館商圈鬧中取靜的談心閱讀之處。
Rui-Wei Lee,4,賣二手書、尋寶和喝咖啡、下午茶等
Roger Kang,4,環境不錯，偶爾有特價的書
李賢哲,5,文青適合來挖寶的好地方
Sandy HYT,5,環境舒服 書籍選擇多
Flora Juan,3,小而美的二手書店
蔡天生,4,可以靜下來好好看書 沒有壓力
周家鋒,4,"巷弄中不起眼的地方
好像走進了另一個世界"
Oliver Wu,4,書籍排列整理的很不錯
林瑋晟,5,書量充足 價格公道
歐羅克,3,還有人會去書店嗎
Colon Wang,4,可以來挖寶
Bernice Pai,3,書不夠多
Jacob Zeng,5,有歐洲語文書籍 推
Cy Yang,5,店內環境舒適
Frank Lee,5,有地理書就推
AJ Chang,5,有好書、有氣氛、有座位的二手書店！
Joey S,5,挖寶好去處
白白白,5,書很便宜
Tsai Chia Yu,5,安靜氣氛佳
Jessie Lai,5,二手藏書多~好逛!
YanChing Lee,4,喜歡
鄭楙叡,4,悠閒的下午茶
許正宜,4,豐富
Mag Li,4,喜歡
李文雄,5,環境舒適
Alun Ho,4,特別
jason chen,4,找二手書的好去處
Jennie Tasi,4,可以安靜唸書的地方
阿布X布布遊戲實況,5,二手書都整理的很乾淨
takuhito koike,5,很乾淨，店員服務很好，書很多
faust fu,5,鬧中取靜的好地方
qmebtc167167,4,舒服的感覺
Yeh豪,2,書的流通不快
Su CJ,5,老闆娘用心經營
Alexis Chung,4,價格偏貴
林家正,5,有特色的小書店
陳慶宗,5,環境優良
白布衣,5,買到很多好書
YC,5,麻雀雖小五臟俱全
戴家宸,4,值得來尋寶
Li-zheng Chen,5,很不錯的二手書店～
徐淑華,5,整齊明亮，難得的二手書店
CHONGMING qa,5,店內環境不錯
Aaron Wang,2,近來舊書比較少了！
Qike,5,安靜
Chao-Wei Hsu,4,沒地方坐
蔡世保,3,舊書流通也附庸風雅
藝術開開門-a kuan cafe,5,很的二手書空間
伊君鄭（Venice）,4,氣氛不錯的小店
chi lin lu (RainForst Zu),5,棒，不解釋
クリストファーー,5,時常舉辦優質講座
張敦瑋,4,很多書，非常棒的地方
Nick Ho,5,二手書愛好者的好地方
Zhenqi Liu,4,書很多
Su Sunny,3,可愛的書店 喜歡
