author_name,rating,text
莓姬貝利食事旅行,5,"許多小眾漫畫、塗鴉的刊物
能找到許多非主流藝術家的作品
非常喜歡這裡！"
Alice Liu,5,"來過這裡四次，今天第一次進入內閱區，簡單感想是：「超級喜歡！不要錯過！」然後下面是長版的感想(｡•̀ᴗ-)✧

第一次來時真的有點忐忑，那時一個人來看高妍的展，要先打開大門，走進地下室，一路完全看不到店裡的樣子，不知道這是什麼樣的地方，但進到店裡後，意外發現這是讓我很自在的空間，店長跟副店長也都非常親切，每一次都會很客氣的說謝謝，可以感受到他們真心的感謝，但我才想感謝呢。 …"
林亞駿,5,喜歡另類漫畫和zine一定要來逛逛
Stephanie Wu,4,"長在很隱密的地方，差點沒找到 xD
很舒適的小空間，進去要脫鞋所以裡面很乾淨沒有味道"
YUN GEE,5,每次去都有新發現的漫畫家及作品，通常都為了小展覽而去，inspirational!
Brian Hsu,5,很有風格的漫店，入口有點難找，要對門牌找，確定就開門直接下去，不要懷疑🤣🤣
Remy's Kitchen,5,很有特色的漫畫書店，以畫冊居多，也会不時舉辦展覽，这次有香港漫畫家門小雷的手稿展，漫畫家還舉辦了簽名會。
Joe Wu,5,少見也是獨一無二的影像作品藝文空間，主要推廣路線是以非主流漫畫為主
C Y,5,"當初是因為喜歡的畫家在這裡辦展覽才特意來找這間店
但是最後有挖到寶的感覺。
小小一間店裏頭有滿滿的寶藏💫
裡面都是非常有趣的書
如果可以 特別想在這裡窩一個下午呢 !"
福大,5,"門打開地下室還有一扇門，入內要脫鞋
空間不大，會辦一些很棒的展覽！
還可以找到很多畫家出版的小畫冊~"
Kung-Ping Lin,5,漫畫超讚以外音樂也超爽，要是我住公館肯定每個禮拜都來，五顆星都不夠。
張怡翔,4,"很特別的小店, 非常精緻, 不過商品價錢有點偏高"
彥萱,5,尋寶的好地方，推薦在人少的平日來會有更好的體驗，有很多美麗的獨立刊物及個人漫畫，值得再訪的書店。
ascratch05 ascratch05,5,各種畫風極美細緻的書籍可以凝視好久，在榻榻米區可以待上一整天喲
