author_name,rating,text
周阿花,5,男女藥師皆有耐心並貼心提醒用藥須知，不會因為要做生意，就硬要你買不合適或不需要的藥品。雖然這次沒有消費行為，僅是詢問，也依然親切的回覆。以後如果要買藥品一定會來這邊買👍🏼
lin lin,1,1/29 早上九點，一進店門就明顯感覺到店員對客人充滿敵意，向女店員詢問有效的溫熱痠痛貼布，女店員好像不知道店內有此類商品，經二次詢問才一邊碎唸一邊走出櫃檯指引貼布類的位置，但依然態度惡劣，請店家加強員工訓練，該店員不僅專業知識欠缺，態度還極其惡劣，附近住戶也不是一次兩次在傳該店店員態度不佳，請改善。
朱晟豪,5,即使單價不高的藥物也有耐心聽症狀及耐心解釋藥物用法
方啟瑩,5,"買医药紗布,棉花棒,膠帶,生理食鹽水,優點…等他還有生活用品可上網查看"
吳倩倩,1,在他們家藥局買了一盒醫用口罩，後來這禮拜二早上家人去問你們店裡有一位長頭髮的女藥師說為什麼不是滅菌過的，那位女藥師很兇的對我媽說話還罵我媽沒知識，態度相當惡劣，旁邊站著一位男藥師都不敢替客人說話，相當無言。
Fefe Chien,5,老闆、老闆娘人都很好！我只是去領dha而已～非常熱心親切✨之後再去買寶寶奶粉❤️
Lin Po-Tzu,5,老闆親切熱心且幽默！
游潔霖,5,老闆娘人很親切、細心解說～大推
W.E. Himerika,1,每次去只要遇到一位戴眼鏡胖胖的中年男性，穿着白袍，可能是藥劑師? 就不想進去消費。因為讓人感覺很差，態度非常非常不好，講話很跩很不屑，口氣很差，無法好好講話，感覺對工作很厭煩，把氣出在顧客身上。每一次去都是! 跟其他店員落差很大。Unprofessional and unfriendly pharmacists. Not recommended.
Eileen Chen,1,我早上幫我婆婆買包大人的L號紙尿布大包的一包，回家發現尺寸不合，要換成XL號，結果沒有大包的XL號，只有小包的XL號，我就換成小包的XL號，但有80元價差，他們不退費，叫我一定要再選至少80元店內產品，反正不退價差，只好再買產品補價差，不退費就是了，而且態度強硬，超級鴨霸..............
Sean Ma,1,態度極差！詢問酸痛藥布資訊，藥師態度很差的說都在貨架上了不然是要哪一種藥布？！好好說話很難嗎？
李彥璋,1,不知是藥師還是老闆的中年男人態度很差，雖然有一些專業知識，但太自負又沒耐心，無法與客人溝通。
BaoMei Hsu,5,我一進門就表明要購買防蚊液，聊天提到我腳已經被叮了，女店員還主動拿藥膏免費給我擦，讓人覺得很貼心。結帳時男店員也很親切提醒一些該注意的的地方，真的大推服務很棒👍🏻
Chen Antyia,1,"藥師口氣很差，問個問題像欠她百萬似的，不耐煩的嘴臉令人做噁，從來沒看過這麼跩的女藥師,有這種藥師駐店遲早要收店，等著看吧!"
Annie Wang,1,"非常糟糕的體驗，大家購買前請深思熟慮。
雖然價格比較親民，但是服務態度非常非常惡劣，令人不敢恭維。
家中長輩想要購買，但因為提不動，所以希望問可否外送。

結果店員說訂兩箱就可以，一下子又說「特定商品不行」，
而且還做人身攻擊，質疑長輩大概連接電話都不會，根本不可能應門。
原文如下：「老人90幾歲，會來接電話嗎？走路都走不動了吧！」

問說願意提供運費沒問題，只要幫忙拿去郵局寄送就可以（1分鐘路程）
結果不願意就送就算了，還吼說：「你只買4萬？你又不是買40萬！」
簡直是莫名其妙，價格便宜又怎樣？藥局那麼多，為什麼我們又受氣？

如果你不在乎任何的服務品質，為了便宜幾塊錢而低聲下氣的話，
那就去買吧。"
Diana Yu,5,除了沒有賣小包試用寶寶尿布以外，其他都很好
陳建萍,3,全年無休！
Ben Lin,2,感覺老闆很兇，去了兩次，態度不是很親民，問問題好像在被教訓的感覺
Yu-Tsai Fan,1,店員親切但藥劑師態度很差
Ryan Weng,5,服務好，藥師專業，價格很公道
SHENG-HSUAN CHEN,5,服務態度佳。專業。便宜
Mick Chu,5,價格公道，服務親切
SS knick,5,讚啦
薛鈞聰,5,親切服務好
Andrew Wang,4,"(由 Google 提供翻譯) 這個地方是我在台灣藥房的第一次經歷。我幾乎不知道在美國買一種被認為是處方藥的方法既快又容易。無論如何，一些非常接近它的東西。當你在路上跑完東西時真的很方便。

(原始評論)
This place was my first experience in a Taiwanese pharmacy. Little did I know that it would be as quick and easy to buy what is …"
X Le Guide,5,"(由 Google 提供翻譯) 與客戶共享藥品知識的好藥劑師，患者可以自行選擇品牌，而不是自己選擇醫生處方。

(原始評論)
Nice pharmacist who shares pharmaceutical knowledge with clients which is better for patients to choose the brand other than doctor's prescription by themselves."
leilei wang,1,"(由 Google 提供翻譯) 很糟糕!

(原始評論)
很糟糕!"
Javier Chang,5,
Romaz Rau,5,
謝明翰,4,
邱小姐,4,
