author_name,rating,text
11戴瑜萱,5,24小時很方便，服務也好，但是她們摩斯企業播的歌都重複千篇一律，有點恐怖記得自備🎧😂
ting-yu shih,5,"飲料、漢堡都給該給的份量！服務的阿姨們、早上一個年輕女生人也很好態度也很好！很細心！廁所也很乾淨不會有臭味，空調也很舒服～有些摩斯都悶悶的！

之前去中山店 大杯紅茶甚至給不到500😂 態度也很差薯條給很誇張少～
這家很推！"
刺客教條,5,出餐快速，24小時營業深夜的好選擇
C Mickey.,3,"#0320
假日時段12點以前
用餐人潮眾多
座位擁擠"
小wei,1,沒有註明漢堡包裝袋的材質！耐熱程度？是否能直接碰觸剛煎好燙口的肉排？可能為了美觀，讓肉排直接碰觸漢堡包材！
勒亞,4,位在台電大樓捷運站2號出口對面。交通方便，內部寬敞。
賀.,5,24小時很棒 很晚的時候記得要坐靠近門口 裡面會整理
韓松佑,3,內用飲料為什麼要給外帶杯呢？既不環保喝起來口感也有差別
林肇寬,4,"環境整潔，服務親切，上餐快速，美味可口。
有高低兩個洗手台，大人小孩皆方便。"
楊逸文,4,"員工待人很親切，很熱心幫忙很方便。

簡直是完美的好地方！非常豐盛的餐點，美味的，完美的服務，推薦這個地方！
會再回來！"
chichi,2,"今天用手機訂餐到了還是等待一段時間
結果外帶後發現雞塊沒有給醬料包
醬料包是雞塊靈魂⋯⋯"
僰祤,1,"搭薯條雞塊只有給薯條
搭雞塊的給了不知道是啥的三個圓圓的
有夠雷的店家
不會再回購"
張瑀玹,1,今日晚上18:30於本店消費外帶，向店員點薑燒珍珠堡兩份，但由於負責點餐員工不熟悉電腦選餐，看似新進員工，之後還由在旁的同事協助點餐。買回家吃幾口後，發現是燒肉珍珠堡，但因宗教因素我不能夠吃牛肉。希望本店能夠好好進行員工訓練，尤其是負責點餐的員工，於本店消費多次，但經常有店員點錯或餐點給錯的失誤，一而再再而三的犯相同的錯誤，希望本店能改善這些問題，熟悉與用心負責點餐，給予客人更好的服務品質。
Eva Chen,5,店員服務態度良好、親切、客氣，昨天用餐店員看到一位身心障礙的阿姨，會主動的伸出援手幫忙，是一間友善的mos❤
蔡旻原,5,偶爾會來吃宵夜，人不會多到沒位置。餐點好吃。
Turbo Worker,5,24hrs夜貓筆電族好去處..
1楊,1,櫃檯先是結帳時說客人使用點餐機沒有成功、隨後又自說自話地點餐成功，結果喊了餐後面根本沒做，看我在等才去丟點餐單的地方挖出來我的點餐單據，之後又表示客人少帶點餐機列印出來的單子才會造成主餐問題，如果真的問題出在這裡那結帳時為何不告知然後直接改櫃檯結帳？點餐單被廚房扔掉這個也跟點餐機有關係！？ …
叢溫妮,5,用餐環境好，用餐的人 素質都很好，餐點讚😃😃😃
小優,4,"服務好
（忘記說要加青生菜，請服務人員補加）

餐點製作用心
（漢堡放入漢堡袋的角度正確）

用餐環境通風不好
（廚房在裡面，整個用餐空間油煙味很重）"
承翰楊,5,24h的空間，是個夜晚無處可去的中繼站
Wendy Su,1,用app點餐，依指定時間現場付款取餐，居然比現場點餐的慢。等待中不斷詢問店員居然也可以漏餐，傻眼。
黃步偉,4,走道有點小，桌椅太矮
林peru,5,今天遇到的櫃檯阿姨人好親切，單點漢堡還問我要不要一杯開水，覺得服務好周到！
丘如華,4,非常有歸屬感的連鎖店，是外在環境的條件與經營管理的配合
王良生,4,座位有限，只適合少數人聚會！
邱正茂,4,場地寬敞，衛生設備齊全，服務佳！
Max Huang,1,"非常糟糕，我是用熊貓外送訂餐的，
交代了需要的產品：胡椒、番茄醬，通通沒附上
玉米濃湯裡還有塑膠袋，十分危險
你們羅斯福路也太ㄎㄧㄤ了吧..."
Shanel Yeh,5,和風炸雞外酥內軟配上一點自帶的油花真的是摩絲經典之作，海洋珍珠堡也一直都是那麼好吃 讚
STUDIO Mars,5,有一個高個周先生服務特別好，講話輕聲細語，讓人感覺很好相處
Li Sophy,5,很高興早上6點多能順利用摩斯會員預先取餐(前一天同時間預約台大小福店，系統通知出現錯誤無法正常接單而被取消訂單)。服務員親切和善且迅速給我正確的餐點，很謝謝他們的幫忙。
Wei-Ting,3,店員服務態度很好。但是店內油煙味很重，頭髮會沾染油煙味，店內不適合內用、久坐
Luo Yao-Ming,4,地點適中，可來試試看
bellobellyfull,3,用餐時間人多，出餐速度偏慢。內用位子足夠，可以短時間休息或讀書。
羅守志,2,幫公司訂餐少了三個漢堡，兩樣配餐，希望在訂單確認上可以多多加強訓練（畢竟也不是第一次漏東西了）
陳柔安,5,只有中間大桌子有插座，平日2點後道可能沒插座可用
陳勇全,2,食物還可以，但是店內油煙味很重
Gimshim Chang,5,24小時很方便，空間寬敞！
CuZong Cu,4,"在同業中價格偏貴，主餐美味，但雞塊與沾醬不太美味。服務人員親切。

價格 🌟🌟
美味 🌟🌟🌟
服務 🌟🌟🌟🌟
環境 🌟🌟🌟"
鄭宇丞,4,點了無糖檸檬紅 來的卻是有糖的
jeo jane,4,很忙碌的一家店，不管何時來都幾乎客滿，但是送餐非常迅速的一家mos
megan chang,4,服務人員很親切，就是店內油煙味蠻重的
蔣彩鳳,3,東西很好吃，服務態度要加強
曾鈺涵,1,每次熊貓外送都沒有給雞塊的醬
廖規戒,5,"環境優良,收銀大姊人很好,東西好吃.但是...價位貴了些.可是很值得."
陳淑娥,5,摩斯漢堡的忠實顧客，產品價格太貴、又從來不打折扣、做活動。客戶流失到麥當勞漢堡去買。
大劉,1,動作真的有夠慢
陳怡秀,3,晚上吃東西方便
陳朝進,3,洗手間不是很乾淨，捲筒衛生紙很難抽出。
LaVida,1,訂了外送 都等了四十多分鐘了 才給我取消訂單? 浪費別人時間? 有夠爛
