author_name,rating,text
陳正峰,5,非常適合想學日文的人來此買書 這是非常專業的日文出版社
John Chiu,5,很棒的日文教課書店
YUNCHANG CHUNG,4,巷內不好找，非常的小到現場並沒有比較便宜，但可翻閱。還是非常推薦大新的日文教材，對於考日檢來說非常實用，但網路購買就可以了
Chang-Jinn Shen,4,久仰大新書局精心出版日文書籍出類拔萃，今天依谷歌地圖指引，首次參訪，果然驚艷琳瑯滿目的日語學習用書，順手瀏覽，發現日語辭典多種，內容各有特色，尤其附以新科技製作的電子書，讓執教師長解說易懂，初學者也能獲致最優效果。讚！！
Yu-Lin Lin,3,店裡擺放的書很少，而且都是其他實體書店就能買到的，所以不需要特別去逛
村上吃樹,5,老闆很好，雖然話多喜歡吹牛，但人真心很友好
江凱恩,1,電話不接，很好嘛
Erin K,5,工作人員非常親切專業、服務周到。
くなkuna,5,店員超熱情，很有人情味
TONY CHI,2,要考古題結果給我推薦到別的書～自己找比較好
林聖峰,5,英日語，語言學習，書本，練習本很齊全，很專業
Yes I Can,1,老字號的日文教科書出版社!
Hui Vi Vi,5,林老闆非常有意思。謝謝
PAPA KUO,5,很親切，很快就找到要買的書。
戴芬慈,5,親切的服務很優質的公司！
Neil Lin,5,買日文點讀筆的書
Eunice Chen,5,"(由 Google 提供翻譯) 台灣最好的圖書出版商之一

(原始評論)
One of the best book publishers in Taiwan"
Ngoc Bao,5,"(由 Google 提供翻譯) 我們在這裡需要的

(原始評論)
All we need in here"
賀大康,5,
Andraxus Lai,4,
liehting SHIH,4,
語荷,5,
PeiHua Jiang,4,
063862tryit,5,
林泠,5,
Joy Wu,5,
玟靜,4,
李鴻志,4,
Tina Kao,5,
Jyh-Jong Fu,5,
Joey Wu,5,
lee mr,3,
陳金水,2,
高志強,5,
cpupokemon,5,
妮妮,5,
李國鎮,4,
Luke鼠,5,
許光睿,5,
施宥潔,5,
賴婷婷,5,
