author_name,rating,text
Noëlle Carmina,3,"雖然是日本老闆+日本留學生店員經營，或許個人期望太高，但吃起來就像是尋常大學附近的小店，味道上非常普通毫無特色，價格也不算真的很平價。
拉麵湯頭很淡，麵條細又軟無咬勁，要不是店員詞不達意需要討翻譯救援的中文（結帳後發現金額有誤），會覺得是尋常的台式拉麵。醬油湯頭和豆乳湯頭都是些微有香氣但不明確，後者甚至被麻油蓋過。糖心蛋沒有入味就是沒全熟的白水煮蛋風格。
不清楚飯類水準如何，但拉麵表現是就算經過附近也不用前往品嚐的等級。 …"
簡依文,3,本來想吃拉麵...結果還是抵擋不住對咖哩的偏好點了..可是可樂餅不好吃😭但咖哩是我喜歡的濃郁日式咖哩！覺得好可惜有些中午限定的！我想下次會想吃日式炒麵
Helen Huang,5,"三訪了！
繼之前點的豚骨、豆漿，到醬油拉麵都十分滿意，完全不是台式拉麵。就份量而言，不加麵也吃得十分飽足。
醬油拉麵不若豚骨或豆漿拉麵濃郁，事實上三者各自擅場，均獨備風味。
自然，四訪是完全可以預料的！"
HUIHUI Cheng,5,"午餐限定的雙色飯
南部北上學子必點
甜甜的醬汁
相當具有南部口味風情"
黃光鏞,5,"突然想起來之前沒吃到日式炒麵，google一下就發現附近有這家店，炒麵有附湯，飲料第一杯免費，味道非常好，價格平價，感覺老闆跟店員是日本人。
比較有趣的是，圖片菜單上說炒麵不能加麵，但點單時店員說可以，還點了炸雞薯條，吃得蠻飽的。"
Jacob Chung,1,"不推
跟家人去吃晚餐，點了一碗海苔跟一碗溏心蛋拉麵，還有吃起來很詭異的可樂餅，吃完當天拉肚子，隔天整個身體很不舒服。"
HJ Lee,4,炒麵$99 口感偏甜，份量不大，附贈一碗甜甜的洋蔥湯，飲料可免費盛一次
Sean Hung,4,很特別的豆漿拉麵，店員中文似乎不太好，和她講話都沒反應，也不太回應，送餐之後想詢問，人就馬上跑掉了。飲料部分很雷，不建議加價續杯，汽水沒什麼氣，蘋果汁完全是水，紅茶也水水的。價位普通不算便宜，炸物也挺普通的。
mica Lin,5,日式炒麵有送味噌湯和飲料 味道很不錯 下次會試試拉麵
湯伯虎,3,拉麵不錯吃 可惜日式炒麵超鹹的。或許這就是道地吧
Leslie Mori,3,因為連假的關係，剛剛先打電話過來問中間是否有空班或整天營業嗎？確認完沒有休息，過來之後卻顯示打烊。若是不諳中文的工讀生，建議換適合接聽的人接電話，避免讓人白跑一趟。（電話中也有用不同營業的說法詢問）
林駿丞,5,加飯加麵無料!豚骨拉麵必吃!
PengWei Lin,5,"好吃😋不會太鹹適合台灣人！
晚上也有限定日式炒麵，味道很棒！"
謝宛蓁,4,"本想吃炒麵但只有晚上有QQ
點了豚骨拉麵，麵是細的比較偏軟，湯頭不錯，鹹度適中，有撈到蒜頭和洋蔥。
肉給得很大方XDD非常厚一塊不過有點乾。
店員廚師感覺都是日本人，歡迎光臨謝謝光臨都很有活力，內場應答也全是日文。很可愛ˊˇˋ"
Eliza Wang,5,很好吃，水準以上，但我個人喜歡麵再硬一些的口味。
林承恩,5,價位雖高，但因為是日本的服務精神，所以還算值得。拉麵不會太鹹，如果加了麵可以吃滿飽。
yuengcheng ciou,5,"聽說老闆是日本人 日本朋友來也說有日本的味道 可樂餅啊 拉麵啊都不錯 份量夠足
一進門店員都會用日文歡迎客人 非常親切
店裡有極品熊😍 超帥超壯的日本人
整個用餐過程心情超好
價格也很親民 推薦"
陳柏瑋,5,拉麵不錯吃，湯頭很好
裘裘,5,"中午限定豬肉丼$129（飯量正常）
鹹度中間偏淡
每一口飯都可以配到肉
肉片算厚又很嫩
豆芽菜辣辣的蠻好吃

燒肉咖哩飯量很多
咖哩是日本的鹹度！

整體很不錯👍🏻"
F C,5,"日本廚師
醬油魚介拉麵同醬油拉麵好好味
湯頭十分近似在日本的味道"
