author_name,rating,text
MAY TU,5,"週日上午有看診很加分
從櫃檯到醫師跟物理治療師都很親切, 醫師也給了非常專業跟貼心的建議
腳踝扭傷治療當天晚上就感覺舒緩很多"
PH,5,櫃檯、醫生跟治療師態度都很好也很親切，扭傷治療中。很難得週日也有開的復健科
王翰亭,5,坤成老師技術好好，細心溫柔。
Leroy,5,坤成老師徒手效果不錯，治療之餘也會教導回家也能做的復健運動，讓我知道藉由肌肉的力量去矯正錯誤的骨盆姿勢，蠻細心的
Yi-Zhen Zhang (Nishikino_IC),5,星期日早上看診的女醫生蠻有活力的，復健的位置也蠻準確的，至少落枕馬上得到舒緩
Rae Hsieh,5,因為腳扭到去復健，丁雅婷物理治療師很細心溫柔且專業的教我貼肌貼，大感謝：）
VANESSA L,5,"櫃檯醫生和治療師都無敵親切
女醫生人很好 溫柔"
Alex Lee,5,這間診所設備好，服務親切。昱翔老師的徒手治療太厲害了，非常細心又有效率，我每次有什麼痠痛扭傷讓他做一次就會好很多。大推！👍
Li sweet,1,因我膝蓋開刀復原狀況不是很好，因此選擇離家近的復健診所，今天是第2次做復健，但復健診所的復健師態度真的太差了，我又不是沒事找事做，告之上次有做哪些復健，那位長的高大又大隻的復健師回我，醫生沒寫，叫我自己去問醫生，當下覺的真的很差勁，我本來腳走路就不方便，已拿下二隻腳的護膝，還要拖著痛的腳再去等醫生回覆，真的很可悲...怎會有這種的！
洪琬婷,1,"比較大隻戴眼鏡的男的物理治療師（衣服沒繡名字）不知道在不耐煩什麼，態度很糟
要他換一下貼片的位置也在那兇"
Lynn,5,"在這邊復健加上徒手治療已經快一年，髖關節和脖子挫傷恢復情況良好好，醫生和物理治療師也會詳細說明在家要如何維持復健。

就是有時候會遇到態度超爛的客人，指著治療師的鼻子前前後後罵了一個多小時，說實在也是蠻有毅力的，這時候就會有點吵。沒辦法，奧客才不會管其他進行復健的人，只管他的情緒沒被照顧到，奧客的玻璃心有沒被修復。

但大部分的時間都很安靜的，比起耳朵被噪音打擾，櫃檯的姊姊、醫生和治療師要承受這種對待，才真的可憐。"
拉阿拉,1,"醫生很親切！
復健師不知道在趕什麼⋯態度也不好
已經反應電療沒有感覺，回應：妳一剛開始說有，後面習慣當然會沒有（但我看機器上數字寫0）
我再一次的說真的沒感覺，復健師回應的是一樣的答案⋯⋯"
CH-YU,5,醫生和櫃檯人員超級專業！非常推薦👍
Jennie Dai,1,恵森復健診所，醫生和櫃台小姐都很親切，下午去復健的人很少，個位數而已，只有兩位物理治療師⋯有一位是穿短褲的，我要説的是另一位去做了幾次尢其是拉腰時，態度相當差，不知道什麼時候我躺不好就要看他的臉色及很不清楚又差的口氣，病人也是想躺好Y，可是最近看他不耐煩的様子真的是夠了，而且他們診所病人已經夠少了，有這麼累嗎？一付不耐煩的樣子⋯⋯趕快想回他的座位，再說一次病人已經夠少了不要使臉色譲病人覺得不被尊重⋯⋯一位醫護人員需要是專業的態度，而不是在那𥚃混日子，要享受應該早一點回家去⋯ …
J.C.Richard Lyre,5,"醫師和物理治療師都很親切專業，器材也都很齊全，是很專業的復健科，我自己是手指骨裂來這邊做術後復健，大幅加快了我的復原速度。
看診一次可以復健六次，還有一些比較細的規定，一開始容易搞不清楚，有人因此跟櫃台起衝突，其實診間病人本來就多，所以自然規定也比較多，只要平心靜氣耐心詢問，就可以免除不必要的衝突與不快。
總之祝各位看診愉快，早日康復！"
Jerry Hsu,1,別被高評分騙了 這裡復健人員態度超級差...忘了下一項療程是什麼就被罵自己不會記得嗎？？？態度神扯
Tina Chang,3,"下午時段的櫃檯不像之前留言寫的那麼兇，反而態度親切；晚上櫃檯態度比較冷淡，但也還好。
倒是下午的治療師態度比較冷漠，上班行屍走肉？人多的時候態度會比較差...大部分時間都在滑手機跟聊天，還有動作粗魯⋯⋯"
李淑美（may）,5,我都星期一~星期五白天去做復健的，櫃台鄒小姐每次都笑臉迎人的，因我有重聽，她都會用手勢比，叮嚀我這是第幾次療程，揪感心的!!
莊淑芳,5,"雖然現場小忙 但櫃檯姐姐很親切
梁醫生細心又可愛
復健治療師每位也都很親切
(跟來諮詢的阿嬤講臺語時也很可愛)"
Yu Chen Fan,4,櫃台人員很親切，復健的人很多，復健師很忙，少了獨立專業的評估發揮，很可惜。
ya yaya,3,因為在住處附近所以去了兩個多月。拉腰時沒有摸髖部的位置，而且有時綁不太緊，導致治療沒什麼效。還有那個枕頭該換個大一點可以活動的。拉的時候真的不太舒服。另外歌不錯聽
Joanne Lu,5,醫師專業親切有耐心把我多年的滑液膜發炎治療好，很感謝梁醫師非常值得推薦
kenppi yeh,5,掛號櫃檯的態度和服務都很親切，應該是我看過診所最好的，謝謝也一直掛在嘴邊。以後還會再來，服務親切😀
Fireborne Horologe,1,醫生復健師態度都很好，就那個櫃檯是欠你錢逆，每次態度都那鳥樣，問個問題跩個王八五，下面這麼多人反映了，那些叫人將心比心的可以去跟櫃台說麻，衷心建議換掉那櫃台，其他都很好
李金發,5,櫃檯小姐態度很好耶～沒有像留言的那樣呀！！雖然講解的比較快 但很清楚明瞭 晚上比較忙 當然都能互相理解體諒嘍～
曾沛瑜,5,櫃檯小姐雖然忙的時候會少了點笑容，但相處起來親切可愛，大家都應該要互相體諒才對
