author_name,rating,text
吳庭,5,"蠻適合新手來運動的~
我是選一個月兩堂的方案
可以一個月任選兩天來無壓力~"
Fabiola Lai,5,鳳梨超棒的啊！推薦他的教練課！
Mandy,1,"欺騙消費者，599的體驗方案之後信用卡一直被持續扣款都不知道
最後才解說說是訂閱制😠😠😠😠😠
根本沒報名上課也沒有買任何課程就被當白癡一直被扣錢"
IA V,1,場地擁擠 上課人數拼命塞 好的老師走光光  小就要小而美 小而優 現在的品質連大型的GYM都比不上 更不用說設備了
Sunny,5,"這邊的團課超讚~每次都有爆汗的感覺~
環境又很棒~不會太吵雜~大家可以來這裡運動唷~"
林宛霖,5,"教練很專業，現場同仁也很親切。
有氧課程師資也很棒誒～～"
李宗翰,5,師資非常專業，可以很放心把身材跟健康交給教練！大推教練課程！
蘇冠毅,5,"師資親切專業，對於新生關心
小工作室裡強烈推薦~"
Lin Annie,5,在一館買課程三館都可以使用～每天都泡在這了
Si-ying Lee,5,"很喜歡這裡的空間，包含教練也是相當專業，如果怕自己動作有錯誤，教練都會幫忙調整，其他的課程內容也很豐富，每次跟朋友來都覺得收穫滿滿😊
點數制對喜歡跟親友一起的人來說超方便的～"
Li Chang,5,環境很舒適，教練專業又親切
張宜婕,5,教學內容豐富，教練都很親切
Anniece Liu,2,點數制的健身房，地點便捷，但師資換了又換，好幾個不錯的老師都離開了。整體環境也每況愈下，瑜珈墊狀況不佳卻未更新等。
Sunicer Chen,1,超級商業，賺錢至上。為求賺錢出爾反爾也在所不惜。千萬不要聽信他們的任何口頭承諾，基本上都只是騙你去的話術而已。
Olivia Hsu,5,教練很專業親切 價錢又實惠
Heui-Ting Lin,4,買點數不需要會員，覺得方便，不需要被綁約，變數還可以不限本人使用
Jiayun Liu,5,教練都很專業，每次運動完都開心又充滿能量～
呂偉碩,5,課程非常多元 教練專業 讚!
Luga Lee,5,超棒的小空間，教練人都非常nice！
PeiJie Chi,1,非常商業，沒有誠信⋯
Yunjou Cheng,5,環境很棒！老師又專業！
影印機出租儀美科技,5,場地不錯，值得推薦
Tiffany Jiang,5,教練好，空間乾淨明亮
Jonathan Chang,5,師資認真
Jason Huang,5,優秀專業的教練團隊！
Yuan-Fu Lou,4,"(由 Google 提供翻譯) 小而舒適。 TRX類很棒。

(原始評論)
Small and comfy. TRX classes are great."
英達三創,1,"(由 Google 提供翻譯) 位於一棟舊樓裡..這是一棟退休大樓..不夠專業！

(原始評論)
located in an old building.. it is a retirement building..  not professional enough!"
Chen Gideon,4,"(由 Google 提供翻譯) 安靜 幹擾少

(原始評論)
安靜 干擾少"
Tomatohouse Mcw,1,
Eddie Peng,5,
王嘉麟,4,
許郁晨,5,
徐少騫,5,
語荷,5,
Wendy Liang,4,
yu ching,4,
Joseph Lo,5,
Ching Chuang,5,
潘小偉,4,
t4,3,
范為森,5,
洪輝龍,1,
Lee Hank,5,
Dennis S,5,
Lee艾咪,1,
徐青,5,
Julia Chang,5,
Mengyao Chi,4,
林逸卉임일훼,5,
Emma Chung,4,
Zac C,5,
施又嘉,4,
毛毛,3,
Ellen Yang,5,
鄭閔耀,1,
Chun-ju Hsiao,5,
यालिं ग्वो,4,
