author_name,rating,text
SHAO HANG TU,5,現代人生活油煙熱量飲食不正常，工作壓力人際關係又複雜，能夠馬上跑跑步，洗澡回家放空放鬆。真是好
吳聊,1,"有夠懶的！
去過那麼多world gym店，這一間最爛儀器設備少的可憐，很多儀器都沒有，有氧器材卻一堆，但做有氧的人卻很少.......
比較常用的重訓儀器都是只有一台每次使用都要排隊會等到一肚子火。
置物櫃很擁擠，浴室空間也很小，那麼大的更衣室吹風機只有幾吧而已還沒座位可座需要站著使用吹風機......真的無言！
真是爛透了！"
許茗豪,5,Hank專員服務很好，貼心又專業，想運動的人歡迎找他了解諮詢
charles wu,3,交通最方便的點，出入口直接連通捷運站，有提供消毒酒精，人員親切設備充足。小缺點是更衣室設備應該有20年了很老舊，部分區域地板有漏水積水，運動區有的地方地面凹凸不平，常有會員長時間佔用器材滑手機休息，尖峰時段教練帶著會員在器材上組間休息超久兼聊天也很常見。
陳靜,1,舊業務離職，來轉個會籍，經理放新來的業務一個人處理，菜鳥弄不到還被老鳥罵，經理確說自己也不會～～～
華英雄,2,更衣室的置物櫃，改得很爛，為什麼不照原來的木櫃訂製？好好的一個大安店弄得跟站前鬼七八毛店一樣擁擠。
kiddy Liao,1,團課地板都不更新，更衣室櫃子變少，會員反應問題都只會推給總公司
Felix,1,"冬天外面寒流室內冷氣開超強是要冷死人嗎？  蒸氣室還壞掉不能用！ 洗澡時熱水開到底水還是溫的！健身器材壞掉多日未修！

非常不好的健身體驗！我想總公司打算放棄這間店了！"
Bryant,2,置物櫃更新後，吊衣服下緣超過底板這樣怎麼吊啊？更新之前都沒自己評估試過嗎？
Ruiyu Wu,1,器材超舊， 也很多都是十年前在美國會用的器材材， 這裡竟然有令人驚訝。應該要換了吧
楊哲成,3,請問有泡澡跟烤箱嗎？上次去沒看到，謝謝
silver chen,5,Hank 專員，服務很好👍解說非常詳細
吳柏毅,5,RuRu人很好，歡迎大家找她服務
YUCHENG Su,2,"為什麼有四個緯來日本台？
好幾個禮拜了
17、26、32、33都是。還我國家地理頻道"
cheng-cheng cheng,5,器材場地不是很大，但上團課的教室很大，帶團課的教練都很賣力
kurt ko,1,設施老舊，尤其廁所淋浴設備，一點感覺不出來身在台北市大安區。
Rex Chu,5,環境不錯，業務威妮親切且專業
蘇立欣,5,喜歡這裡有大班課程  不管是瑜珈還是有氧拳擊上到飽 很多元～想上什麼都可以上～～～ 運動完再去蒸汽烤箱一整天的疲勞都不見了 讚讚推推
張正宏,5,"運動請找新來的業務Best（貝斯特）,多給新人服務的機會,他的另一個外號叫阿宏,很有人情味哦～！"
Jerry Cheng,1,幾個月沒去才發現合約到期後還自動幫我續約。我開始覺的不合理是當業代開始說繳清前費用就會不停的滾，累積到某個額度總公司會發存證信函討債。意思就不繳就給你一直滾。今天繳了5000+後終於解開合約的圈套。
Su Marco,4,地點很方便，連接大安站；重訓器材數量還好，非最新但也不至於太舊。整體服務人員態度還算不錯，會務人員”火腿”服務不錯，算積極主動。
江亞恩,5,"運動找Ham （火腿葛格）
人又好又帥親切誠懇熱忱積極努力認真永不放棄
持續服務、無時無刻用心關心、認真介紹、細心解說
不是我在蓋
等你被火腿服務過再跟我說我有沒有說錯"
亞西亞撒逖,1,有一位醫學院背景的教練，練習時大多是幫忙喬姿勢，打個屁，甚至滑手機，連做身體組成分析檢測，都放在上課時間內，而且用LINE預約隔週上課時間，要等好幾天才得到回覆，甚至臨時變掛說要休假，一小時超過月費的課程覺得很不值，上了幾堂，現在已經暫停課程。
林崇沂,5,Hank專員，說明詳盡，服務周到
SU SU,1,"這間的world gym就在捷運站樓上，方便進出，客服人員大致都友善，電視的節目選項少，有些英語的節目沒辦法聽到聲音。毛巾清潔沒怪異的味道，櫥物櫃也算乾淨。只是鞋子可以穿進更衣室，如果盥洗前後要走過鞋子走進廁所或更衣室的重疊區域，來了幾次，還是覺得不太好⋯也許之後重新規劃或設置時，可以參考其他家world gym，把鞋子放在入口櫥櫃設計之類的。

節目的視聽問題依舊沒有解決，有些頻道只是雜音，英語節目Discovery跟TLC等根本沒辦法聽，CNN是少數清楚的。提出評論卻都沒處理，大概扣到一顆星也沒辦法了。"
Kelly Chang,5,優質專員 Hank 入會找他
O. S.Y.,4,健身房連通捷運站出口，旁邊也有ubike站，交通便利，是室內運動的好選擇，雖然設備不新，但大部分工作人員服務親切，尤其是業務員Ham(火腿)很熱心，每次有問題找他都能獲協助。
Albert chen,2,地點方便是唯一好處，但器材均老舊而且有氧器材間隔太密集，然後空調不知道是在熱什麼的，目前待過最熱的分店就是大安店
Weiling Lin,5,很感謝業務LEO，很有熱忱，有效率處理會員問題，推薦要加入的人找LEO！讚👍
李口罩,5,環境很好器材也很棒～想運動找火腿哥哥，運動找Ham就對了!
彭柏瑄,5,有很多種健身器材，冷氣也很涼，而且大安捷運站出來就到了，位置非常方便，業務員火腿很熱心幫忙解決問題，是非常棒也非常適合運動健身的健身房！
Baby G,1,毛巾櫃檯服務人員戴了口罩就變啞巴了是不是？連最基本的招呼都不會！不想做就快滾，省得我還要看你臉色！
蔡明文,5,交通方便，地點好，是台北市區 運動的好地方。
Charr Rytdog,4,"重訓之前要先做數學運算，因為每個人都把槓片亂堆在一起，你永遠找不到你要的磅數

Edit:有看到館內人員在整理，只能說有些會員太沒公德心了"
珈禾,5,運動找火腿，名字不但好記，也很可口喔！可以找火腿先生業務👍🏻👍🏻👍🏻👍🏻👍🏻
Buttershy,1,更衣間蠻老舊的，器材少，空間擠，落地窗下午很熱陽光很刺眼，沒有Spa池，烤箱很陽春。
Mia Wu,4,"健身設備超多，服務人員態度佳。
但早上運動結束，在更衣室總是看到一些年長的人在衣櫃間吃東西，或許是在補充能量，但是可以離開衣櫃間再食用嗎，才能保持環境的清潔～"
Siang Sun,5,器材充足，且鄰近捷運站，很方便
Maurice Yu,2,環境有點舊廁所始終有異味........
Jill Chen,4,"業務Ham極專業且熱情
教練Fred & Eddie上課專業且認真
但是環境清潔度需要再加強"
Yichieh Liao,2,瑜伽墊很髒，都用了好幾年了也不換，如果是當電腦也過5年折舊了，這是耗材不是資產好嗎
Joanne T Chang,3,"Soda Lin解說會籍及使用限制相當清楚且親切
地段方便，惟設備略顯陳舊
團課相當多元"
D Tony,3,"除了捷運共構、電動手扶梯，他一無所有…

設備對不起大安、空調對不起大安。"
黃偉仁,5,"市面上的健身俱樂部幾百家，器材、教練、場地大同小異，最讓人印象深刻的就是業務員的態度了！
誠心推薦大安店的“火腿”業務員，服務親切又勤快、總是迅速又即時的解決客戶面臨的問題~~值得信賴👍👍👍"
徐寶兒,5,"之前提過有去其他家WG參觀，近期陪同事來大安店參觀，經由之前專員推薦可以來找這裡的專員( 火腿 )
一開始聽到名字還擔心會不會很油😅
參觀後覺得他超親切的，又沒有一般推銷員的感覺，整個過程介紹很詳細，人又很幽默，不得不說真的很難得遇到這樣的銷售人員，還在考慮要不要運動的不妨來這邊聽聽建議👍"
Jenny Wang,3,"除了地點好外，比起其他的wg這間可以用破舊形容，和公立運動中心無異，很訝異市中心的不如天母。團體教室過小，平日白天時段就非常多人了。裡面的音響也不行
更新:還有瑜珈墊也很臭，人流大已經很破舊了也沒更換，希望官方改進。"
Kingyik Lo,5,火腿業務服務熱忱，很親切，工作態度良好！
賴萱,5,再努力運動一下，我就可以達到理想體重了，開心~
Tirian Chien,1,這台練小腿的器材已經反應海綿壞掉超過1-2年，不停反應仍然沒有處理，非常糟糕！
美惠張,5,專員RURU親切 推
Eric Lee,5,"交通太便利，就在捷運大安站
身體健康就一定需要運動
來這裡找    最帥  最熱情的  火腿哥
絕對有求必應
笑口常開"
