author_name,rating,text
黃怡瑄,1,"櫃台阿姨說 買滿200元 有附贈紙袋
結完帳 人就不拿出紙袋包裝
跑去忙別的

旁邊櫃台妹妹 直接結帳下一位人客

還問我 怎麼了

可以在狀況內嗎？"
Vicky Wu,4,小巧可愛的麵包店，鹽之花、瑪格麗特、布丁好吃
lengfang Wei,5,"一口剛剛好吃的麵包
最適合只有一口的人"
Ting-Wei Chang,1,"衛生不佳。員工處理對應不佳。
去買麵包目睹某位客人伸手拿較高處麵包，外套直接掃過許多下排麵包，重點是客人拿了上排麵包看了許久，外套就一直接觸著下排麵包。

因為店內沒設置任何防護，我就直接和店員告知(這時那位客人的外套還是一直污染其他麵包！)

傻眼的是店員的回覆，如下🙄️：
「因為今天師傅剛好只有一位，平常師傅會處理(尷尬笑)」
這邏輯在哪？？ …"
Daniel Ho,2,買超過二百元才可用悠遊卡或信用卡，不方便，不衛生。可惜
Kingbaby Chou,5,如果你是老饕，請記得買羅宋麵包和柴燒蜂蜜麵包，用料很實在，推！
Yu-An Kuo,5,貝果超級好吃，不論原味或藍莓起司，從麵皮的口感、香氣，到藍莓起司本身都很優秀，印象深刻。
Albert Huang,5,"溫馨，有趣，輕井澤風是進去的第一印象。
回家吃了，覺得滿精緻的。
以社區小規模麵包店來說，算挺突出挺棒的。"
ian zm,4,鹽之花麵包、瑪格麗特麵包和日式卡士達麵包都好吃，只是這樣的價錢相較於一般麵包店的麵包，尺寸偏小。
Yanen안은,4,麵包好吃😋，小姐親切，價格親民
Momser Wu,4,做的不錯，吃他的紅豆麵包和可頌有減糖和減油，算是比較健康，吐司有凱薩琳麵粉和石臼麵粉的很有趣
"Jenny, Hui-ju Yang",4,第一次買的是右上方的小吐司，口味特殊、口感柔軟。還蠻不錯的。
立珩周,5,麵包香氣撲鼻，食材新鮮多汁，別家店不容易見到的品項，選擇多樣
李嘟,3,試吃大方，但多款偏乾，服務還好，鹽之花好吃，貝果有咬勁，但香氣不足
Angela Han,3,"(更新)店員的處理態度很好，所以星星加回來！

原本覺得麵包雖然貴但還蠻好吃的，但昨天買了四入的餅乾組合，回家拆開發現和店員說的完全不同，根本只有兩種口味，而不是三種都有一種重複………今天早上又發現麵包上面黏了毛，感覺實在很差"
洪晟庭,5,非常喜歡它們的麵包，曾一餐吃了11個麵包
施智筌,5,外送服務做的好，乾淨又好吃
Marianne Pao,5,很喜歡蛋沙拉三明治，念念不忘。吐司口感讓人喜歡～海鹽捲也愛～除了能吃飽也覺得療癒
張元瀚,1,東西普通，沒排隊機制，對小孩子不友善，不會再光顧。
周白熊,5,真的很棒，法國麵包與鹽可頌大人小孩都喜歡
Ariel Huang,5,喜歡這樣的溫馨小店，店員態度親切，商品賣相可口且價格實惠，在門口就直接吃掉一個老婆餅，非常新鮮好吃，會想一再回訪的店。
Ya-Chu Tsai,5,"店面小巧溫馨，麵包也是小小的很可愛！

今天買了奶酥和可頌。
可頌從外表就很漂亮，咬下去一層一層又酥酥的口感覺得CP值很高，很多麵包店的可頌偏油偏軟，但元氣的可頌讓人想回購！
奶酥沒有死甜，很喜歡！滿滿的幸福感❤"
ajak47awp,5,麵包種類特別 香氣迷人
莎莎王（Cxa）,1,"其他的店員服務還行，但有一位年紀大的收銀，不確定是不是老闆娘，態度很差。有一次去消費，當然也是最後一次：有時候會放試吃的小切塊麵包供人試吃，那一次我朋友的姪女拿了試吃的一個吃吃看，那個店員馬上出來把其他都收起來，很像怕她試吃一樣，感覺真的超差。每次去也不是沒消費，麵包也不算平價，一次消費一兩百、兩三百雖然不是什麼大客戶，但換到這種態度，真的～哎⋯
此次之後我們就多走幾步，去小巴黎人買麵包，吃小巴黎人麵包至少感覺還對得起這個價格，或是去附近的百合麵包店，平價好吃～"
Yiling,5,貝果🥯好吃，很多口味好吃麵包；麵包較小，價格中上。
gen shu,5,好吃的麵包
顛倒狗娛樂IsGodStudio,4,"品質不錯 精緻小巧
好吃食材吃的到每顆用料
價錢不貴 都算合理價
而且時常有優惠活動
已經吃了兩三年了 雖然住永和
但只要有經過或是吃大水岡就會買"
Yang Enya,5,很常光顧的一間小麵包店，口味好吃、品質穩定良好，口感是偏鬆軟的，價格雖是中上但有符合期待！
youngway Yang,4,麵包蠻有特色的，喜歡甜的台式麵包值得嘗試
Johnny,4,不錯吃，優點是份量比一般的小一些，可以一次買比較多種類型也不會吃不完，不過以這份量來說，價位就偏貴了，另外麵包沒加蓋保護，看過小蟲在附近飛
香蕉,3,現在的麵包已經不是當初賣的麵包了 我能接受漲價但我不能接受你偷工減料 漲價我可以選擇不要購買 但偷工減料我是無法選擇
李依珍,4,"目前吃到的口味都不錯！
鹽麵包越咬越香，推薦"
Paul Juell,3,"看到Bagel 走進去, 但卻非常失望. 這裡的Bagel 跟國外的bagel 口感與扎實度實在無法相比. 如果無法達到原產國的水準, 至少要跟好丘的水準接近 (好丘也只能有75%相似)

如果只是外型相近, 建議改稱圓圈麵包或台式軟bagel, 以正視聽, 不要硬是用了不屬於它的名字."
ys c,4,空間比較小
夜亞,5,"價格偏中高價位，但很好吃。
吐司真的很好吃，很香、很軟，蠻推薦！"
Ting-Yu Lai,5,沒事就會來買一下，近期最愛的麵包店，每種口味都吃得到用心的食材和樸實的滋味。
Meg,4,試吃大方，麵包偏日式鬆軟。
中秋小姐,4,"焦糖餅乾菠蘿（26）很好吃，裡面的奶酥是濕潤型，小小的但是味道一絕！
羅頌（65）非常讓人驚艷 ，鹽味十足配上奶香味十足的麵包，真的好吃！
現場試吃很大方，幾乎都可試吃，且每個味道都不錯！！"
