author_name,rating,text
王博智,1,真的爛，阿婆只會推銷賣好賺的，根本不在乎你最需要的藥是什麼，一個藥局沒有普拿疼，你說扯不扯，更別說價格是其他間的兩倍(｡ì _ í｡)不會再去了！
Kirito Starburst,5,藥師人很好，我胃痛去買藥，他給我一杯水讓我當場吃藥，後來我坐在店內休息，藥師看我很不舒服又拿了兩顆藥給我，過了不久胃就好多了
Yes I Can,4,因為老阿婆藥師態度爛又喜歡碎碎念，所以扣一顆星。 但年輕男女藥師態度好，能溝通。有問題問年輕人就好了，老藥師退休就好了。
黃小量,5,年輕女藥師非常有耐性，且願意細心講解藥物的使用方式和效果，很棒！
維欣,1,服務態度很差，一般醫療用口罩一個賣到9塊...
詹硯彰,5,藥師解說詳盡，服務不錯
Chung-yueh Tsai,1,沒口罩了不能好好說嗎？
Meng,1,為了賺錢會隱藏病患真正需要的藥，而介紹藥商比較貴的藥品，透過專業人員與服務對象的資訊不對等來佔顧客便宜，去兩次就覺得好噁心。
林至寧（Lin Chih Ning）,5,年輕的女老闆（或店員？）非常熱心說明用藥方式，因為我太不舒服了，問現場有沒有紙杯可以買，想馬上找地方裝水吃藥，老闆聽了馬上就裝給我一杯溫水，真的很貼心！！！：）
Hung Cheng,1,想問有沒有比較便宜的藥，店員看到我拿手機出來查，說我有錢買手機沒錢買藥，還跟我扯年輕人的價值觀有問題，整體體驗非常糟糕。
wilson Chang,5,非常熱心專業細細詢問傷口建議用藥;藥師非常貼心;第一次遇到這樣仔細的藥局
Ben Wu,5,服務很熱心  老闆非常專業 也很貼心了解顧客的需求給予適合的建議  非常推薦!
Lance Chen,1,買個普拿疼也被老阿嬤酸，沒貨就沒貨幹嘛態度這麼差。
張鈞睿,5,"品項齊全，跑兩間連鎖藥局買不到的藥品在這裡找到了！
態度誠懇，藥品特性解說清楚，不能不推！"
蔡念澄,1,老婆婆帶傲氣的黑店，紗布貴別家50%
Brian C,5,服務很熱心！關心學生！藥品價格公道。
廖芳瑩,5,服務親切熱心 ！ 商品也有保障
Daisy Tai,2,價錢比其他藥局貴有點多
miffy chang,5,藥師非常仔細也非常專業
chi Angela chen,3,沒有口罩了
pu chang,5,藥師親切
nagi karu,5,在118巷守護同學的藥局
壞人,5,便宜還可訂藥
Zion Yang,5,親切的藥師
Herschel Wang,4,
Charles Hung,5,
Chester Xu,5,
許峻愷,4,
BlueJack Hsu,4,
Shawn Chang,5,
Vic Lin,5,
庭裕,1,
小賴,5,
yp wu,1,
Bill Lin,4,
