author_name,rating,text
Yanchi Chiou,1,"玉米濃湯超水，跟其他家完全不一樣⋯
服務又差！"
鍾威翔,1,"出餐速度十分的慢，單子亂七八糟。
以為生意太好所以慢，結果鍋貼送來是冷的！！"
z095822,1,"第二次吃到冷的鍋貼（在買之前還問了阿姨 是熱的？）
因為上次有買過一次 走兩分鐘的路程到公司，居然是冷的？今天也是冷的 蠻失望的"
陳婉玲,1,服務態度很差很差，之前打電話訂餐，訂完直接掛電話，連謝謝都沒有！下次不會再去了
Steven Hsieh,1,店員態度差 食物上菜慢 送上來的餐點還是冷的
熊熊熊,1,又慢又難吃，等了30分鐘做出來的鍋貼軟爛的跟水餃有得比。
汪瑾芸,1,"明明才點了8顆水餃卻等了35分鐘！
中午用餐時間人多也就算了，認命的等，但是排在我後面的人同樣也是點水餃，而且點15顆卻比我先拿到😤
我看著阿姨之後才下我的水餃，還跟我說之前幾鍋都太滿了？那個客人點的混合水餃就能先下，而且顆數比我多欸？然後跟我說鍋子不夠放我的8顆水餃，會不會太扯！
原本服務態度就很差了，是因為附近沒別家賣鍋貼才願意等，但是覺得被店家唬爛很誇張！"
蕭雅昕,1,酸辣湯料超少 鍋貼沒煎熟就上桌 醬料區果蠅好多 看了頭皮發麻
Joy Yang,1,"點了蔬食鍋貼，等了超過30分鐘。比我晚到的三批人都吃飽了，我還在等。
最後好不容易輪到我，阿姨直接把整盒掉地上，然後問我：沒關係吧？！

不想做生意就收店吧"
Pomelo Chen,1,我點外帶然後很多人所以在店外等，店員叫得很小聲根本聽不到（而且叫點單裝的盒數我要怎麼知道）去問他我們的餐還態度超差 我們還沒走就跟另一店員說她們自己都不來拿的 媽的是你們自己動線不好還怪我們 要不是沒有零顆星不然我早就打了 再也不會去(⁎⁍̴̛ᴗ⁍̴̛⁎)
LiYuan Lam,1,買鍋貼送蒼蠅：）服務人員態度有夠差的，給錢受氣的事不會再做了。
Hailey Liu,3,"酸辣湯餃好吃
可能擔心人太多，鍋貼大多煎起來放，幾乎每次吃的都是涼掉的 :("
帥翔,1,"接電話的阿姨好像聽不到電話的聲音
要用吼的點餐才聽得到"
X C,1,"出餐慢又搞錯還怪別人
都已經結完帳告知到底吃多少數量，眼睛有問題就去看病，還怪別人沒寫好，是在大聲什麼，果然不能再高了，要不是只能給1顆星誰要給啊！爛爆了"
趙御甫,1,服務態度極差，不規律送餐
Fabiola,2,看到負評那麼多有些驚訝，因為是附近的學生，之前去吃都覺得還好，但昨天外帶吃到半生不熟的水餃，加上之前親眼看著店員收完錢後，用還沾著麵粉的手，直接進去包水餃，非常倒胃口.後來想起幾乎每一次去付款的時候，店員幾乎都是用沾滿麵粉的手收錢，衛生真的很糟糕
吳佳穎,1,鍋貼好幾次沒熟
Yang Enya,1,真的是最爛分店，環境老舊髒亂，上餐時還因為太粗魯所以兩顆水餃直接灑在桌上，之後還停頓十幾秒再輕浮的反問我要不要？？以為我會說沒關係然後再夾回自己盤子裡嗎？你們桌子超髒耶！之後說會重煮兩顆，竟然花了20分鐘！！整個都吃完了，到一樓時看到兩顆水餃被放在桌上的角落看起來都冷了，覺得蠻傻眼的，後來就直接結帳離開。 …
Levis Lu,3,"雖然水餃本來就要等比較久，但是每次來不管有沒有客人，都等超級久！
常常都以為是不是忘記做我的單
鍋貼很常煎好放在那，都冷掉黏在一起
二樓雖有冷氣跟電視，但是環境覺得不夠乾淨，桌子有時後都沒擦，還會有小蟲一直飛"
HSU YING-TING,4,二樓座位多，上菜也滿快的
Shakesbeer,1,最爛店家，仗著地點好就無腦亂做，店員還會罵學生，垃圾
