author_name,rating,text
李毓秀,5,靜䀄的品茶談心好空間，名聞遐邇的聚會場所，1970 和 1980 年代的社會運動人士經常聚集於此，設有茶室與藝術展覽空間。
Cindy Chen,2,"路過驚訝因為荒蕪廢墟 感覺跟昔日無法比擬
看牆外貼才知四十年了 也難怪建築物老舊 明顯戶外庭園綠樹未經整理 但仍不失意境"
Ellen Chang,5,很悠閒的地方，茶館很大，服務人員有點不足，但很親切可愛，也可以自己帶茶葉，但需茶水費。
Lynn Ting,2,"蒜蓉蒸鱸魚$390

其實還有附一碗紅藜飯但沒吃所以沒有入鏡😅魚不會辣、底下還有一小片嫩豆腐，因為現蒸等15分鐘。媽媽點了山藥燉雞盅$390但湯很不熱😅我副餐的湯也是冷的！

品茶🍃單人$350-$400是很厲害的茶🍵茶點$80-$100，選擇很多喔！點餐店家招待的茶格外的超級無敵淡⋯不知道是故意的還是為了品茶

座位有一般的桌椅區或是榻榻米需拖鞋位子，整體來說餐點超級無敵普通⋯可能要來享受品茶才能感受這裡的魅力😅服務人員很明顯不夠⋯訓練也很不夠⋯服務不是很好

庭院有三顆紫藤樹喔、也可以等春天花季來看～

有服務費 可刷卡"
HuiChing,5,紫藤廬～靜靜座落於城市一隅，它是茶館也是台北市定古蹟，瀰漫著老時光的人文氣息。室內有花 有畫 窗邊透著煦陽光影，庭院有風 有樹 牆角爬著蔓藤垂蔭，入口處一泓池水 游著鮮活色艷的錦鯉。老同學自在坐著日式榻榻米，清雅茶香佐木質窗欞，吃飯、喫茶，聊工作、聊孩子、聊心理；泡茶、泡時間，漫談年輕歲月與記憶，慢聊到不知今夕是何夕，珍貴情誼與幸福感亦沿著和平東路延續。紫藤廬 是促膝談心、談古說今的好環境，期待每個寒暑再暢敘。
Jenny Chen,2,"快20年沒來了,路過來懷舊。茶葉選的不錯,很香;點心普通,餐還可以,不過還是喝茶重要。日式老屋,院子.環境,都漂亮,但~坐靠牆角的位子,2個人被跳蚤咬了一腿的疱,超癢啊,謝謝櫃台提供了藥膏,但希望快快改進,不然會影响了生意!"
Lu Lynn,3,下午去泡茶，每人低消要點一份茶葉或一杯茶。茶點每份80～100。
Lucia C,5,剛好來的時候有辦茶展，環境清幽，雅致靜逸，適合三兩好友一起喝茶
呂承翰,3,氣氛是不錯，但是吃的沒有到那個價格，適合偶接待客人去聚餐時候吃，不適合想到就去吃
Linus Lai,1,"到訪那天外面下雨，但我的傘是乾的 ，如坐前有個資深的服務生叫住我:傘有濕嗎? 沒有任何的禮貌並且用的是質問的口氣
茶具沒有做使用方式說明。後續加水后把水壺放在桌上就被同一位資深的服務生以不开心的语气直接指正使用方式不對。並且後續收茶具時一直再三確認是否還有該收的沒有，並告知我們他今天走很多趟了。總之服務態度很差，只想客人體諒但卻一點客氣及該有的禮貌都沒有"
Cao Băng Trinh Trần,5,一款茶三百元所有，很划算。客人可以自己來泡。空間很大。茶館在舊建築裡面，風格很日式，懷古。不錯。
0 0,5,"| 茶道 . 藝術 |

寂靜的空間中
與茶一起品嚐的點心、料理

各自富有藝術性的同時又不相互衝突
構成整體的一分子 彼此和諧共存

這天來 剛好遇上個展
喜愛日式禪風 覺得水墨扇面很美~"
吳成夫,5,對於茶的專注與堅持，是個還不錯的茶藝館，餐也還不錯， 只是規定有點多。 帶小孩去的話可以跟櫃台要一點魚飼料，去外面餵魚。
古永吉,5,餐點很好吃，價格也實在，環境優雅清淨，是文人雅士名人聊天或談論事情的好去處，店内服務人員很親切，廚房出的中餐很好吃有水準之上
Kira Hsu,5,很雅致的店，都市中的寧靜茶館，裡外都很有味道，吃飯喝茶皆宜
許義信,4,市立古蹟維護良好，餐飲不錯，可以靜心思慮之所。
楊栗子,5,"環境美氣氛佳，餐點好吃不貴、茶香甘醇
記得提前預約哦！"
TAR KO,4,餐廳氣氛不錯，餐點好吃。可惜當天點的蒸魚套餐很晚上菜，與會者就得等候多時。餐廳門前的新生南路三段黃線千萬別停車，會被警察拖吊，千萬注意。
Jas Y,3,紫藤廬是一個我個人一直非常喜歡也欣賞的茶館，很驚訝的我居然今天只能給三顆星。個人去過紫藤廬不下十餘次，今天難得朋友相約下午於紫藤廬交流品茶，料想應該也是一場愉悅的品茶之行，但卻被數個插曲破壞了興致。入座後有同行人尚未用餐，於是詢問店員這時段是否有供餐，店員說現在只有茶跟茶食。我說記得這邊有供餐，還是這時段沒有？一個看似比較年長資深的店員說這就只有茶跟茶食，轉身離開時還補一句：「這邊是茶館，不是餐館」，我當下跟朋友一行人聽到是蠻驚訝的，不需要這樣對客人講話吧。這時段不供餐也不需 …
王曉凱,5,"紫藤廬！位於106台北市大安區新生南路3段16巷1號= 本身為茶館！可是也附有套餐+服務態度良好+環境清幽～😇😇😇😇😇😇
給5顆星！！！"
Ellen Hsu,5,超有氣的喝茶吃飯好去處，經常帶外國友人光顧，在裡面慢慢吃飯，慢慢喝茶，太舒服了~
感恩哥,5,很棒很有故事的茶室，喜歡很茶的朋友這裡是一個很棒的所在呦！
陳瑜,2,"服務態度大開眼界，還敢收服務費？
今天點茶品，最後請店員幫忙補水再把最後茶葉泡掉，但被拒絕還補一句你們時間快到了，所以呢？

服務態度這麼爛你要不要待在廚房內場就好啦！短髮 有點年紀的阿姨就是你，不爽可以不要做服務業！"
Aston LAO,5,文藝氣息濃厚的茶藝館。茶香四溢，品茗賢智
許佩茹,4,"當天預約了午餐
餐食內容與價位合理
還幫我們預留了靠窗的位置
雖然位置沒有很寬敞
氛圍輕鬆自在卻不顯吵雜"
SUNNY,5,"很喜歡這裡~
老房子裡的昏黃的燈光，
搭配字畫和書籍，
有種愜意的感覺。

豬肋排蠻鹹的（真的很鹹）。
比較推薦喝茶~~"
俐Zhi,5,"能見到東方畢卡索的真跡，幸福的眼淚都要噴出來了！

謝謝您們！"
陳福建,5,紫藤廬位於新生南路三段16巷1號，始建於1920年，日據時代為日海軍職務宿舍，與高等學府教授宿舍為鄰，環境清雅寧靜。光復後，入住者關稅署長周德偉，喜與知識分子ˋ文人雅士暢談思想言論，文史哲人殷海光ˋ彭明敏都是座上賓，在戒嚴時期開啟了清談思辯之風。    民國70年成立全台第一家人文茶藝館，延續批判精神，吸引了藝文界ˋ異議人士前來聚會，演講ˋ發表創作。  紫藤廬是以文化風貌為由，指定為台北市市定古蹟。 …
Deenapb Robersonok,5,出門必戴口罩 就是要來這邊拜一拜
Syh Shiuan Ng,4,"桂花蜜（NTD.250）
適合夏天的冷飲搭配綠豆糕
配上優雅的環境
能讓人坐上一個下午"
Yating YU,5,"很美的地方，跟寶寶包場整個榻榻米區爬個過癮
茶很好喝，點心也好吃，店員還帶寶寶去餵魚，很開心"
Scallet Wu,5,難得身處古董之中茗茶談事，尤其是炎炎夏日，氣氛令人舒緩降溫不感覺炎熱了，尤其要來看看魚池內熱情的鯉魚羣，但由於沒有明顯招牌大門，路過者請留心入內門口
Kuo-Chang Ting,4,日式建築，老樹環繞，有日式榻榻米座位，環境非常清幽，適合朋友聚會喝茶吃簡餐聊天的地方
張志明,3,感覺還好，過年期間沒開放
Selena Estela,5,環境清幽，雅致靜逸，適合三兩好友一起喝茶
Lian Chiu,3,菜色美麗，但蔬菜味道無鹽無味，紅豆湯的紅豆偏硬。空間氛圍不錯，燈光整體偏暗。
法藏比丘的非思不可,5,空間非常多，茶品好壞則看個人。
LISA LIN,5,茶很好喝，印象深刻的是茶點，尤其是綠豆糕與楊桃果乾，十分好吃，難以忘懷。
