author_name,rating,text
鐵扇公主,5,"Joanne Lee Cake Design好吃精緻下午茶
就是被首圖的彩虹鬆餅電得七葷八素，
但看到幾乎桌桌必點，
就知道這鬆餅已經成為這兒的招牌啦~
五層色彩繽紛的圓形鬆餅堆疊，澆上一壺草莓乳酪淋醬，

採慢動作的速率緩緩滴下，看了真是讓人心癢難耐啊!!!!

頂端是草莓冰淇淋佐果醬，像是鬆餅戴了頂高高的帽子咧~

最後再放上可食用花瓣、薄荷葉、水果丁和彩色球，

這美麗吸睛的程度足以參加世界鬆餅選美
餐廳裝潢是很漂亮，超適合姊妹下午茶拍照"
怡佳陳,1,訂3千多元的蛋糕...然後得到了一個非常差勁而且沒有美感商品～實在糟透！破壞人家花錢的美意！早知如此就訂Lady M就好
Haeun,2,"好吧必需老實說
照片拍起來很美
但味道大眾一般
沒有太大驚奇感"
Adam,1,"訂製了一個跟家人懷孕驚喜的蛋糕
但最後收到只有圖完全沒有文字傻眼"
Wei Lee,4,不錯吃，食材新鮮
Angel An,5,牛肉芝麻葉帕尼尼～東西很好吃，氣氛不錯，店員也很親切，很適合好姐妹來聚餐或是約會～～下次還會想再來^^
Lily Liu,4,早午餐和甜點都很讚，可以不限時更好。
Sheryl Chen,5,我的囍餅禮盒就是由Joanne Lee訂製的，無論是包裝、擺設、客製小餅跟其他口味的囍餅，大受親友好評! 無論是長輩或是年輕族群，大家都讚不絕口，說很少吃到會停不下來的囍餅了~身為做了許多功課的新娘，聽到這樣的稱讚覺得之前花的時間跟心力都有價值了!  謝謝Joanne Lee的手工喜餅讓我的婚禮增添幸福的滋味!
cc cheng,5,翻糖蛋糕蛋糕真的很美，也不難吃！5吋其實10人吃都夠～
媛媛Yuaneattoday,4,"有著超~~~夢幻的彩虹鬆餅(不能當天到現場才點喔需要先預訂)&繽紛漸層乳酪，從分量跟價錢方面來說，都會建議鹹食跟甜食不要一起點，雖然本來是被甜點吸引來的，而且店名看起來只賣甜食，但鹹食卻意外表現很好
至於整家店環境、氣氛的部分都相當舒適，不論是多人聚餐或是一個人來相信都能享受美好午後時光喔 !"
may chang,4,"網路上的照片拍的非常漂亮～實體卻沒有想像中細緻，所以看到蛋糕本尊有點失望⋯加上上面插的裝飾棒棒糖太重，導致棒棒糖移位讓蛋糕明顯的空的一個洞⋯⋯⋯⋯
口感部分是紮實、新鮮的，但適合螞蟻人，我們總共八個人整個蛋糕分八片，八個人沒有人可以把一整片吃完，蛋糕口味偏甜甜甜⋯
這個蛋糕四吋加高、沒有內餡$2000 ，個人認為這個價錢適合在店內慶生食用，氣氛裝潢較適合。 …"
Vivienne Lin,5,蛋糕夢幻美❤️
Vienna Hsiao,1,結婚喜餅跟他們買，順便買了100隻棉花糖，當天去拿，服務人員態度很差，拿了國泰綜合醫院的手提袋裝棉花糖，感覺超級差，以後絕對不會再光顧了！
Wen Fa,1,購買經驗不好
Michelle Lee,4,悠閒片刻～👍
Hey U,5,"___30 mai 2016
我們兩個人點了兩份套餐分別是墨西哥雞肉餅 (套餐：A. +140元 有沙拉、飲料、無甜點，和 B. +200元有沙拉、飲料、有甜點兩種)、牛肉芝麻葉帕尼尼、單點一份芝麻葉馬茲瑞拉起司和一份牛肉起司漢堡。

附餐的沙拉比我想像的更好吃，醬汁非常入味、清爽，份量也比一般的附餐沙拉有誠意; 墨西哥餅個人非常喜歡，配料滿多，口味較帕尼尼和漢堡的鹹味淡，附上的三種醬分別是酪梨醬、莎莎醬和優酪醬，都滿搭的！

漢堡的牛肉肉質不錯，但是起司片本身有點鹹 …"
黄丽蓉,1,普通，難怪店關門
Liyan Chen,3,東西調味很咸不是很好吃，彩虹🌈鬆餅味道普通
Erica Chiou,1,請大家注意賬單明細，上週去吃，閒來沒事喵了一下明星才發現他們把某個早午餐價錢多key 300元。問了店員，才又重新打一張新的正確明細給我們。詢問原因卻都沒有好好解釋，只給了一張新的明細，重新算錢。感覺很差。東西一般般，雖然蛋糕外貌看似很威，但以後不會去了！
Chu Ching Huang,5,彩虹鬆餅超美又好吃，不會太甜，但是要前一天先預約，環境很美，網美style
Zeno Chang,4,甜點外觀吸睛中看也中吃，也有提供西式輕食。
YinMan S,3,很少女的一間店，彩虹鬆餅比想像中的好吃不甜膩
盧慧慈,5,"餐點美麗又好吃！
連早午餐也好吃！
而且店員人還很好😭😭😭"
Jane Hsieh,5,很享受 好吃 超喜歡
YING,4,好吃，氣氛很好、漢堡多汁
Monika Lin,5,環境舒服、東西好吃、服務親切！可麗露推推！
Travis Chen,5,店員很親切，甜點也很精緻。
茉莉,4,餐點很可愛
香,5,選擇多元化，甜點不錯
陳彥呈,4,蛋糕相當美
la liho,5,超愛蘋果派
Mysa Chen,5,美味的甜點店
ya jyun,4,不錯
韓英凱,4,氣氛與午茶CP不錯吃
Hsuan Chih,4,彩虹鬆餅好吃
張家瑋,4,甜點算優秀，環境很棒
Motto Lee,5,漢堡超級好吃
Aqua Chang,5,蛋糕精緻好吃
Erin Wang,5,"(由 Google 提供翻譯) 強烈推薦給那些正在尋找一些酷而特別的生日驚喜的人。定制的蛋糕非常精緻和花哨，立刻吸引了大家的眼球。糕點廚師樂於助人和耐心地回答所有問題並滿足您的所有需求。不要錯過台北的這顆寶石！

(原始評論)
Highly recommend for those who are looking for something cool and special for birthday surprise. The customized cake is very …"
李杰,3,"(由 Google 提供翻譯) 彩虹鬆餅需預訂，原本覺得這種噱頭型的色素鬆餅一定不好吃，但其實味道還行，只比普通鬆餅弱一點，口感是不錯的，冰淇淋給得大球味道濃鬱好吃，整體來說擺盤精緻，價位很高cp值低，適合有預算的姐妹來拍拍照。

(原始評論)
彩虹鬆餅需預訂，原本覺得這種噱頭型的色素鬆餅一定不好吃，但其實味道還行，只比普通鬆餅弱一點，口感是不錯的，冰淇淋給得大球味道濃郁好吃，整體來說擺盤精緻，價位很高cp值低，適合有預算的姐妹來拍拍照。"
IRIS Chen,5,"(由 Google 提供翻譯) 我被邀請參加一個獨家活動，品嚐他們的新早午餐菜單，我不得不說食物非常好;）

(原始評論)
I was invited to attend an exclusive event to taste their new brunch menu, and I had to say the food was incredibly good ;)"
우왕,3,"(由 Google 提供翻譯) 工作人員很友善，英語很好:)蛋糕是130-160元。這車是220元的水平。蛋糕很好吃。
桌很漂亮，狗在上面
GET 1爬行！如果您的訂單不超過150元，您將無法坐在餐桌旁。
你怎麼說？門冰淇淋。

(原始評論)
똔 쭌니 아꽙네요~ 직원이 친절하고 영어를 잘합니다 :) 케이크는 130~160위안. 차는 220위안 수준입니다. 케이크가 맛있습니다.
테이블이 예쁘고, 위에 개
게ㅁ1가 기어따녀욕! 150위안 이상 주문하지 않으면 테이블에 못앉아요.
여뀌말꼬 북문 아이스크림 어쩌구 까꿰로 꽈쎄요욧."
Jay,4,"(由 Google 提供翻譯) 食物，飲料和服務都很好而且價格合理。只有4星，因為我認為華夫餅乾缺乏，特別是價格。

(原始評論)
Food, drinks and service are good and reasonably priced. Only 4 stars because I think the waffle was lacking, especially for the price."
Yin Lao,5,"(由 Google 提供翻譯) 我希望朋友為生日點一塊蛋糕。我只想說蛋糕的質量令人印象深刻。如果您想要自定義，可能需要提前12天提前訂購。我們還提供各種糕點。

(原始評論)
I hope the friend order a cake for birthday. Suffice to say the quality of the cake was impressive. Best it you order in advance, perhaps 12 days in advance if you want customize it. We also serve different kinds of pastries."
Shelly,3,"(由 Google 提供翻譯) 一家以彩虹薄煎餅而聞名的咖啡館。
哈哈，不僅美味

(原始評論)
レインボーパンケーキが有名なカフェ。
見た目だけで味は美味しくなかった笑"
唐太宗,5,"(由 Google 提供翻譯) 很貼心細心的服務生，餐點非常用心，店裡氣氛舒適優美，沒有缺點可言。

(原始評論)
很貼心細心的服務生，餐點非常用心，店里氣氛舒適優美，沒有缺點可言。"
Mark Daniel (markgdot),5,"(由 Google 提供翻譯) 價格合理的蛋糕。好的氛圍

(原始評論)
Reasonably priced cakes. Nice ambiance"
Clarence Wilson,5,"(由 Google 提供翻譯) 氣氛非常輕鬆，服務熱情，甜點非常好。

(原始評論)
L'atmosphère est très relaxante, le service est accueillant et le dessert est excellent."
魏宏儒,5,"(由 Google 提供翻譯) 超美的蛋糕，很用心

(原始評論)
超美的蛋糕，很用心"
Nova Liao,5,"(由 Google 提供翻譯) 美麗的杯子蛋糕！

(原始評論)
Beautiful Cup cakes!"
Joycewsk@gmail.com吳宣君,5,
nara Lan,3,
Holly,5,
Kevin Hsia,4,
余啟正Nick,5,
陳欽鴻,5,
Dave Chen,5,
潘敬蓉,5,
Joanne Lee,5,
陳柔雯,5,
賴奐臻,2,
a yy,3,
Chih-Tsen Liu,5,
菲妮克斯,5,
Yuju Chen,5,
Chui Jia Farn,4,
Din Din,5,
SuperWay Su,4,
gingin Fan,5,
Simon Lee,3,
江志豪,5,
普拉斯,1,
賴口卡,5,
amy eric,3,
張庭瑜,4,
YuShan,4,
艾莉安娜Eliana,2,
Kelly Lee,3,
大大,4,
謝佩芳,3,
Gina Liu,5,
蔡侑霖,5,
Juwe Chen,5,
