author_name,rating,text
jurlin hung,4,"這是一家不起眼的巷弄小店
無意間發現的驚喜呢
除了價格平實外
重點是
店家對食材的用心
並非現在許多連鎖豆漿店只為賺錢不顧品質的亂加料所能比擬的
豆漿...不是用粉泡的
吃得出黃豆的清香
米漿...有著花生與米熬煮後的濃厚香氣口感
燒餅包子油條...沒有加那些奇奇怪怪的東西
吃的出單純的麵粉香與內餡的鮮美
喜歡吃酥一點的
記得事先跟店家說一聲
店家會給您您想要的口感
看到很多人說店家的態度不好
試問
當您在忙的焦頭爛額之時
一邊要幫客人備料出餐
一邊還要隨時注意爐火上的食物時 …"
NEorTiyc,4,飲料沒特別提會是熱的，要注意。水煎包相當便宜，其他品項也不貴
陳小維,4,"傳統早餐店,蛋餅皮是店家自己做的,非一般市售成品."
Sylvia Shih,4,"蘿蔔糕有一些火腿丁，煎的很剛好很美味。
生煎包以$10來說很大顆，粉紅色的肉鮮甜。
蛋餅皮吃起來粉粉的我不愛。
冰米漿好喝順口。
燒餅偏厚，飯糰的酸菜好吃但有時候太鹹。
蔥蛋很容易過鹹。
饅頭好吃紮實，不是很多空氣很空虛那種。"
Kuyu liou,5,物美價廉，幾位媽媽美女的早餐店，好吃大碗。讚
黃玉清,5,這家店應該是30幾年了吧！
邱垂中,4,很棒.便宜又合口味.一直是吃鹹豆漿20.燒餅葱蛋26.水煎包一個10元.
edith ying,3,"普通...蛋餅很粉軟塌塌，只有燒餅夾蛋免強可以
豆漿沒有焦香味不習慣"
Tommy,4,"生煎包好像是老麵的口感
內餡反而像小籠包會有的樣子
蛋餅整個很酥
完全就是簡單的麵香蛋香蔥香
豆漿香濃沒有焦味
而且價格實在
這種低調小店需要被看到啊"
Sam Huang,5,飯糰，燒餅夾蛋，水煎包都很好吃
黑熊,5,"大推飯糰+蛋
分量十足 且好吃
當中的油條是重複油炸過的
極推!"
Hyung-Yuan Lin,5,豆漿好喝，濃醇
R.J. Hwang,4,價錢合理，餐點(燒餅跟水煎包)口感乾爽(不會濕搭搭），豆漿也是合格，是值得一試的中式早餐。
Hunglin Cheng,5,飯糰很有份量，水煎包很好吃，早上上學時人潮會多一點。
Yi Chen,5,傳統早餐店，生意很好，店內無座位，店外擺了3張桌子，大多是外帶居多，生煎包一顆10元，料多實在，外皮發的好，也是店內人氣商品，但我最愛的還是蛋餅，現點現煎，自己桿的皮跟外面那些中央工廠出來的就是不一樣，皮酥還帶層次，讓人一口接著一口吃。飯糰也滿多人買的，但吃了一次後覺得普普。
劉芯瑀,5,蘿蔔糕、紫米飯糰、饅頭都好好吃🤭
Sid Lin,4,蛋餅是手工餅皮，吃起來厚實，煎起來非常酥脆好吃；油條每日早上現炸，新鮮看得到！
James Yi,4,價格實惠、口味頗佳，水煎包讓人驚艷
Scott Hsu,3,燒餅好吃，其它普通
王仲魯,4,服務不错，你要求一些問題，他們都OK！
James Chiang,5,水煎包、冰豆漿，CP值超高！
羅根,4,好吃，價格親民，速度快，個人推水煎包。
Lee Flora,5,"喜歡現磨現磨的豆漿、米漿、香濃好喝
飯糰的老油條、瘦肉生煎包、手工餅皮蛋餅
運氣好還有蔥燒餅！
便宜好吃的老店💪"
高凱若,5,從小吃到大的老味道
幕容煙雨,5,我推豆漿和肉包和飯團豆漿夠味  肉包軟味道足  飯團大顆 菜脯好 裡面的油條酥脆
Cheng Jhang,4,"生煎包 還算普通
蘿蔔糕 好吃 有一些油蔥味 很香
豆漿 普通 偏不甜.微糖"
Wali Evans,5,😎買鹹豆漿配咖啡☕👍🏿
bob ming,5,"汽車可臨停、機車更方便。
豆漿濃，生煎包小但好吃。
特別推薦飯糰，台北第二好吃。"
吳吳忠義,4,價廉·口卑佳!唯~地處十字巷口人·車擁擠。
柯婉媚,5,蛋餅好吃
江易錚,4,水煎包雖然小顆不過好吃，豆漿也很香濃。
陳秀春,4,外帶好 豆香 飯糰 煎包 燒餅 油條都很讚
莊日月中心,3,冰豆漿濃醇好喝，水煎包10元清淡普通。油條看起來不錯
謝秉芳,5,老闆娘很有親和力，價格很平價，東西好吃
林聖峯,2,食物ok，態度奇差無比。
陳彥勛,4,"燒餅加蛋不錯 價格也合理
冰豆漿比較不合個人胃口"
李大仁,4,種類齊全 價格公道 建議買回家吃座位不多
Johnson Huang,5,這家在台北市真可謂經典等級 價錢便宜 東西又都很好吃 尤其是甜鹹酥餅 真的太棒了
謝首濬,3,食材實在
翁意玲,5,東西好吃，又便宜！
Laura Pan,4,飯糰內餡油條酥脆好吃，清漿燒餅夾蛋也不錯但是天冷東西冷掉可惜了。
張松年,5,著家好吃尤其他的水煎包還有豆漿米漿
葛讚慶,3,蘿蔔糕加蛋，好吃，水煎包，豆漿便宜
Monica Lin,5,動作很快，平價實惠
曾士娟,3,吃了2、３十年經濟實惠的好臨局
阮彥銘,5,蛋餅煎的酥脆好香，飯糰也很好吃
中華女皇,5,我有投資
jv9966,5,真的超讚
陳定承,5,水煎包一顆10元 好吃肉餡多，推廣
賴台幸,5,鹹豆漿超好喝，有加油條更多層次的口感
鍾韻雷,5,價錢可以，好吃。
菜阿英,4,豆漿米漿都很好喝，可惜的是我以為蛋餅皮是店家自己用的麵糊蛋餅，但是我去買到的蛋餅是一般蛋餅皮的蛋餅…有點兒小失望。
jeff jeng,5,"好吃,又不貴"
Chi-Ting Lin,5,燒餅夾蛋是招牌！燒餅咬起來甜甜的，極品！有時候八點半就會賣光！飯糰和水煎包也都好吃，豆漿更是便宜好喝！這間可謂是台北市的隱藏版美味小吃了！
陳夢芝,4,生煎包還蠻好吃的
陳暐帆,5,台北大安區佛心價的傳統早餐店
Sammi Hung,5,便宜又好吃 燒餅油條超讚！豆漿超濃又便宜一大包（兩大杯多）20元。可惜九點多去就賣完了
chou ko,5,不輸名店的在地傳統早餐
