author_name,rating,text
VC,5,"4.5顆🌟
今天ubereat一次點了三個品項，整體是不甜的路線👏🏼喜歡！

蛋塔的內餡很足，也不會很甜👍🏼
6葉裝蒜包中間的鮮奶油味道不錯，整體吃起來不會很油👍🏼
菠蘿油的菠蘿很好吃不甜，可惜奶油不夠鹹所以有點膩

Ps.希望ubereat上也可以有組合優惠😆"
Tommy,4,"六葉裝蒜包
巴西里吃起來新鮮濃郁
配搭上乳酪麵包有一點法式麵包的酥脆
可是整體又不是那麼硬
麵包濕潤度夠有一點脆Ｑ
個人覺得這一款比好市多的好吃
法式鮪魚堡
鮪魚跟乳酪混在一起調成類似法式白醬的味道
外頭焗烤帶點甜味跟起司香
麵包則是維持一貫的調性
蛋塔則類似德式布丁中規中矩
芋頭泡芙芋頭餡感覺有混上鮮奶油
尾韻的芋頭味蠻純的
閃電泡芙內餡香草順口不甜膩
波蘿蛋黃酥裡頭有麻糬這一款還好
個人為愛還是彰化的蛋黃酥
這裡就不說是哪家啦
吐司比起貴鬆鬆又吃不懂的生吐司來說
這裡的水吐司平易近人
吐司保水度很高單吃也蠻有味道的
整體東西都蠻有水準的
最愛六葉裝蒜包
第二名閃電泡芙
其他自己斟酌"
0ㄣ,4,牛奶菠蘿$30、QQ球$25、蛋撻$35推，但六葉裝蒜包$50比較還好，現吃的時候是冷的沒有很驚艷，奶油有點膩口，麵包偏硬！
huang kate,3,有甜有鹹、古早味的、韓國爆紅的、法國風的，幾個年輕的師傅通通都有在做。閃電泡芙的香草風味卡士達點餐後填料，限量新鮮當然是王道。街口付、Line pay任君選，唯有飲料請往隔壁走。
YiChen Chen,4,2021/03/01，下午到訪，其實買過幾次了，今天才發現忘了評價，菠蘿不錯，口感我喜歡，味道也不錯，但比較推牛奶菠蘿，冰火的價格使得cp值下降不少
Y C,5,現烤出爐皮酥內軟嫩，好吃喔
丁紅蓮,2,"六蒜包
拿到的時候，已經有點涼掉了，裡面應該只是美奶滋吧！滿失望的，不會回購"
Pitt Lin,2,記得剛開幕的時候有買過蛋塔還有六月裝蒜包，因為好吃，而再回去買兩三次，但是前兩天去買之後回來吃，感覺整個味道都變調了，沒有那麼真材實料。
Tom,5,剛出爐的裝蒜包很神，但不能太常吃會變太胖
Zhen,1,"看到老鼠在奔跑...
我手上提剛買好的麵包...
嗯..."
