author_name,rating,text
Angel Lee,1,去年的故事 ！感覺員警都在放假 只有大組長一直叮嚀 ！不要浪費時間！市民的我真的不懂為何？？因為公務人員他們又沒差！台灣警察的效率水準 就是這樣！還可以講很多髒話 然後自由飆車在台北市！加油吧！
旅人衡千與,4,"今天跟警察簽了一份保單......

$300元,9/1擴大執法,穿越馬路不可以只參考紅綠燈,車子靜止,行人就可過馬路。
錯錯錯！就算你當下的那個路口,全世界車都沒動,有看到小綠人,才能走喔！至於為什麼是紅單我說成保單,看看新聞最近交通事故的報導...9/1擴大執法,真的是保障你我的安全！
請大家幫忙轉發,別讓荷包縮水了！"
Chang Tony,4,大安區的區域狀況比較複雜，以現有的警力配置略有不足，希望能增派警力以緩解複雜的勤務壓力。
黃聖堯,1,"停在住宿地點搬家中，未及10分就被開違停，當時道路空曠無阻礙交通疑慮
工人上班可以停，師生搬家不能停
你們這些沒人性的國家機器就不要哪天自己搬家的時候出事"
aa po,1,102年，大安分局某人，你身為公務人員，收文辦公文是你該做的，天經地義，推什麼？你有領薪水不是嗎？
YO N,3,"當陌生人跟你借錢 叫他來這裡
when  a stranger ask you to lend some money, take them to here."
Allen chen,2,"大安區8號立委到底是誰?!每天宣傳車上班時間一直廣播吵死了!
警察可以幫忙管一下嗎? 絕對不投這個人!!"
程國美,5,大安大安服務好! 英子民用腦得勝!
Susanna Huang,5,陳凝觀被反鎖在金華街的老宅裡
蔡大人,4,現任分局長很用心經營內外煥然一新夜間燈光照明開啟更顯大安至和
CHEN Cooper,1,大安分局喔，真的還是算了
Estela Hsu,1,公務人員，特地來取遺失物，電話上沒講清楚害人白跑一趟（直接來拿是叫人來浪費時間的喔），來的人只會支支吾吾叫人再跑一趟，要人平日請假來找承辦人拿，超過五點還要打電話先預約，每次問都不一樣的回答………爛爆了。
潘尼懷斯,5,排骨飯好吃嘻嘻嘻
barachi Huang,5,"一個女生在綠燈時過馬路，
分局長用大聲公說：「小姐，你已經觸犯公共危險罪。」
好妙啊這一切!!!"
Gananish,5,盤查路人身份認真嚴謹，遇有學生路邊等朋友就忍不住六個人民保姆一起簇擁上去團團包圍帶回分局關心，我覺得好不溫馨！
Emilien hsu,5,"真是小孩的好榜樣，人民的好保母
其實也不能怪你們啦，大家都是糊口飯吃
良心不安也只能咬牙做下去，加油啊！"
WU William,5,就警察局，撿到東西記得送到這邊！
周欣儒,5,燈火通明讓晚歸的人可以安心
chun-jui lai,5,員警面帶笑容熱心助人。
Amoeba,5,警察叔叔，就是這個人
Hank John,5,車道口的警察很親切
清風血雨,1,環境老舊
Zen Liao,4,警察親切笑容滿面
林天耀,5,天鷹幫
the Sw Eden Roadruncom,5,"(由 Google 提供翻譯) 我路過這裡時剛剛看到警察。因為當我來這里四天時，我什至沒有在一個地方看到警察。

(原始評論)
พึ่งมาเห็นตำรวจก็ตอนที่เดินผ่านที่นี่แหละ เพราะตอนที่มาที่นี่ 4 วัน ไม่เห็นตำรวจตามที่ต่าง ๆ แม้แต่ที่เดียว"
420 CHK,1,"(由 Google 提供翻譯) SOP踢皮球能不管就不管

(原始評論)
SOP踢皮球能不管就不管"
陳威禎大安區民輝里長,5,"(由 Google 提供翻譯) 人民保母

(原始評論)
人民保母"
yen peter (yanchsal),4,"(由 Google 提供翻譯) 大警察局

(原始評論)
大警察局"
影印機出租儀美科技,5,
Xuan,1,
Angela Wong,2,
Chio Lem,5,
chou anson,1,
Cy C,1,
賴文安,5,
Lipa O,1,
吳冠昱,5,
泰志陳,1,
常舜嶂,5,
周米雪,5,
hota,5,
Frank Chen,5,
tony lee,4,
Peter Wang,5,
Ieo Chu,4,
Eins berühren Alcatel,1,
阿志,1,
wei ing黃,1,
Chien-Yuen Chen,1,
Miki Maggie,3,
陳瑞屘,1,
語荷,5,
