author_name,rating,text
remielbox,1,兇 好怕喔 一進來就問老闆在哪 老闆回家了欸 不好意思喔 真的有夠兇 我腳都在發抖了 外面一台違規不開單 進來兇這些喝酒的人內 欺善怕惡
Kala Yu,1,"我實在是很累!
同一件事情故意一直要報案人重複"
玉部珊,1,"分別兩次到警局
第一次是詢問行車糾紛的解決辦法，警察們都很耐心解釋，也說下次要調和這邊場地都是可以借的！
第二次準備要去做調解，才一進門就被一位年輕警察攔在門口，告知狀況後他說：我們這邊都是辦公室沒辦法借場地，要不就去隔壁的偵查隊或隨便找間便利商店就行了，我們也沒法當見證人。
就被請出去了.........？？？？

車禍前來做筆錄的就是本分局的警員，也不是隨便找一間警局進去的，雖然第二次去的時候，第一次建議我們可以前來做調解的警察們都不在，但還是覺得🙂處理方式不是很妥。"
kai ke,5,交通方便，建築宏偉。
dreamer larteecoco,5,借廁所同仁非常客氣，服務民眾也熱心真的嘉許
Yli S,1,機車格嚴重不足還一直越來越少  只會一直開機車罰單懲罰沒機車位的上班族  路邊紅線違停也都沒在管  好意思拿納稅人的薪水嗎
張嘉云,1,"身為警察若不想幫忙沒有關係，但不用對民眾說謊，2020/03/08有件物品放在警局附近，忘記拿取，因東西貴重所以打電話到警局請求幫助，但說到最後竟然說；我人在外面執勤不方便，警察先生我打的是02開頭的市話，難道您帶著市話在外面執勤嗎？東西不見或您不想幫忙都沒關係，但無須說這樣的話！

撥出電話時間為：當日的14:39，通話時間三分鐘。"
Cherry Chen,4,晚上去領遺失物，結果是一男一女的年輕員警在值班，很有禮貌一直叫我做坐一下，叫了有7、8次，害我都不好意思不坐....
駱嵩文,1,提告與撤告的態度，嘖嘖.........
程國美,3,新生重生。無論南北。終會相見。不需步行。飛天。
廖方柔,1,今天在仁愛路+建國南路遇到一位交通警察實在是惡劣到極致xxx!  我們只是停車(不到1分鐘。）等小朋友上車，然後有一位交通警察，馬上停下警察車⋯指著我們破口大罵～連我們連番道歉，他也不接受，把小朋友嚇得半死～我只想說：這應該是新生南路警察派出所的交通警察吧，你們交通警察有需要這麼凶悍、這麼致人於死地的飆罵嗎？停車讓小朋友上車，我相信時間只有幾秒鐘，但是你們的警察～為什麼會這樣子呢？難怪現在當警察都沒有好下場。
唐安慶,5,來辦理股票遺失，承辦警員陳瀅伊，也太不真實了，年輕又漂亮，十分親切，一點都不像警察，像是模特兒。
Siou Liou,1,"我合法申請巡邏箱後2個禮拜，家門口的巡邏單就被拆掉了。
1.拆除沒告訴我，申請巡邏箱的當事人
2.員警到46號巡邏箱放置處簽完名後直接離開，從此沒再到我家門口巡邏
☆我打電話去派出所詢問為何可以拆除給我理由是：46號已有設置故合併
3.因為合併巡邏箱後故我家門口就不需要來巡邏了？"
恩昆,1,違停不開單，機車被逼到快車道再來開機車單，還一直說我不接受你的講法
查哥,1,"這派出所男警帥,女警正，太不公平了！"
程冠豪,1,拿iphone x的員警服務很周到
張智銘,5,服務好……
Zheng富,1,內有將軍
Dejavu Lee,5,溫馨
陳滿雄,5,反應快•誤差不大!
黃志騏,1,
