author_name,rating,text
Wei Wosumi,1,"陳禹璇 警員刻意刁難外送員以及計程車司機， 用手機接單就開罰 完全沒有同理心
像她這種警察根本沒有在幫助社會
只是在刁難老百姓
警察的業績不應該由外送員來承擔
永和一堆違法的三寶 每一個警察都裝作沒看見 ，一堆違停都不處理 警察自己不想等紅燈 閃個燈就過去這種鳥事一大堆
開單是妳的工作 但用手機接單也是我們的工作， 沒有必要刁難老百姓
非常失敗"
Wu Steven,1,選擇性處理，都開沒意見，但是太明顯了，晚上10：30到我家門口開單；早上7點送小朋友上學看到了，只開我家門口的紅單，旁邊3公尺近防火巷的都沒開，真的太辛苦了，那麼晚出來眼睛又不好，早上去派出所，我怎麼知道其他車子沒開單，我只能說心裏想，一個晚上的時間，方圓10公尺快20台紅線停車，都開走了，說的通嗎？
Alan Lin,1,派出所附近到處是違停，警察進進出出卻假裝沒看到，反應還說這不是他們轄區
高玉柔,1,顏值決定波麗士大人的態度^_^
快樂,4,櫃檯女員警服務態度親切和順 我給讚！
鮑柏元,1,真的不懂這家派出所的警察時間觀念是有沒有問題 說三天的東西一個禮拜過去都沒有執行
chocolate verylove,1,109/11/09早上06:01遇到一位騎摩托車的警察逼車不禮讓 過路口不左右看 直接騎出去 駕照怎麼考到的？
陳善羽,5,打電話詢問警察問題，電話溝通很有耐心，態度很親切，棒！
蔡孟庭,5,警察哥哥很有耐心！電話溝通口氣很溫柔！
Sloth Kung,1,就已經在沒車位了還在那邊開 又沒超出紅線 擾民喔
台啤,3,阿姨的飯沒有很好吃
王旺,1,杯水有點味道
陸玥臻,1,錢包不見要報案遺失，卻說他們是中正橋派出所（原派出所改建中），這裡不是他們轄區，叫我手機拿出來搜尋秀朗派出所去那邊報案，說如果要調閱監視器也要秀朗派出所才行，但我當下只是要報遺失，本來疑惑報案也要分轄區，覺得很奇怪，明明我人都在派出所，卻叫我去比較遠的秀朗派出所報案，後來才知道是中正橋派出所員警不想受理，更生氣的是要請中正橋派出所員警協助調閱內部監視器（剛好那條路上只有派出所外面牆柱上有對外馬路監視器）卻說需要分局長同意，旁邊警員還一直說不行、沒辦法，我也詢問是否有其他申請管 …
WEI-FAN CHI,1,"1/18 am02:55報警，
請警察來看一下隔壁工地半夜還在施工擾民！
畢竟這鬼時間，無法投訴環保局。
我們這就是中正橋分局管轄範圍！

03:16分警察鬼影一個也沒看到！
就一台車開過去！！！ 也沒下車查看。

如果是家暴，大概人都被打死了吧！

這不是什麼大事
但你們處理態度看得出來隨便敷衍
難怪大家對警察失望！
根本不敢期望你們能做什麼大事！

給一顆星都嫌多，110專線設假的"
章維寶,1,報案來到現場，對報案人的口氣真的很不好。今天上午11點10分左右在進永福水門雙黃線右線，有逆向的機車直接撞上騎自行車的事故，自行車被撞的報案，來處理的中正橋派出所男員警口氣讓人不感領教。
馮子石,1,中正橋派出所（永利路）的服務態度跟上面的民眾所說一樣，服務態度很差，一點熱心都感覺不到，很會推責任，不親民，差評。
周紘宇,5,"原本中正橋派出所改建中，現在搬到永和國民運動中心旁邊了，要等到改建完成才會搬回去。
來洽公的話，永亨路上有機車停車格。"
gaby Yeh,1,回應超冷淡，沒有任何為民服務的精神
Enzo WU,3,前面停好多警用機車
Jeffrey Hsu,1,警察態度差到不能再差~怠惰
張玉明,4,有很多警用停車格
王悠,1,"(由 Google 提供翻譯) 有好吃的麻糬！

(原始評論)
有好吃的麻糬！"
王要,1,"(由 Google 提供翻譯) 米粉不太好吃

(原始評論)
米粉不太好吃"
呂政緯,1,"(由 Google 提供翻譯) 派出所外面很臭

(原始評論)
派出所外面很臭"
Pixiy. ON (尾田永),5,"(由 Google 提供翻譯) 拯救我的一天

(原始評論)
save my day"
愷祤,1,"(由 Google 提供翻譯) 波麗士大人很有事
跟信義松壽分局有的比

人家是問案子 還懷疑你酒駕
衝出來說要酒測
你們是藉個東西
七八個警察跑過來包圍
指指點點的 我就不說還有個態度超差
過來直盯著 你繼續啊 我要去上洗手間
還有波麗士一臉不客氣的過來質疑
你有問過跟別人說進來嗎
很想問她要不然我是怎麼走過前台的
我真的笑了

永和波麗士大大們好棒

(原始評論)
波麗士大人很有事
跟信義松壽分局有的比

人家是問案子 還懷疑你酒駕
衝出來說要酒測
你們是借個東西 …"
Wang Mr,1,"(由 Google 提供翻譯) 茶不太好喝

(原始評論)
茶不太好喝"
振煦,1,
Irene,5,
楊凱丞,1,
SANDY CHANG,1,
Becky,5,
徐麗婷,4,
賈中,1,
123 14123,2,
Wei Lee,5,
王膺豪,5,
林柏毅,5,
白孔,5,
