author_name,rating,text
Yi-ting Huang,4,每道菜都下飯，融合雲南風情和書香味的飯館，無菜單依人頭每位$300預算，對全素者很友善主廚也可變出兩三道，飲料菜單寫在黑膠盤上，另計不算在內。上菜快速（應該是備料早好加上很多道涼菜）老闆邊上菜邊介紹每道菜的特色，像是製作需要等後4-5天的老奶奶咖哩、比一般口感更細碎的麻婆豆腐、泡菜醬汁的雲南大薄片和略帶甜味的紅燒豬，有著擺夷特殊香料，幾乎都帶點酸辣勁道，對於只諳小辣的我吃完肚子感覺有把火在燒 XD唯一一道清淡的炒高麗菜很脆甜！整體氣氛像在好友家作客般舒服，甜點是烤餅淋上煉乳，最後老闆幫忙拍大合照還爆料自己是攝影師，絕對保證好看~
Tina,3,空間非常擁擠，雖然有特色，但一人300元卻完全吃不飽，份量如圖。
Andrew Lin,4,很特別的店，外面看起來很神秘。約了心儀的對象去用餐，裡面的擺設和裝潢也很有老闆的個人特色。我喜歡店內的音樂。不需要點菜這點對我這種有選擇障礙的人來說也是個優點。喜歡吃辣的人應該會喜歡這間店。
Evelyn Chou,5,"超有特色的餐廳 原本還覺得一人一道菜會吃不飽結果吃得超撐 所有人份量都剛剛好
皮蛋豆腐泥必點 超好吃 一口氣吃了兩碗飯
馬鈴薯泥也很有特色 要花3天以上製作 搭配酸菜口味獨特
整體裝潢也很溫馨 很適合小組內聚餐"
都給我吃,1,很小碟的菜，以為是招待的小菜，原來大家吃的都一樣，有點小失望，白飯吃到飽＋1分，馬鈴薯燉雞是雞翅沒有小腿，真的，去一次就夠了。
冠中黃,5,"氣氛跟裝潢特殊，會讓你覺得進到了另一個世界🧐你一坐定老闆確定好人數就會開始上菜，上菜速度超快
豆乾真的滷到透，非常入味好吃😋大薄片酸甜爽口🥩皮蛋豆腐第一次看到用泥狀呈現，口感別有洞天🥚馬鈴薯蠻特別，酸爽酸爽的，不知道怎麼形容，但是就是會一直吃🤔另外兩個就是好吃沒什麼好說的
每道菜幾乎都有辣，不吃辣的不推，但是愛吃辣肯定要來試試，老闆這天還送我們一小碟他做的涼拌辣椒(?)香的！
這次一個人消費300$個人認為非常划算，吃的很飽而且都很好吃👍🏻"
Ruby Wang,5,"照片拍得不好看😅對老闆很不好意思

店家裝潢設計特別，如果不是朋友帶來，自己應該不會輕易踏入，但蠻喜歡店內餐具呈現的氛圍，樸實、居家，來到這裡用餐就像回到家吃飯一樣自在放鬆。

當天是三人用餐，共五道料理，一個人$300
但菜名都忘光了，只記得一道料理叫做：大薄片，酸甜辣，非常好吃！馬鈴薯是偏酸的口味，可能因為沒吃過，所以還好。另外還點了飲料，阿但有點忘記好不好喝了，那就當它普通吧
其他料理也都好好吃啊！又辣又香，超級下飯！不敢吃辣的我吃了超多碗😂

偷偷觀察隔壁桌，兩個人來吃，也一樣可以享受到多道料理，這樣子的設計很不錯！
會再找機會來～"
Chiang Adi,4,"每次造訪的用餐感覺都很不錯，無菜單料理六道菜加甜點再來一杯（罐）飲料，基本一人300元。（自製泡菜是老闆招待）
這次再訪因為大家過餓，請老闆來個round2再上三道菜，其中一個是一開始就有上過的酸辣涼粉內有木耳，苦瓜，冰涼爽口。另外兩道是先前沒見識過的紅燒豬肉以及油雞樅，紅燒豬肉的甜味跟Q彈嚼勁已是下次再訪的菜單；而油雞樅據說是要花四小時手撕香菇製作而成，很適合配啤酒，但平日夜晚不宜。 …"
余宗哲,5,"親切的服務
好吃的雲南無菜單料理
一碗接一碗🤤 讓人不想剩"
陳妍熹,5,好吃又讓人很舒服的地方！
