author_name,rating,text
Courtney Shih (溫室),5,"《#工作咖啡廳圖鑑》P. 49﻿
科技大樓站/ Rufous﻿ Coffee Roasters
ーーーーーーーーーーーーーーー﻿
🧡( ◡̈)/日安我是溫室
更完整介紹在Instagram
👉 @bonjour.onshitsu ﻿
ーーーーーーーーーーーーーーー﻿

#適宜工作指數 ：💻💻💻💻💻﻿
-低消一杯飲品﻿
-不限時/ 有Wi-Fi ﻿
-插座數量多，使用費20$﻿
-門口區域光線較明亮﻿
﻿
離台大後門不遠的Rufous Coffee …"
黛比,4,"Big 7 Travel 將 RUFOUS COFFEE 評為全亞洲第 16 名，並形容 RUFOUS COFFEE 店內木質的裝潢，讓人好像來到 1960 年代餐廳的感覺。
台北有名的咖啡店，不限時真的很棒，但店內空間小，今天客人聊天很大聲很吵，無法專心看書，環境品質有點受影響，但咖啡真的很好喝！"
徐國棟,5,店內氛圍好，不會太吵鬧，店家的拿鐵咖啡有甜感，奶泡跟咖啡很合，順道來看看世界50大的咖啡店，消費跟一般咖啡店差不多
周育如,5,生意很好的店，本想點燕麥豆奶拿鐵，已經沒了改成椰子奶拿鐵，椰香明顯帶有一點微鹽味，喝起來挺清爽不錯喝，朋友的摩卡巧克力香濃也挺不錯，甜點 焦糖冰淇淋蘋果派令人驚艷，下方蘋果派的蘋果及塔皮都好吃，微熱蘋果香甜，朋友分食也都讚許，下次去要再點～
周俐俐,5,"🌺捷運科技大樓站出口3分鐘的手沖咖啡專門店，一入內有秒回歐洲的feel,裝潢歐式小品氣氛，濃濃咖啡香氣，今天點的肉桂蘋果派佐香草冰淇淋，熱熱的蘋果派搭配冰淇淋，真是人間享受！"
簡安,5,冰摩卡很好喝，店員很細心親切，咖啡館的氛圍讓人放鬆。是會想要再訪的地方。
Lynn Ting,4,"📍RUFOUS COFFEE
🚇科技大樓站步行5分鐘

🍎焦糖肉桂蘋果派$220
☕️熱美式$155

終於來到大名鼎鼎的RUFOUS一店了✨點了美式跟期待已久的蘋果派，蘋果派不大、上面是香草冰淇淋、下層有蘋果跟派底撒上焦糖醬、周圍還有餅乾碎！整體不會很甜但很好吃（不過$220偏貴⋯CP值不高

咖啡的選項真的超級無敵多，手沖也好幾種，完全目不暇幾！美式很好喝，媽媽也十分滿意她的手沖☕️畢竟也是台灣唯三入選全球50大咖啡廳🏆 …"
地方八八（Wise Cheng）,5,"藝伎冰滴 Cold Drip Geisha $300
使用水洗巴拿馬翡翠莊園藍標藝妓，咖啡喝到口中的時候，像水果般的甜。
咖啡在喝下去後總會有一個味道從喉嚨回甘，藍標的回甘很持久很清晰，就像吃甘草欖，一杯擁有良好回甘的咖啡會讓香氣在口中停留的更久，尾韻更加綿長。 …"
阿奏你不合喔,5,"剛剛才發現     喝了這麼多次竟然還沒給評論
目前喝了幾十家店裡最喜歡的義式咖啡
沒有之一
很推薦點1+1
奶泡咖啡融合得很棒
口感滑順濃稠
上次試了薩爾瓦多的單品1+1   印象深刻
不過之後再來兩三次都說沒有豆子
店員說下禮拜會有
不要騙我喔XDD

不過人總是很多   我都會喝完趕快走人
希望大家都能喝到這麼棒的咖啡"
Ying Ting Huang,5,可外帶也可內用（內用不限時因此不知道會等多久）咖啡分淺焙、中焙、深焙；拿鐵還不錯，整體來說店家頗有氣氛、昏昏暗暗的、店員人還蠻好。不錯！附近也好停車～
AVIS KUO,5,咖啡超好喝，除了咖啡外，肉桂焦糖蘋果塔也是好吃到爆，肉桂味和香草冰淇淋，和蘋果內餡真的很有層次
Rita Chen,5,"好幾年前就因爲愛喝咖啡到處尋覓好咖啡
這回因爲大縱走路線在附近
結束後特地來這在品嚐拿鐵☕️
味道依舊好喝
不愧是列在亞洲50名榜上的咖啡廳"
Pan,3,"今天點了
摩卡巧克力咖啡🔥180💰
➕斑點卡布奇諾🔥165💰
➕焦糖肉桂蘋果派🍎220💰
咖啡☕️甜點、服務、店員、店內氛圍整體都很棒👍🏻

⚠️唯獨店內有一組3位女性客人聊天聲音極大
破壞了整間餐廳的格調，也影響到其他客人
（同行朋友及我個人都覺得非常吵鬧💢💢💢）
誠心希望店家能夠適度勸阻，保持空間平和健康。

咖啡🌟🌟🌟🌟
甜點🌟🌟🌟🌟🌟
服務🌟🌟🌟🌟
氛圍🌟（當時段過於喧鬧吵雜）

以上屬個人感受，提供參考。謝謝！"
Sandy Yang,4,"蘋果派好吃，蘋果派熱熱的搭配上香草冰淇淋讚讚
榛果拿鐵順口，但喝不太出榛果味
不限時，有插座要加20元
下午人多吵雜，不適合辦公讀書"
Mina HY Hsieh,5,雖然排隊等有點久，但整體感覺很不錯👍
Wan-Ling Tseng (ioloi),4,裝潢溫馨的咖啡小店，走過可以很順路的彎進來喝杯咖啡！低消是一杯飲料
Paul,5,"風格優雅、氣氛放鬆的咖啡廳，適合發呆或跟朋友家人閒聊，吧台座位桌面很寬，今天喝的是斑點卡布其諾，跟常見的拉花相反是鮮奶為底然後圖形是咖啡，蠻特別的，也好喝！
here is a relaxing coffee shop. nice place for chatting with friends. dotted cappuccino is very special!"
Cindy Chen,4,"聽說台北米其林級咖啡 入門滿室咖啡香 令人陶醉
服務員詳細解說手沖咖啡之不同 可惜人聲有點多 無法有寧靜品嚐之感
餐廳別緻 內部想表現東西太多 所以感覺稍嫌雜亂"
YT T,5,非常棒的咖啡店，每次來幾乎都喝三杯咖啡，真想把所有的咖啡品嚐一遍💕
Linda,5,咖啡專門店，客人絡繹不絕。甜點每種都很好吃，服務也很周到。店內光線微暗適合一人沉靜品嚐咖啡甜點，工作看書的好地方
Jerry Liu,5,"焦糖肉桂蘋果派可以～～
咖啡很順好喝
店裡不會太吵，且沒限時"
曼,4,"適合放鬆的咖啡店

今天喝熱的愛爾蘭咖啡
上面的奶油與下面的咖啡一起喝，濃濃的奶香味與淡淡的咖啡與酒香，好喝
後面冷一點酒味就明顯出來又是不同的風味

朋友喝熱卡布，重點的奶泡很綿密細緻，美賣"
林聖才,3,"鬧區裡小品咖啡所在，
椅子小且硬不適合久坐，腰痛啊！"
I'm Hope!,5,手沖咖啡很有水準，店內光線較為昏暗，比較不適合在店內的座位看書。適合真的放鬆心情聊天
Bryan Chang,4,此次試House blend，有點出乎意料，最期待的Espresso偏酸，苦味也重，拿鐵與卡布則均有達標準，而冰滴歐蕾反倒是個驚喜，平衡極佳，很棒的一杯！
chiu Chiu,4,喝了一次手沖單品超讚的 環境也不錯 不過有幾個椅子有點污漬
ChingHan Liu,4,生意興隆的店，常常客滿，古典的裝潢，氛圍營造的不錯，但是因為生意太好，常常進不去，美中不足
程皓天,5,都世界排名前幾得店了，還有啥疑問。
Dora,5,"軟法鬆軟美味，吃完無負擔。
環境舒適，很適合來看書、看劇，坐著休息！"
潘怡君,5,"二訪，
甜點好吃,
兩次都吃肉桂蘋果,
第二次覺得有點甜但真材實料,
ㄧ次卡布一次康寶藍，
下次要去喝單品，
店內音樂也好聽"
LingYing TSENG,5,"有古老咖啡館的懷舊氣氛~~~
儘管是懷舊氛圍，室內卻躟人覺得很乾淨!!
手沖很不錯!
檸檬蛋糕也好好食"
月旦評,5,"《RUFOUS COFFEE ROASTERS》復興創始店位在復興南路二段近和平東路，旁邊就是[國立台北教育大學]，從捷運文湖線的科技大樓站走過來約5分鐘路程，開車的話可停在附近[台北大安運動中心]附設停車場(位於辛亥路三段)。

RUFOUS(形容詞)英文意思是指紅褐色的顏色，店家認為咖啡豆最佳烘焙的色澤是[紅褐色]，店內紅褐色原木設計風格，充滿文化經典與歲月淬鍊的氛圍，與店名的《RUFOUS 》互相輝映。基本上《RUFOUS COFFEE …"
Rain Fish,5,"店內氣氛好，不過人多所以座位之間空隙較小
咖啡好喝，沒有失望"
