author_name,rating,text
林若瑋,5,"/Sandwich with Ham,CheeseEgg,and Vegetable 鹹的芝心起司半熟蛋火腿三明治 NT160
/Summer Special 夏日特調 ：芒果百香果泥(Passion fruit & Mango )＋House Blend NT200
/Sugarcane Ice Coffee 甘之如飴：新鮮甘蔗汁（Sugarcane Juice)+濃縮咖啡（Espresso) NT180
/Maple cheese cake 楓糖乳酪布蕾蛋糕 NT130 …"
Molly Mao,5,"舊址於永康街，現址個人覺得稍微偏僻了些，但平日下午也依然是快要客滿的程度。

很喜歡安靜的咖啡廳，大家安安靜靜做自己的事情，喜歡聊天的人也可以坐室外座位，高談闊論也不會影響到別人，各取所需，讚讚！

部分座位有插座，wifi速度一般。
鹹食每天提供的不同，甜點以櫃上為主，甜點櫃出奇的低要蹲下才能看到哈哈哈哈（絕對不是因為我太高）

食 #愛麗絲的貝果 花生醬培根好罪惡
甜 #胡蘿蔔蛋糕 偏甜
飲 #熱拿鐵  拉花小可愛

Ig: amour628"
連晏均,5,很安靜，可以專心的做自己的事情不被打擾，維也納咖啡一開始喝蠻甜的，後來攪拌進咖啡後，喝起來會有一點酸酸的，可能我不小心喝掉太多鮮奶油......。胡蘿蔔蛋糕很好吃！蛋糕體有點濕潤，剛好解決我不喜歡戚風的感覺，有堅果的口感，而且跟上面的奶油很搭🥳
Star Yang,5,"很舒服的環境，店家強調安靜的氛圍，連大桌開會的人都小小聲說話，在這裏躲一杯咖啡的時間，可以思考，不會被吵。即便喜靜，這裡還是兒童友善，店家歡迎能夠安安靜靜坐下來的孩子，小朋友一進店就感受到這樣的氛圍，也學起大人小小聲說話，專注自己畫畫寫字，很開心。
環境、咖啡和甜點都很好，喜歡安靜、能安靜的人可以來坐坐。"
zoe lin,5,甜點跟咖啡都有不錯的水準，人員也很親切，是會想再來訪的店
CC,5,"直接放入口袋名單❤️❤️❤️
店內氣氛佳、
大家都很認真在做自己的事
🉑️唸書的咖啡廳
重點是餐點都超級好吃😭😭"
Pota Lai,5,最愛的安靜咖啡廳，可愛的拉花拿鐵，咖啡很好喝，香味濃郁又回甘生津順口。放著輕音樂和投影，不限時插座不收錢，每次都能坐一下午，好好唸書趕報告。餐點輕食也讓人驚艷，最近吃到的起司咖喱麵包，熱呼呼吃讓人回味無窮。
Shu An Liao,5,整體環境非常舒適，很安靜，如果大聲喧嘩會被制止，很適合習慣在咖啡廳唸書工作的人，而且wifi、未限時，有插座的地方不算少，手沖咖啡的品質也很穩定，很值得一訪。
lori huang,5,爬山下來經過客滿，坐在外面的位置。咖啡和甜點都不錯。裡面感覺很不錯，希望下次經過可以坐在裡面的位置😆
Claire Chiou,4,"📍小米酒咖啡館
-
🕒12:00-19:00（週一公休）
-
📣只收現金、低消一杯飲品、有wifi插座、不限時
-
🌞甘蔗牛奶（冰）$160
🌞金沙鮮蝦蘆筍軟法三明治 $180
- …"
