author_name,rating,text
Amanda Cheng,3,"吃過4款蛋糕，以下都是當天食用心得
只有白色乳酪草莓栗子塔好吃但也最貴(因為這款才給3星)
檸檬塔上蛋白霜很像巧益棉花糖中間糊糊的味道但厚厚一層不知道自己在吃什麼，檸檬醬有蛋腥又沒什麼亮點。
荔枝乳酪吃到奇怪穀物顆粒，超硬一顆不曉得為什麼出現在裡面，還可以但不驚艷甚至覺得應該自己買荔枝吃就好，塔很像小林煎餅很硬味道也像。 …"
無段道楓,4,"知名的高價位甜品店
營業時間到午夜12點，不過越晚可選的糕點越少
飲品可抵大約40元的糕點費用，不過飲品的價位也是較高一點
飲品的份量比我預期中還少一點，但是點飲品會附一個小點
甜品的話價位，一份大約就要500~750左右(1/4個蛋糕大小)
非常貴但非常好吃，沒有枉費店家招牌
層次感跟綿密感都很棒
遺憾飲品真的太小杯了，感覺要喝兩三杯的份量來搭配一塊甜品才行
另外，內用空間寬敞乾淨，
不過大家應該都偏好慢慢享受餐點，因此內用座位真的要靠緣分
另一個靠緣分的是限定款甜品，
價格不會是最貴的，遇到真的要好好把握"
Claire Pan,5,"總結：超好吃+人員很nice

因為突然發生的疫情改單，
再遇上宅配甜點延遲到貨
店家都願意接受我多次的私訊及電聯並予以解決，真的很感謝！！🙏

甜點也一直維持在高水準🤤
訂了好幾次從來沒有踩雷過
從第一次買回家之後
就成為媽媽的指定愛店了😂"
Natalia Kai,5,疫情期間看到雙北地區還可以外送甜點，毫不猶豫就下單了，外送服務很棒，甜點好吃，最喜歡生巧克力塔，濃濃的巧克力加上塔皮，覺得很幸福。卡士達水蜜桃塔也很好吃，水蜜桃很甜，看得出來店家對原料的堅持，謝謝老闆！以後還會繼續支持💪🏻
劉芷榆,5,因疫情只能選擇線上訂購，一開始因為一些品項數量來回修改訂單，店家也都很耐心的回覆並推薦我使用一些優惠方案。配送時，因黑貓爆量，店家馬上詢問我改用快遞提早到貨能不能接受，整體的訂購服務溝通都非常愉快，感覺得出來店家非常真心的在對待消費者，最後，甜點真的超好吃!!!尤其快遞來的甜點更新鮮美味!
魏人仰,5,一如既往的好吃，派皮酥脆，訂購了4款，厚生巧濃郁得讓人懷疑人生，紅豆抹茶有些許京都風，最愛的提拉米蘇跟栗子雙夾生巧黑嘉麗更是每次都會訂購的，用料很實在新鮮，甜度中等，讓我們在吃甜食時也可兼顧健康。現在訂購有運費優惠，快來快來
Yuii Yui,2,"友人激推前往朝聖，失望大於滿足，兩顆星給塔皮與提拉米蘇塔

栗子泥乳酪草莓塔賣完，因此買了雙拼

蛋白霜檸檬塔超級雷💦
只有奶油厚重的甜膩味道，吃下去完全是因為這個太貴對不起我的錢包，檸檬感覺凝固用的膠加太多也不怎麼樣，只剩塔是全部最好吃的，上層鬆軟下層微脆不硬
栗子泥乳酪草莓塔🌰
只有草莓好吃，沒感受到乳酪的任何一點味道，栗子泥的香味口感嚴重被奶油蓋過，只有栗子顏色的外表，中間奶油也是會膩的那種口感，依然只有下方塔皮與水果可以。

外帶的提拉米蘇塔🍰 …"
Paisley Lee,5,疫情期間點了北市外送，準時到達以外，蕉香巧克力乳酪塔為之驚艷，口感滿分，調味適中不會過於甜膩，非常美味👍🏻
YiChen Chen,4,"2021/05/08，晚上初訪，捷運站10分內路程，可能是因為較晚去的關係，人潮不多，店內座位不是很多，有佈置，太晚去就是看冰櫃剩什麼吃什麼嚕，生巧克力膏吃起來味道濃郁，口感也不錯，口味上不會太甜也不會太苦，算是剛好的口味

整體來說，價格偏高，東西濃郁好吃，開得蠻晚的"
Iris Yang,5,"深法的甜點永遠給我帶來驚喜，我們特別愛各式各樣水果搭配的蛋糕，當然還有絕對經典的生巧克力塔！

如果有幸看到也訂到非常規出爐的季節獨特設計款（說的好像精品品牌一樣）那更是驚喜連連，常常在想什麼時候還能再吃到啊！

好店，推薦給大家！"
劉芝妤,5,這次是使用外送訂購，送來的塔都很漂亮也很完整，也都有在預定的時間內收到，真的謝謝小編以及外送人員的細心❤️另外大推提拉米蘇口味，雖然其他的抹茶紅豆（紅豆餡料超級多）、生巧克力塔也都超讚，但提拉米蘇口味真的是會讓人豪無止盡的吃下去，絕對會再回購🥰
蕭世安,5,生巧克力塔巧克力很濃郁！疫情期間可以宅配很方便～待在家也可以享用下午茶～
卓姿佑,5,"服務良好、宅配包裝仔細很用心
蛋糕甜點好吃，讓人覺得幸福！"
F F,5,低溫宅配在疫情期間當日配送、完美落地，非常療癒🥰謝謝老闆
Xiang Huang,5,"粉專人員非常有耐心確認訂單狀況，並滿足額外的加購蠟燭服務，
外送人員在風雨中將蛋糕完好無缺的送達，讓壽星能品嘗到美味的蛋糕，
非常好的一次服務體驗！"
Teen Chen,4,"在好幾年前要排隊取餐的時候就很常買，後來有一陣子不吃甜點，再到最近意外得知開了實體店，特地先來看了評論，有些評論不知道到底是同業抹黑，還是期待抱到飛天，都不知道在嘴什麼毛，於是想說親自來吃上一吃，再給一些客觀的反饋。

今天點了野莓塔，料跟從前一樣都很實在，口味也都沒有變，不會太酸也不會太甜，塔皮一樣香酥脆 …"
Winnie,5,"4/30接近午夜12點才到店裡，雖然甜點品項選擇已經不多，但店員還是很熱心推薦服務(^_^)
外帶提拉米蘇在店門口吹蠟燭慶生，店員還外借打火機和叉子讓我們享用生日甜點

推推👍🏻"
mi Mi,1,"甜點跟價位 不成正比
生日贈送的巧克力蛋糕 怪到我當天居然胃痛😩😩😩超級不推的
如果沒試過 建議不要輕易嘗試。"
黃慕慕,5,"外帶生巧克力塔和野莓塔～
超驚豔超好吃😋
1/4片根本不夠啊～
準備下次繼續回購！"
Emily Huang,5,最近每個禮拜會去一次。態度還不錯。其實蛋糕很大塊我都可以分兩次吃一次吃兩個人。蛋糕不會過甜。
