author_name,rating,text
I Wen Wang,1,"1年多前健檢一次後就每3個月打電話叫你再健檢, 已表明目前2-3年健檢一次即可，之後也是一直打電話來叫人健檢還直接說明天直接來我公司抽血，如果是不好拒絕別人的人不就被強迫買單? 感覺真的很不好！
加它黑名單還打到公司來煩....."
Zoey Weng,1,"服務很好 但...血液報告 項目打錯  真的很誇張
照理來說 報告出來 不是一定要確認確認再確認嗎？！ 出這樣的差錯？完全不能接受
奉勸各位   如果要抽血檢查不要來這間  超不專業！"
John Lu,5,交通方便，一出捷運古亭站2號出口旁的灰色大樓，超音波講解 非常仔細，價格合理
劉俊俊,2,"做過一次體檢套餐，之後接到來電“提醒”是否需要再次體檢？
本人表達才過半年，而且年歲不大，之前體檢數值也都在安全範圍內，所以不需要這麼頻繁的體檢服務。
對方表示：可是血液三個月就會代謝一次，所以還是可以體檢啊！
我說目前只有三年一次的想法，拒絕了服務推銷。
之後三不五時就會接到貴檢驗所的電話
最頻繁的時候一個禮拜一通，前陣子才表達過今年都不會考慮體檢所以不要再打來，還是會接到來電。
太誇張了=="
李小愷,1,"應該抽血過兩個月了!還沒收到報告?
電話也不通"
Serafina Yeh,1,已經不在了
Eric Weng,5,服務親切，專業度佳。
陳益祥,1,抽血報告咧
百變冰心,5,不錯
張家珊,5,
葉玉娟,5,
黃士豪,5,
湘宜黃,5,
黃靖媛,5,
沈棋,5,
Kent Lin,5,
May Lin,5,
林建邦,5,
吳蘋芝,5,
黃玲玟,5,
