author_name,rating,text
Jasmine Tan,2,5/12疫情嚴峻，店家全員沒戴口罩，邊煮邊口沫橫飛高談闊論，把警戒標準當空氣逆？勸大家不管外帶外送都不要訂
Darren Chiu,4,其實注意到這間店蠻久，但一直沒什麼機會來吃，今天天冷剛好就想來碗熱呼呼的海產粥。店內就一個負責煮，一個負責包，看起來都電話預訂，生意很好。現場等了大約30分鐘，熱呼呼的粥端上桌。說真的光看賣相是普普，但喝上第一口湯，歐喲！秒懂了，難怪生意這樣好。湯頭清淡中帶有微微蔬菜和海鮮甜味，這湯底融合了蛤蜊，青蔥，洋蔥，蔬菜...etc. …
珊珊,4,"沒有到評價說得那麼好！環境衛生有待加強。
有先打電話訂，但是沒有準時，還是等了一下子。"
蔡賢靜,5,"每次路過總是會被香氣吸引
吃了覺得十分滿足
虱目魚粥魚肉大塊又多
海線湯麵味道特別
價格公道
推推必吃"
李光裕,4,料給很多不管是麵或是粥，頭好喝。
Jia Rong Li,2,"料滿實在的但等半小時不是很值得，湯泡飯不太像粥，有頭髮跟小蟲子。可以理解煮的人不戴口罩，但連接電話的人都不戴口罩感覺不是很健康（衛生）。

吃過一次就好！"
戴立綱氣象,5,海鮮麵130，至少1到2小時前預訂，假日不營業。
林傑,4,"口味甚好，湯頭鮮甜，米粒軟不爛，尤其各類水產口感口味能吃出新鮮。
極力推薦"
Mimi龍,5,"即使漲價20元後，
生意依舊非常好，
經常要預約、要等。
海產粥味道很好，
用料實在，海鮮內容大概是，
花枝、蝦×1、魚肉片*4、
蛤蜊*3、豬肉片*4吧，
上桌後基本上不太需要再調味。
比較特別的是，
豬肉有麻油味，湯卻喝不太出來，
應該是肉片有先泡過再煮的關係吧。"
Sean Hung,1,很普通的店，不懂為什麼會這麼有名？點餐到煮好要一個多小時，等超久。。。。。一次只煮三鍋，料也不多，就是一隻蝦，三個蛤蜊，幾篇薄香菇，高麗菜+肉+透抽，一碗要 130元？！店內簡陋，環境衛生不佳，店員都不戴口罩= =
