author_name,rating,text
Li Chi李奇,1,"今天(5/6)用foodpanda 訂該餐廳的餐點，除了泰式椰汁牛肉飯的配菜高麗菜中有頭髮之外，餐點已經吃到快結束時，發現泰式椰汁牛飯的醬料中竟然出現偌大的蟑螂，不是普通在廚房會飛來飛去的小蟲耶！竟然是蟑螂！真的太誇張，頓時感到反胃無比，難以接受這個可怕的事實，剛剛吃的餐點中竟然有台灣大眾人人皆可畏的「蟑螂」，可想而知該餐廳廚房品質控管有多麼糟糕，我真的至少一年內都不敢再吃泰式料理，我受到的驚嚇是要如何受到彌補？此次的訂餐經驗真的令人非常非常失望！

後來上Google評論查詢才發現該餐廳的品質從以前到現在都極差，而且也沒有要改進的意思，建議大家真的不要再跟他訂餐或是去餐廳用餐了，免得對不起自己的錢包跟腸胃！"
張毓純,3,"蝦仁炒飯佐三色豆 邪魔歪道

要來的人建議單點即可，一個人2-300就可以吃很飽"
樊_,1,"這一顆星是給泰式奶茶的

我們三個人消費550吃到飽，點個餐困難重重，幾乎都是自己走到櫃檯拜託他們給我們菜單，還要收10%服務費，飲料說可以無限暢飲點個泰奶都要等半小時以上，最後直接說沒了不給點。

食物：
✔️豬肉有腥味
✔️鐵板牛柳牛肉比豆腐還軟（不知道加了什麼）
✔️那個椒麻豆腐不想講了看那個照片跟實體，感覺在跟我們開玩笑 …"
Alice Chen,3,"離捷運站步行十分鐘以內的距離
可選擇點菜或吃到飽
菜色多樣但大多相似
可以調整辣度

涼拌皆用同一種醬汁
所以味道都差不多
海鮮類沒有很推
花枝不Q，魚肉不嫩

*月亮蝦餅-中規中矩的味道
我到泰式餐廳必點的料理

*泰式酸辣海鮮湯-口味偏台式，個人滿喜歡的

*咖哩炒蟹-我不太愛蟹，但他的醬我好喜歡
甚至還拿其它菜去沾他的醬

*雲式蔥油雞-就是一般的蔥油雞，滿好吃的

以上四道是個人覺得不錯的料理
其它一般般
河粉太軟爛了些
咖哩的味道不是很喜歡

泰式奶茶還不錯，可以試試
甜點有四種可以選，都滿甜的
比較喜歡椰汁黑糯米

以吃到飽來說，價格算便宜
較偏吃粗飽的類型
服務態度不是很好
菜沒吃完就整盤收走
反應送錯菜，也有點愛理不理的"
Jiang灣灣,4,味道大致上還不錯，有點偏台式口味。份量足，上菜速度蠻快的。
amber Y,1,一顆星只給摩摩喳喳好吃，一個人600多元吃到飽，菜色超級差，又很台式口味，上菜很慢，等了老半天有兩道菜也未到，是我吃過又貴又難吃的泰國菜，非常不予推薦，兩人花了1200多元，像被當成盤子，真是雷店。
yirou ya,1,"一開始原本想點吃到飽方案，但是看到隔壁桌用吃到飽方案點的月亮蝦餅薄到嚇到我，所以改成單點。
不知道是不是剛好都沒有點到好吃的品項，總之感想就是沒有一道菜覺得好吃，完全不會想再去第二次。"
RED,1,想搞砸一天的好心情可以來這裡，上菜慢就算了，每個人臉都比臭的
Yun Vari,5,中午吃到飽 $605/人，最多一次點8道，每道菜都很夠味，都很喜歡也很下飯～多人一起吃很划算，下次有機會再來👍
王宏,1,一個人550$+一成服務費！cp直超低。上菜速度慢！要三催四請！吃了兩小時才上了第二輪的菜。而且菜都是冷的不誇張！
俾斯麥德語,5,菜色很好吃，打拋豬肉、蝦仁烘蛋、雲南茄子、酸辣魚片湯、泰式魚，每一道菜都讓我覺得喜歡。這間餐廳有吃到飽，但其實吃到飽我覺得不划算，每次去都是帶上三兩位朋友，然後單點，加上服務費之後，每個人的價格落在350-400，而且這已經是每個男生都吃很飽的情況。所以個人覺得沒有必要選吃到飽，單點自己喜歡的菜CP值更高。上述的價格還包括一大壺的奶茶，奶茶會有一點甜，因此整壺奶茶可以先倒三分之一到杯子裡，接著店家很樂意幫忙加冰塊加到滿。總之，目前我點過的菜都讓我挺喜歡的！
咖波殿下,5,"上菜快速
東西好吃
例假日550+55=605"
ran li,4,上菜超級快，重要是這個價錢算不錯吃
