author_name,rating,text
Cacey L,5,"紫蘇無花果酸麵糰$180超大一個，單吃或搭配紅酒醋都很優，麵包體外脆內軟，強推！是我這幾年吃過前幾名的麵包，完全不輸貴婦百貨。

肉桂卷也太香了！很後悔，應該多買幾個，難怪是熱門商品，連不愛肉桂的家人都問我這是在哪買的很好吃。

用外送所以沒有感受到店員的態度問題，暫且略過。"
Hokou Lin,5,"因為不住台北，又怕買不到熱門品項，所以直接先在官網訂購。
官網寫接受三日後預訂，訂購前還特別算準，結果當時訂可取貨的最早日期，不是我認為的三日後。我以為訂的當天也在三日內，其實是不算的。好在後面跟客服反應後，願意讓我提早一天領取。建議官網還是直接舉例說明比較好，不然應該也會有像我一樣誤解的客人。
當天要領取時，因為會比預計時間晚到，跟客服反應後，也是很乾脆地回覆說沒問題。
先不論麵包本身，光以上兩點客服的服務，讓我直接就要給五星了！🥰
訂了好幾樣可頌、肉桂香橙捲，還沒全部吃完，但光看外型每個都覺得很美味，有機會一定會再回購的～🤤"
Sharon Chiu,5,"冷凍宅配無法享用剛出爐的鮮度，倒是能觀察店家包裝、產品回烤後的味道表現。除了招牌的酸種麵包，還有法棍、香橙肉桂丹麥可頌、傳統可頌、布里歐。

傳統可頌有著迷人的口感，舒適的香氣，非常輕鬆地吃下肚意猶未竟。香橙肉桂丹麥可頌是前陣子炒得紅火的肉桂捲分享禮盒其中一個品項，口感風味與個人喜好不同啦…

布里歐的淡淡香氣、表皮的酥、金黃色肌理，非常賞心悅目。非水潤，而是乾爽口感，適合配上飲品～

酸麵包是招牌，特地選了黑松露酸種偶爾奢侈一下😆 原以為回烤時會找傳出陣陣松露香，看來是想多了😝漂亮氣孔、酸味剛好，多咀嚼幾口有松露香，請細細品味😉

購買時間：2021.04
米包-80"
Maya Wu,5,"疫情期間，用宅配的方式選購麵包。買了各式各樣的酸麵團和黑橄欖巧巴達。
運送過程完全沒問題，也準時到貨。箱子內的產品包裝得十分細心，感受得到店家的用心！
重點是麵包非常新鮮、真的很好吃！
超級推薦喔～"
Sonia Hu,4,"早上10點多立馬奔去買新鮮出爐的傳統法棍及三麥酸種, 其口味可媲美法國當地法棍, 可惜含水法棍要到下午才出爐, 吃不到飲恨! 現場問服務人員可否幫忙切片, 店員面無表情地說沒有提供切片服務(在意的不是切片與否, 而是服務態度可以多一點溫度嗎?)。光顧了兩三次, 似乎店員的態度和價格一樣酷?! 相較之下, My croissant by Guillaume 的店員態度就溫暖許多...更多美食分享，請搜尋：Hi, 我是珊妮雅"
鐘崇恩,5,常常太晚去就買不到想要的了，不過真的每樣麵包都好好吃，下次一定要買到肉桂捲。
Matt Chen,5,"十分傑出的酸種麵包
原味選最酸的款相當好吃
吃起來相當天然  感覺毫無負擔
不會出現一般台式麵包吃完之後餘留在口中酸苦感
果真如店名所取的一樣

建議買完現吃
外皮能保持住酥度
內裏的彈性跟水份也會是最佳
放到幾個小時即便有保存在保鮮盒也都會沒那麼好吃一點
特別是外皮的香氣只有現吃才最明顯
非常濃郁類似巧克力的香味
但其實裡面只有麥子而已"
飛鼠痴遊吃FlyMouse,4,"⬜️依傍在敦化南路與四維路的巷子間，似乎與世獨立卻其實佇立在熱鬧的大安區。
⬛️麵包體通常比其他麵包坊來的大顆，價格當然也是😆。
⬜️一般可頌的表皮微苦，不是很喜歡。"
YT T,5,全台北市最好吃的可頌及酸種就在這裡，雖然店員依舊跩到不行，但麵包真的好吃得沒話說。
Royo,5,"肉桂香橙卷超級好吃～～～～～～～
全台北最好吃的麵包店
身為重度肉桂控，他們家的肉桂捲雖然肉桂味對我來說非常淡
但是麵包體口感很好，好到可以忽略肉桂味不夠的事情
外皮非常酥脆，內裡鬆軟輕盈而不乾
麵包本身越嚼越香，恨不得吃10個！！！！！！！🤣🤣🤣🤣
可頌也好吃 、猴子麵包也好吃
歐式麵包也很讚，總之他們就是麵包屆的翹楚啦！！！！！！
一直稱讚看起來好像業配，但這麼好吃的麵包真的希望很多人知道！！
附上購買證明，證明自己沒有業配啦哈哈哈
雖然很多人說店員態度很差，但我5/8下午去的時候覺得店員態度很好👌🏻"
