author_name,rating,text
Mimi Lin,2,"被建築外觀吸引，裡面裝潢復古獨特，2樓有半戶外座位和吸菸區，但其實吸菸區的煙味還是會飄進裡面😅，餐點大致上普通沒有特別讓人驚艷，湯跟奶茶味道都很淡.....價位偏高，覺得餐點的味道不值這些價位。
服務生態度很好只是有搞錯餐點。"
濃湯棒,4,"2樓算是半露天，環境還算OK，不過偶爾會有菸味飄進來
奶酪好吃，湯好喝，奶茶就很普通

價位稍微有點貴，主餐約250~650  可加價60、80元的套餐"
玩樂室很重要的,4,"物有所值
甜的鬆餅比較好吃
因為餅不會軟掉
鹹的料還不錯"
簡嘉佑,1,點了一個主廚推薦的威爾頓雞，但只是把酥皮放在雞肉上跟真正的威爾頓完全不同。用餐時有很多蚊子飛來飛去，十分惱人，還飛到菜上，跟服務生反應也完全沒回應。
Jerry Chen,4,"NPS: 6

窗邊座位舒服，旁邊也有插頭

這次來吃晚餐，
收費一人約 300 以上，食物中上
湯品普通、飲料普通

下回想試試看窗邊下午茶"
洪亞,1,"傻眼
加很多料
裡面除了主餐
還有蛋殼加鐵絲"
楊思儀,2,座位於二樓室內，蚊子超多⋯無法好好用餐，用餐不太愉快
CY,4,"座落在公園旁邊，天氣好待在二樓看風景、吹吹微風很舒服，鬧中取靜。
週六下午光顧，二樓人不多，滿適合閱讀。"
Linda Hua,1,"不知道該怎麼評價這間餐廳...

蛋糕一端上來就是這樣的狀態，
然後店員很理所當然的跟我說不好意思蛋糕毀損了，
完全沒有要幫我換一個完整的蛋糕的意思..我滿頭問號

有沒有這種客家的餐廳的八卦....？

然後紐約起司蛋糕味道不錯
對我來說偏甜，但甜點不甜就不叫甜點了呀
餅乾底有加入堅果，增加口感跟香氣"
YuMe Shadow,3,"奶茶是茶包+奶油球
炒飯不錯
服務有點不熟的樣子
餐點還不錯"
鄭羽庭,5,"二樓景觀蠻好的
那天用餐點了 龍蝦醬天使紅蝦義大利麵（+焗烤）整體味道不錯 蠻好吃的
飲料點草莓牛奶 是他們自己調製的草莓醬加牛奶 不甜膩 也好喝！"
NanPing Co,5,"來很多次了 都好吃 中午來看到一個阿嬤 客人都跟她打招呼應該都熟人來 晚上睡不著也可來開很晚
寬麵是家常麵不是義大利麵 但好吃就好不介意 料實在
最愛酥皮濃湯"
Debbie Lo,5,用餐環境很好，餐點好吃，位於市中心交通很方便，今天的用餐經驗很愉快，適合家人聚餐，朋友聚會聊天。
Rosa Chen,5,"我們點了兒童餐義大利肉醬麵
以及肉丸義大利麵
都很好吃😋
大人小孩都喜歡💕"
