author_name,rating,text
Utena Chen,2,處方籤針頭直接給錯長度，叫貨叫不到也不能就給比較短的，病人打不夠深是藥效要怎麼到位？然後等叫貨等了快一個月，如果早在一開始兩個月前收到處方籤就叫貨，也不會延後一個月了，如果今天病人針頭都沒了，難道就沒針頭不能打？很明顯就是還有庫存就拿短的，但是這東西也不能開玩笑吧？以前在舊的地方就有發生通知藥到了結果去拿還找不到的情形，換了地方果然還是一樣瞎，控管不好跟是不是服務業完全沒有關係。希望這家藥局能再加油，但我是不會再去了，拿病人生命開玩笑。給第二顆星是因為另一個藥師很認真道歉。
Howie Liu,1,換了地點沒有比較好，動作慢沒關係。但是找不到藥，就讓人很擔心了。
李珮雙,1,同樣一款藥，價格是別人的2倍，根本黑店，老闆是怎麼定價的，把顧客當凱子耍！！！
王Henry,1,"藥局是專業不是服務業，態度差我無所謂。
但是櫃檯收健保卡跟藥單的時候沒照號碼排，整疊交給藥師。造成我最早到的壓在最下面最後拿到，這點就太誇張了"
Charlene Li,1,櫃檯女藥劑師臉超級臭 一句話都沒說，好像欠她錢。超級不親切
李小頭,5,對藥品有問題都會回答，醫療本來就不是服務業，拿藥買口罩多次經驗也沒有覺得哪裡不好。BTW裡面賣的那個無糖軟糖蠻好吃的，如果醫師那次開的藥太難吃可以順手帶一包。
陳又綸,1,女店員臉超臭，付錢就自己把手張開要我把錢放到他手上，搞得我自己態度都比妳像店員，真的沒有人欠你，大家互相配合一下很難嗎
廣瀬裕二,2,"staff的態度很不好
店裏的staff很親切, 可是接待的staff太過分了
如果要去買口罩的話，請注意"
廖啟程,1,女店員態度非常惡劣，臉也超級臭，好像欠他錢一樣👎👎
mean tnp,1,Staff 對我不太好 我問問他怎麼吃藥 因為第一次他說 他沒看我的臉 所以我不太確定是他們討論 還是他們跟我說 然後我再一次問問他 他說 我告訴你了 沒聽到？
Jannifer,1,藥劑師的臉依然超臭，態度超差，這種員工為什麼還存在呢
chengfong chan,1,態度超爆差，明明只是客氣問他幾個問題，他的態度好像人家欠他幾百萬一樣。再也不會去這家藥局，智障
Sylvia L,1,藥劑師工作態度不嚴謹，明明藥局內有存貨的藥卻因為沒認真找而隨便說沒貨
John Chih-Chung Lin,1,很糟給錯藥物。拿醫生處方拿眼藥水，藥劑師竟然給錯藥品，還是病人自己先發現，詢問還跟我說沒錯，但看藥品明明就是藥膏，哪是藥水，還要強硬確認看了才發現給錯，做事滿隨便的，藥單也不看清處，在那反應了才認真確認，滿糟糕的，要是誤點眼睛出事貴方賠得起嗎？拜託，從事藥劑師這行也有點責任感，這種態度就別做了吧，遲早出事！
盧小小,1,"態度非常差
領藥時詢問藥品名稱及作用，還被質疑是要把藥挑掉。
服用藥品難道沒有權利知道其相對應的名稱及作用嗎?
還是其實是藥劑師搞不清楚藥品，不願回答?"
Lea Ku,2,態度冷淡的藥師
Harlem Q Next,1,"(由 Google 提供翻譯) 一位女職員真的很粗魯。。。什麼都不說，對我真的很“酷”

我一個鷹嘴豆泥不推薦這家藥店

(原始評論)
A female staff was really rude....spoke nothing and treated me really “cool”

I one hummus do not  recommend this pharmacy"
Zhang Nicolas,3,
Louis Chen,4,
Miles Tai-Ku Lin,5,
黃木擇,1,
SP L,1,
