author_name,rating,text
高瑋成,5,"位於捷運科技大樓站，辛亥路二段的正香馬來西亞餐室，主打美味好吃的馬來西亞麵食 飯食  飲品。

海南雞飯，老闆很大方，給你滿滿的一整盤雞肉，雞肉鮮嫩多汁很有嚼勁，配菜豐盛有馬鈴薯 青江菜  小黃瓜  豆芽菜清脆多汁，沾醬有油蔥醬跟甜辣醬，鹹鹹香香酸酸甜甜很開胃。
米飯是屬於尖尖的香米，粒粒分明飽滿，搭配醬汁，讓人口水直流。
白咖啡，屬於微苦帶甜濃郁香醇，布丁Q彈綿密細緻。"
Phillip Enzo,4,"店員很用心清潔，客人用餐後會用酒精消毒擦拭桌面。
海南雞飯好吃，米飯調味好入口，雞肉很嫩。
可惜沙嗲沾醬不像在馬來西亞吃到的一樣。
如果有道地的茶冰就更完美了。"
Manic Peng,3,"食物口味不錯，但整體搭配不太好，適合偶爾嚐鮮，或是朋友喝飲料聊天順便用餐，經常吃不大好點菜。
椒麻口水雞的肉很嫩，香辣酸甜非常好吃，但套餐搭配的青菜泡在麻辣湯裡口味重了點，不是太能吃辣的話最好先撈起來。乾的肉骨茶香甜可口足，裡面的三層肉跟排骨都很入味，美中不足的是套餐沒有蔬菜，肉骨茶湯裡的配料又少了一點，一盤肉250的定價倒也不是不划算，但套餐吃起來單調也不夠均衡。結果加點一份蕃茄炒蛋蕃茄太少也不入味，有點是敗筆。"
Tew Cheerrie,5,"服務態度超棒～
這裏的乾肉骨茶是我來台灣以來吃過最道地的，超好吃！
海南雞飯也很好吃，超有家鄉味❤️🏠"
程璟昕,4,"海南雞飯價格算中上
可是不會有被虧待的感覺
米飯粒粒分明 雞腿肉很嫩
沙爹雞肉串味道好 配料也給得很到位
泰式奶茶好喝 冰塊少一點會更棒
老闆跟店員也都很親切 讚"
Miki Ieong,5,"店內環境乾淨，主食品項不算多。

海南雞腿飯 $155 （附湯）
附送的雞湯中規中矩，但是有味道的，不像有些店的湯很水沒味道。
雞肉滑嫩不柴，香米飯很香，但醬料有點少。整體來說，雖然沒有到很驚艷，但是好吃的海南雞飯，價格也很合理。"
州,5,"【海南雞飯 155元】

這個價格算是中規中矩（和憶X當X差不多，略便宜於池XX）香米飯真的超好吃⋯份量夠多、夠味又不會太鹹👍雞肉本身還行，但醬有點少；會先來一碗熱湯，冷冷的天喝起來很暖。"
陳怡靜,4,海南雞胸飯的雞胸肉很嫩，香飯也鬆鬆的，還有醬汁，覺得很特別~~
吳弘仁,2,第一次覺得百貨公司的海南雞飯會比外面餐廳來的好吃
Vincent Tien,3,海南雞飯搭配的醬料缺了黑醬油，肉骨茶是偏中藥味那種，用餐環境乾淨明亮，以學生餐廳來說算是不錯
