author_name,rating,text
吳肇恩,1,針對台北門市的櫃檯人員，給一顆星都嫌太多。內人為了買書，先打電話去台北門市確認有沒有書，還跟門市再三確認要哪一年哪一版哪一刷的書，門市回電後表示有書會幫內人留書，請內人可以去櫃檯領書，內人就很高興去門市買書了。結果一到門市櫃台，櫃台要拿書給內人時，就先把最後一頁的小張資料撕掉(可能是確定要買時撕下的標籤吧??)，然後把書交給內人，請內人確認一下書，結果內人發現這不是電話講的那個年份出版的(門市給的書是五年前出的)，內人客氣地請櫃檯可否再找找看有沒有最新那年出版的那本書，櫃檯人 …
謝伯謙,5,因印刷廠的問題導致領書時間不斷延後，開學一段時間了，沒課本上課確實很不方便。但負責窗口蔡榮成先生後續的處理態度及方式都很好，非常感謝。
Lee Daniel,4,有買過他家的資治通鑑，編得還不錯，值得推薦
Joe Korea,5,很多專業書籍，法律相關
張資敏,2,網路商店賣完的書 去實體店面能買的到書嗎    想要2本王立杰-幼稚教育考試精粹 最新版
アダルベロンちゃんねる,1,"垃圾公司
在你們官方網站訂書
個資被拿去詐騙
訂一本書兩百多塊 我可以告你違反個資法
我賺五百再讓你們付訴訟費幾千塊
已經通報165警政單位把你們列為危險詐騙網站了"
Chocolate Wayne,1,垃圾書店！簡單的庫存系統都管理不好？說什麼非賣品？還是你門想把那本書提高價格呀？爛死了
Shih-Chin Yang,5,"門市不大, 但可以找到自己要的書, 門市小姐也可幫忙找."
SWY,5,"真的有五南耶，從平誠印刷的入口(有管理員)進去，搭電梯到四樓。不是旁邊的文具店。
但書不多，類似辦公室再分一小塊來做門市。不能刷卡。"
W C,1,傻眼，連自家出的書都不知道，態度還很差
陳宛蓁,3,出版很多專業書籍
江軍,5,書籍繁多、種類齊全
李少白,5,"(由 Google 提供翻譯) 老字號出版社

(原始評論)
老字号出版社"
ok963ok,5,"(由 Google 提供翻譯) 超好的

(原始評論)
so good"
王之渙,4,"(由 Google 提供翻譯) 出版社 4F

(原始評論)
出版社 4F"
Tony Chen,5,
鄭美香,5,
謝明言,5,
語荷,5,
羅金月,1,
旺巧明貴鳳,5,
葉崇揚,4,
Louis Chen,4,
PeiJen Li,3,
林禮毅,5,
黃任輝,1,
黃蘇菲,5,
沈煜翔,3,
Josh,4,
廖澺蒼,5,
Alexis Chuang,5,
Lin Michael,5,
劉芳男,4,
