author_name,rating,text
阿宋,5,免綁約算是還不錯的健身房，但壺鈴的重量最多只到12，可以再多一點選擇，bench 也只有兩個所以常被佔用就沒得用。
胡馨尹,5,"在 lioness 健身專屬於你，有很多元的課程可以學習，老師們都非常認真仔細教學，很推薦大家多來體驗各式的課程。
空中瑜珈課的老師非常美麗，看起來輕鬆但都會動用到核心~
每次上課老師也會幫大家拍許多美照，不會想像中的危險，老師和許多厲害的同學都會教你各種技巧~ 真的是非常非常棒的運動的好地方!!!!!!!!
場地也十分乾淨，上課後要沖洗也非常方便，整理儀容也有很棒的大鏡子可以用喔，總之來體驗一次就會愛上啦~~~"
Ting an Chen,4,"平日下班人潮眾多
深蹲架只有三台
有10kg空槓、六角槓、啞鈴
Cable 、機械飛鳥、划船機、跑步機⋯等
一分鐘一元 適合純重訓的女生朋友"
Chu Pin,1,"提醒想試試看的朋友們，要買點數才能進去，進去一次不滿意，想退點數的話要100手續費，他們說建議用完，建議想清楚再買點數，或是買少一點
另外裡面男生（應該是教練）滿多的，其實氣氛不如想像中對女生友善"
張晉語,5,團體課程真的有運動到，而且教練人很好。
呂釩庭（Gina L）,5,"地點很棒，器材還算完整，一分鐘一塊錢不綁約也讓人比較沒壓力，現場也不會推銷課程。
音樂很不錯，再放大聲點會更好。"
Ingrid Lin,5,"空間雖然不大 設備應有盡有
裡面的服務人員態度親切 空中瑜珈老師教的很好 價格優惠 不用綁約 時間彈性 值得推薦"
林怡薰,5,空間明亮寬敞 廁所很乾淨而且 教練顏值偏高 平日晚上人偏少 所以器材都可以使用到 推推
Poting張博婷,2,"環境乾淨，行政人員親切，教師教學認真，器材都會有人清潔。

但當初下訂的無限期方案，
健身房更改名稱及計費方式後並無主動通知方案及管理制度改變，
隔一陣子去才發現不能進去，職員幫忙續一次時間（約莫是三個月）後要續第二次時間便被阻止，感覺管理者也沒有教育訓練員工該怎麼處理，僅叫員工告知無法再續時間而無其他的回應或是相關補償措施，讓員工在最前線承受顧客的不滿，即使我反應當初下訂時是無限期方案也沒用，讓人感受度很差。 …"
楊秋庭,5,空中瑜伽的Jocelyn 講解的很好很清楚，聲音很好聽人也溫柔😊
Lillian Liou,5,"沒綁約沒壓力，還不錯！
空瑜老師教的很不錯"
朱熱酷,5,難得有專屬女性的運動空間，不用在乎異性的眼光，學生在此場館練起來也舒適許多，離捷運站也很近，場館空間較其他工作室溫馨，器材該有的都有，自由教練場租某些時段不用錢大大佛心，入場費一分鐘一塊很划算，希望以後可以一直保持特定時段免費場租🙏🙏
吳佩儒,5,"非常佛心的場租收費，對女生的友善空間也做的很好，基本的器材都有，拳套、TRX、空間整體舒適感跟採光都很舒服，非常適合跟著教練練習也很適合自己自主練習。
位置就在捷運出口不到3分鐘處，非常便利，人員有禮貌解說詳細，是個很棒的地方，推薦給大家！"
王正鵬,1,"身為受害者的家屬，只能說大家消費前真的要小心！當初購買時說沒有使用期限！現在卻用期限到期來做為不負責任的藉口！
提不出客人使用的證據！感覺在這家消費非常沒有保障！身為客服用這種態度最後還已讀不回⋯

客訴也沒有用！楊姓主管敷衍的替客服道歉後，態度仍舊強硬的請我們直接找消保官！通話11分鐘仍無法正面回答問題！無法回答 該店保管文件不當的行政疏失為何要由消費者承擔！

最後態度極差的說還有事要忙就單方面直接掛掉電話！
原來該店主管處理客訴是這種電話禮儀！ …"
K,5,老師很親切，空中瑜伽做起來很舒服！
doc chu,4,拳力美背十分充實一定能運動到，但是教練不會糾正動作，整堂課節奏偏快，不適合新手。不過健身環境十分不錯，離捷運站非常近，也乾淨整潔，有淋浴間大鏡子，運動完要美美的離開絕對沒問題。之後還是會體驗其他課程。
Changaroo,5,老師會依學員的經驗調整課程內容和速度，很充實(*•̀ᴗ•́*)و ̑̑
1229 tasi,1,"這家健身房刷卡程序有問題，不知是人為操作還是系統的關係，會重複刷，大家請小心！有用刷卡付款的請確實確認自己的帳單明細，因刷錯也全部丟給客戶自行與信用卡公司處理解決，店員一問三不知！
很糟糕"
Hsuan-Wen Wang,5,環境乾淨，教練人很有趣，團課也很讚！
王馨瑤,2,盥洗室裡只有20個置物櫃卻開始開放出租，非常困擾跟不合理，盥洗出來卻要到外面公共區整理衣物，雖然為女性健身房一樣是有男性教練，置物空間和一開始有落差...
蔡閔旭,5,專屬於女性環境，器材應有盡有。整體友善，場租教練方案比起其他健身房更實惠
羅紹庭,5,環境整潔光線明亮，服務人員耐心協助和解決場館相關問題，實為優質訓練場館。
陳芸希,5,第一次體驗空中瑜伽感覺很棒
Teng WH,5,場地舒適，壞境整齊乾淨，空間設計明亮，運動起來舒服無壓力，收費合理彈性
Heidi CooL,1,"空中瑜珈很好玩，喜歡Nana老師👍🏼
但選課預約app的機制很差，講解人員也搞不清楚開放時間，當下現場告知過12點即可再預約下次，準時12點買好課卻發現還沒開放，12:01馬上私訊粉專，對方回應：「晚上已請系統人員協助了，但明天早上他們才上班，再回覆你們唷，抱歉」早上睡醒八點點開app還是沒開放，想說就等對方通知好了，但九點多出門不死心再點開就被搶光了剩候補？？希望你們懂得改善這整個運作模式，不要浪費了優秀的老師。"
數位內容編輯李芷穎,2,課程有趣，老師親切，但唯有訂課方式讓人不解，說了半夜12點開放七天後的課程，特別買了堂數、等到半夜12點要訂課結果竟然未開放，一早起來竟然已經額滿，購買又規定9天內要用掉，請問：運動不就是講求可以規律每週固定幾次的上嗎？如果要這樣熬夜到12點搶課而且還不知道到底有沒有，我只是想好好規律運動，並沒有打算成為搶課高手。真的讓人心很累，以上。
Mindy Lin,5,參觀+瑜伽課 老師、教練都很好 環境也很舒適 推薦給想開始運動的女生們～
鄭雅欣,5,教練很關心的學員的狀況，人很好，空間也不錯👍👍
李晨瑜,5,17：00的時段人不多，加上有不少器材可以訓練，沒有一般健身房人擠人或排隊等器材的問題；室內空間寬敞，味道芬芳且空調夠強(但不冷)，是女性訓練的理想場所。
komica komica,1,"教練課所費不貲，素質卻叫人懷疑，在此間健身房報名教練課，期間由某位教練上課，卻有以下狀況發生：

1. 上課時間到，等半天看不到人，還要我去櫃檯問人才知道教練還在睡覺

2. 上課期間多次去上廁所，這算人之常情，雖然次數多了點就算了，但還有跟我說 : 「我想吃口香糖，我去拿一下 。」甚至還有說 : 「我要請我學員幫我買護唇膏，我要傳個訊息。」然後我就晾在那沒事做，等到他做完這些私事才繼續，一堂課 2,200，時間是拿來這樣浪費掉的？

3. …"
HUANG HUANG,5,第一次體驗就爆汗 有練到全身 太久沒運動 才知道我身體好差🤣🤣🤣
辜有惠,1,我在2/27辦理退費，櫃檯人員說最慢30個工作天（4/14）會匯到我的帳戶，結果還真的就拖到30個工作天過去，中間我也一再詢問是否會在30天內退費，在LINE官方訊息也都說會通知退費，結果還是沒有退費！一早也告知還沒收到退費款項，結果還是一樣只會說要我等工作人員下午上班，這樣積欠款項的健身房還真讓人不敢再加入！傻眼🙄️🙄️
鍾昕璂,5,環境整潔，教練人很好，給很多鼓勵！
Afra Wu,5,"週末的午後來試上
地點真的很方便 採光也很棒
學員都是女生覺得安心
老師教導的也很很認真
真的短短一小時燃燒了300卡啊！"
張鈞婷,5,空中瑜珈老師人很好，上課很放鬆👍
