author_name,rating,text
Jarod Chen,5,"蛋白質捲餅（3張）130元

與隔壁的餐廳不同 這裡是只有賣麵包 餅乾 蛋糕類的烘焙坊

只有賣三片包裝的 平均一片43.3元 不算便宜
不過營養加價值滿高的 健康又好吃
100g 226kcal 蛋白質20.4g 適合健身者
一張大約80g 只有200kcal 有16g蛋白質

蛋白質捲餅（3張）130元
沒什麼味道就麵粉香 口感上不錯 大概是因為餅皮上很多穀類（奇雅籽？）
適合進行各式鹹甜搭配 這次我自己包入水煮青菜 雞腿 抹果醬優格等 還不錯 搭配黑咖啡超讚 又有飽足感 …"
yi teh han,5,"旁邊就是麵包製作的工廠，和一般麵包店相比多了不同種類的款項，味道比較特別，但價格也稍高。
疫情期間建議商品盡量都包起來，比較安全"
巫浩岑,2,"最常消費的麵包店 很喜歡你們的麵包
但疫情這麼嚴峻麵包還是沒有包裝擺放給客人選購，甚至麵包盤也沒有提供任何能夠隔絕的東西。覺得這點要改善"
joy,5,蛋白質捲餅好吃，自己回家包生菜、蕃茄，小黃瓜，再加些優格或是果醬。
Mihwi Chiang,5,"沙拉到主餐都好吃，麵包有三種沾醬
一定會再訪！
希望有小份量一點的豬腳試試"
C Mickey.,3,"#0320
第一次來訪
麵包價位偏高
種類繁多
戶外有座位
開放式廚房
離捷運站有段距離"
Lisa Chien,4,"肉桂捲 $68
核桃與糖霜大方的肉桂捲
➡️肉桂味極度淡，不適合重度肉桂控。
➡️麵包體扁軟，可以一口吃到頂與底部，配上糖霜、核桃層次分明，是一個好吃的邪惡麵包，老公小孩都捧場。
➡️北市分店多，餐廳高朋滿座，有其他超強高蛋白麵包、德式麵包與餐點，下次我一定要去吃看看。"
Q TONY,1,好好的吐司，切片後把吐司塞成這樣⋯ $80這樣的服務很無言⋯
mayee huang,4,吃的到原味的德式麵包，肉桂捲有3種口味原味、核桃、蘋果口感味道都很棒，農夫水果、無花果麵包配蔬菜湯也很好吃。
甘小玲,5,"個人喜歡她們的麵包都好有嚼勁
選擇多，很多高蛋白麵包貝果(這點比馬可優一些)
價格也偏貴"
Ya-Pin,4,餐點好吃而且很有特色 但座位安排非常靠近 近到令人尷尬 不像這種價位的店會有的安排 反倒很像小吃店和學生餐廳 適合想嚐鮮的人 不是能安心吃飯的選擇（隔壁的人如果咳嗽打噴嚏 食物會閃不掉喔XD）
tinghsuan kuo,5,"麵包非常好吃
蛋白質系列對健身人群很友好
早餐系列也很好吃
很喜歡蜂蜜核桃麵包
越咬越香"
Nan Lu,5,"超級推薦
東西好吃而且兩次來沙拉、麵包、醬、湯都不一樣有認真變化
豬腳皮好脆超讚
蛋糕都好好吃😋😋😋😋"
I*M TIM DK,5,"餐點很美味 味道很足 份量也是👍
某些餐點是現點現做 可能需要等一會
空間的舒適度很舒服 位子空間有點狹隘"
mi mi,4,"蔓越莓堅果餅乾💰70❤️❤️❤️❤️🤍
內含2片，有餅乾的香氣，微酥脆也吃的到杏仁角的口感，蔓越莓很硬是小缺點，但整體是好吃的，可惜滿甜，比巧克力表現好一些，可以吃不會特地回購

巧克力燕麥核桃餅💰70❤️❤️❤️🤍🤍
內含2片，聞起來沒什麼巧克力味，好像有很小顆的巧克力豆，但是存在感很低，有加核桃但打碎了也無感，甜度很足，比起蔓越莓的略遜色，感覺也沒有那麼酥，不難吃但喜歡有巧克力豆口感的餅乾，想吃巧克力餅乾時會買別家，不會回購此款 …"
Lindsey Chen,3,松露燉飯好吃，煎麵有點容易膩，德式香腸的種類偏少、蛋糕尚可。
Leo Chiang,4,肉桂捲做得很好吃，其他麵包就價格較高些。
朱芸,4,"大多屬較健康的多穀物麵包,口感不會太硬外脆內軟,感覺很天然不油膩。"
